날짜,시가,고가,저가,종가,거래량
20050128,5050,5150,5000,5110,34182
20050131,5110,5420,5110,5330,32805
20050201,5330,5440,5280,5320,10116
20050202,5330,5330,5200,5280,13542
20050203,5260,5260,5060,5100,65629
20050204,5170,5270,5160,5240,9429
20050207,5280,5420,5170,5300,23326
20050211,5200,5300,5190,5280,45102
20050214,5700,5700,5400,5500,96511
20050215,5600,5670,5500,5620,80382
20050216,5620,6290,5620,6290,244026
20050217,6300,6480,5990,6130,112811
20050218,6150,6270,6000,6150,66049
20050221,6210,6400,6030,6060,86593
20050222,6130,6140,5960,6000,89061
20050223,5950,6260,5950,6240,66015
20050224,6190,6300,6110,6210,55801
20050225,6390,6440,6250,6250,63101
20050228,6200,6460,6200,6400,49545
20050302,6500,6590,6360,6450,45014
20050303,6420,7180,6400,6700,57521
20050304,6730,7000,6710,6860,39405
20050307,6990,6990,6610,6870,46231
20050308,6760,6830,6410,6600,28717
20050309,6450,6600,6290,6600,51949
20050310,6690,6690,6390,6500,36790
20050311,6560,6570,6380,6380,53622
20050314,6370,6450,6140,6300,75667
20050315,6230,6300,5950,5950,49272
20050316,5910,6000,5660,5890,87085
20050317,5760,6140,5720,6040,82469
20050318,6070,6300,5910,6020,38194
20050321,5970,6160,5900,6000,60118
20050322,6070,6200,5960,6200,50285
20050323,6170,6170,6000,6010,25847
20050324,6010,6080,5950,6000,52288
20050325,6040,6200,6010,6100,23214
20050328,6150,6220,6080,6220,24273
20050329,6320,6320,6010,6010,25662
20050330,6030,6100,5950,6020,28191
20050331,6090,6110,6040,6060,14348
20050401,6020,6100,6000,6050,25255
20050404,6030,6090,6000,6090,15291
20050406,6090,6090,6010,6010,16353
20050407,6010,6130,5990,6100,34768
20050408,6130,6150,6090,6100,17341
20050411,6080,6080,6000,6050,38182
20050412,5990,6050,5990,6000,101404
20050413,6070,6080,5980,6010,51969
20050414,6000,6170,5940,6140,42166
20050415,6150,6330,6010,6170,42020
20050418,6120,6170,6000,6170,115927
20050419,6390,6640,6300,6560,129325
20050420,6530,6590,6360,6420,48258
20050421,6310,6600,6190,6560,48741
20050422,6600,6790,6580,6660,53690
20050425,6680,6690,6500,6680,19744
20050426,6770,6770,6530,6600,33979
20050427,6410,6500,6260,6390,38404
20050428,6300,6500,6270,6280,30550
20050429,6160,6270,6110,6160,23286
20050502,6160,6370,6160,6310,13651
20050503,6140,6400,6140,6240,7175
20050504,6180,6350,6180,6350,10716
20050506,6280,6370,6260,6350,16860
20050509,6330,6450,6220,6260,30102
20050510,6200,6340,6170,6230,15729
20050511,6120,6190,5830,5830,47508
20050512,5840,5980,5800,5980,25346
20050513,6000,6000,5510,5700,43785
20050516,5740,5810,5700,5800,14639
20050517,5770,5860,5710,5750,9983
20050518,5770,5790,5670,5670,11273
20050519,5680,5760,5670,5720,9761
20050520,5670,5730,5200,5690,26885
20050523,5730,5730,5500,5730,13362
20050524,5730,5730,5580,5690,6269
20050525,5650,5710,5400,5400,24198
20050526,5400,5620,5350,5400,18050
20050527,5430,5500,5330,5410,20060
20050530,5370,5470,5370,5450,13614
20050531,5470,5590,5420,5490,16172
20050601,5530,5530,5380,5430,8294
20050602,5430,5540,5430,5500,18961
20050603,5550,5690,5450,5660,15689
20050607,5610,5620,5550,5610,5139
20050608,5630,5630,5450,5590,18137
20050609,5590,5950,5520,5900,45941
20050610,5810,5920,5810,5900,19247
20050613,5810,6000,5810,5900,16705
20050614,5840,6050,5840,5960,15566
20050615,5950,5980,5780,5980,8902
20050616,6000,6020,5860,6000,13839
