날짜,시가,고가,저가,종가,거래량
20050128,909,922,883,922,6556
20050131,949,955,896,949,9861
20050201,936,949,909,942,1348
20050202,922,942,889,936,2428
20050203,922,922,856,922,1301
20050204,936,936,856,922,7107
20050207,942,942,883,928,4848
20050211,909,922,863,909,4473
20050214,909,922,863,922,18278
20050215,922,936,896,922,22523
20050216,909,922,883,922,9625
20050217,922,922,863,876,18765
20050218,883,896,856,896,1985
20050221,896,909,837,909,6717
20050222,903,1007,856,876,21478
20050223,883,889,883,883,1490
20050224,843,883,823,850,7013
20050225,856,856,817,837,3996
20050228,850,850,830,850,2871
20050302,850,889,843,870,9292
20050303,856,876,843,876,3149
20050304,850,969,830,928,21753
20050307,1027,1034,1027,1034,23493
20050308,1153,1153,1054,1153,75807
20050309,1166,1292,1120,1160,140400
20050310,1166,1239,1041,1048,37081
20050311,1014,1100,989,1100,11484
20050314,1027,1087,1014,1054,19073
20050315,1001,1093,1001,1067,19412
20050316,1087,1087,1022,1027,49335
20050317,1027,1060,1007,1048,9793
20050318,1067,1067,1001,1041,9870
20050321,1041,1048,1007,1048,14903
20050322,1080,1080,1022,1034,1741
20050323,1060,1060,1007,1041,3698
20050324,1041,1054,1014,1041,3060
20050325,1034,1041,1014,1041,4296
20050328,1120,1120,1027,1048,4821
20050329,1054,1054,989,1001,9220
20050330,949,1022,949,995,3816
20050331,1041,1041,989,1022,234
20050401,1034,1034,975,1027,10305
20050404,1022,1173,975,1173,7959
20050406,1107,1133,1060,1067,10153
20050407,1087,1113,1067,1074,1409
20050408,1067,1093,1060,1093,3339
20050411,1093,1093,1054,1087,2937
20050412,1074,1093,1054,1093,4114
20050413,1093,1100,1067,1100,4628
20050414,1107,1107,1054,1093,1040
20050415,1054,1100,1054,1093,6436
20050418,1093,1093,1067,1087,821
20050419,1087,1087,1067,1080,1727
20050420,1067,1087,1022,1041,6538
20050421,1041,1067,1022,1067,2382
20050422,1107,1107,1048,1074,420
20050425,1113,1113,1074,1087,464
20050426,1022,1107,1022,1054,2957
20050427,1041,1074,1041,1048,3306
20050428,1067,1067,1041,1054,3312
20050429,1060,1093,1048,1093,4249
20050502,1093,1093,1041,1067,6303
20050503,1093,1093,1041,1067,3623
20050504,1041,1074,1041,1074,1838
20050506,1067,1133,1034,1133,1057
20050509,1113,1113,1027,1074,1805
20050510,1060,1060,995,1048,2677
20050511,995,1022,989,1022,8436
20050512,1014,1014,936,975,8886
20050513,962,962,909,928,9428
20050516,922,936,922,936,6345
20050517,936,1001,936,995,950
20050518,995,1014,962,962,4175
20050519,949,1093,949,1093,9105
20050520,1080,1080,975,981,14499
20050523,1001,1048,1001,1048,9913
20050524,1034,1048,1027,1027,3519
20050525,1034,1127,1014,1113,10473
20050526,1133,1133,1060,1107,1618
20050527,1107,1107,1048,1093,4709
20050530,1120,1206,1093,1193,22417
20050531,1127,1212,1127,1146,4397
20050601,1160,1173,1087,1160,9122
20050602,1146,1166,1093,1113,16517
20050603,1160,1160,1087,1146,13229
20050607,1080,1179,1080,1113,2271
20050608,1067,1160,1067,1120,2655
20050609,1146,1173,1146,1166,2134
20050610,1179,1338,1179,1338,78322
20050613,1397,1536,1397,1536,107810
20050614,1555,1759,1555,1759,246052
20050615,1885,1885,1660,1793,191343
20050616,1793,2056,1766,2056,150792
20050617,1978,2334,1978,2307,139999
20050620,2307,2374,1971,2097,64500
20050621,1964,2241,1964,2215,74243
20050622,2327,2334,2221,2307,23725
20050623,2261,2399,2254,2254,70596
20050624,2248,2248,1918,1971,75761
20050627,1925,1925,1694,1766,57579
20050628,1766,2030,1766,1852,88915
20050629,1892,1991,1608,1845,46857
