날짜,시가,고가,저가,종가,거래량
20050128,940,970,900,940,99839
20050131,940,940,900,925,116015
20050201,925,975,915,950,149615
20050202,940,955,935,945,63653
20050203,945,965,940,950,59115
20050204,940,955,920,950,97012
20050207,960,980,940,955,87801
20050211,945,965,945,965,36507
20050214,960,985,955,970,49065
20050215,965,1000,965,995,58768
20050216,995,1010,985,995,205100
20050217,1000,1010,935,970,540344
20050218,970,1005,970,985,414950
20050221,1000,1010,990,990,89209
20050222,1015,1015,990,995,80831
20050223,990,1005,990,1000,34724
20050224,1000,1110,1000,1055,301952
20050225,1090,1090,1045,1055,51619
20050228,1065,1115,1045,1085,109748
20050302,1105,1190,1090,1135,175753
20050303,1120,1180,1100,1175,90397
20050304,1170,1190,1145,1165,89433
20050307,1150,1180,1145,1165,197161
20050308,1150,1165,1140,1145,153520
20050309,1105,1195,1105,1190,253146
20050310,1200,1200,1170,1180,31754
20050311,1195,1205,1175,1205,94254
20050314,1170,1235,1170,1225,21720
20050315,1230,1260,1190,1220,70376
20050316,1245,1245,1170,1200,91256
20050317,1195,1220,1170,1185,57872
20050318,1155,1170,1150,1150,51691
20050321,1160,1195,1110,1165,24260
20050322,1125,1245,1125,1165,9010
20050323,1165,1230,1165,1185,23859
20050324,1200,1220,1150,1180,41690
20050325,1175,1175,1120,1160,118207
20050328,1160,1170,1150,1160,44269
20050329,1150,1160,1130,1155,32934
20050330,1115,1195,1115,1180,57272
20050331,1160,1200,1160,1175,12328
20050401,1190,1190,1140,1175,11312
20050404,1210,1210,1150,1180,5320
20050406,1200,1200,1140,1175,3895
20050407,1200,1200,1140,1175,14934
20050408,1195,1195,1145,1175,4321
20050411,1150,1185,1145,1150,10077
20050412,1170,1170,1135,1155,14836
20050413,1130,1165,1130,1150,4240
20050414,1150,1150,1100,1140,16562
20050415,1150,1175,1100,1135,43128
20050418,1135,1140,1090,1120,59960
20050419,1110,1190,1110,1130,21300
20050420,1120,1195,1100,1115,57637
20050421,1145,1155,1100,1145,54923
20050422,1165,1165,1110,1140,7921
20050425,1110,1140,1110,1125,56250
20050426,1095,1130,1095,1105,21371
20050427,1115,1115,1090,1110,33287
20050428,1070,1115,1070,1115,19772
20050429,1095,1115,1085,1090,39385
20050502,1110,1150,1085,1115,86529
20050503,1115,1135,1100,1125,32449
20050504,1120,1125,1095,1120,35264
20050506,1120,1130,1105,1130,6416
20050509,1100,1145,1100,1115,15879
20050510,1150,1150,1110,1115,2816
20050511,1075,1155,1060,1090,104312
20050512,1135,1135,1075,1100,12272
20050513,1120,1120,1075,1075,27795
20050516,1135,1135,1085,1120,925
20050517,1150,1150,1100,1130,13052
20050518,1135,1135,1085,1120,14333
20050519,1140,1140,1080,1120,9547
20050520,1100,1145,1085,1085,48662
20050523,1120,1120,1055,1070,13111
20050524,1060,1085,1045,1070,23062
20050525,1080,1080,1055,1080,1011
20050526,1080,1080,1055,1075,9747
20050527,1055,1075,1050,1050,26170
20050530,1065,1070,1030,1040,29975
20050531,1045,1055,1020,1030,13965
20050601,1025,1035,1005,1020,36473
20050602,1025,1035,1010,1030,11039
20050603,1035,1035,1000,1030,44699
20050607,1040,1065,1015,1060,50770
20050608,1080,1110,1040,1050,37461
20050609,1075,1090,1040,1080,30427
20050610,1090,1090,1045,1070,16198
20050613,1070,1070,1050,1060,5328
20050614,1060,1060,1050,1050,61530
20050615,1050,1050,1030,1045,132211
20050616,1045,1055,1025,1045,113606
20050617,1050,1050,1030,1035,57737
20050620,1030,1060,1030,1055,12587
20050621,1025,1060,1010,1060,77259
20050622,1060,1070,1035,1055,16969
20050623,1040,1085,1040,1060,9659
20050624,1060,1080,1045,1050,18554
20050627,1035,1050,1035,1050,12586
20050628,1060,1060,1040,1040,25444
20050629,1035,1050,1035,1045,14396
20050630,1045,1075,1045,1060,39464
20050701,1070,1070,1035,1040,94668
20050704,1040,1075,1040,1070,100149
20050705,1090,1145,1060,1130,151706
20050706,1130,1150,1130,1140,110452
20050707,1165,1165,1120,1130,51735
20050708,1110,1135,1090,1110,64775
20050711,1110,1150,1110,1130,150392
20050712,1135,1145,1120,1145,155270
20050713,1270,1285,1150,1205,233365
20050714,1230,1345,1230,1290,296241
20050715,1300,1300,1265,1285,80321
20050718,1285,1295,1250,1290,257979
20050719,1275,1280,1250,1270,170311
20050720,1255,1265,1215,1240,173912
20050721,1240,1260,1220,1235,134126
20050722,1235,1245,1215,1230,90061
20050725,1220,1275,1220,1270,57874
20050726,1255,1275,1255,1260,74258
20050727,1265,1290,1260,1270,296618
20050728,1265,1335,1245,1260,818083
20050729,1280,1300,1260,1265,411949
20050801,1265,1285,1255,1265,242032
20050802,1265,1285,1255,1275,161177
20050803,1300,1355,1280,1285,191532
20050804,1320,1320,1275,1300,190136
20050805,1290,1320,1250,1255,292501
20050808,1270,1270,1240,1255,426384
20050809,1250,1265,1250,1260,150222
20050810,1265,1285,1255,1285,227852
20050811,1285,1290,1265,1285,138916
20050812,1325,1355,1280,1305,544819
20050816,1310,1310,1280,1295,195562
20050817,1290,1295,1265,1275,143538
20050818,1260,1290,1260,1260,193431
20050819,1245,1270,1245,1270,60516
20050822,1275,1280,1260,1270,173247
20050823,1290,1290,1250,1250,161863
20050824,1255,1265,1245,1265,184614
20050825,1265,1265,1240,1255,167735
20050826,1260,1265,1250,1265,120554
20050829,1255,1270,1245,1255,133346
20050830,1260,1270,1245,1250,93141
20050831,1250,1255,1230,1250,395848
20050901,1240,1310,1230,1260,258121
20050902,1260,1445,1260,1445,1733626
20050905,1545,1660,1470,1660,1882368
20050906,1795,1820,1645,1700,2175724
20050907,1730,1790,1665,1755,1752883
20050908,1735,1840,1660,1795,2043471
20050909,1810,1820,1690,1750,677489
20050912,1800,1810,1720,1790,1064665
20050913,1900,2055,1560,1790,3857947
20050914,1850,1890,1755,1755,609858
20050915,1720,1780,1650,1675,644315
20050916,1685,1705,1635,1670,409987
20050920,1665,1715,1650,1710,657780
20050921,1710,1920,1690,1720,1310676
20050922,1715,1760,1690,1750,356268
20050923,1780,1845,1725,1790,531207
20050926,1830,1850,1760,1840,361445
20050927,1810,1905,1770,1840,526161
20050928,1880,1970,1830,1840,558352
20050929,1860,1950,1810,1900,865016
20050930,1920,1980,1890,1905,561343
20051004,1935,1970,1910,1965,464937
20051005,2005,2005,1920,1930,475098
20051006,1890,1950,1890,1940,585417
