날짜,시가,고가,저가,종가,거래량
20050128,9553,10191,9080,9080,11972814
20050131,8500,8771,7998,7998,4966151
20050201,8017,8694,7689,8259,7510118
20050202,7988,8201,7273,7273,4866388
20050203,6887,7853,6539,7273,12247566
20050204,7245,8143,7235,7921,8226082
20050207,8162,8809,8027,8404,5790930
20050211,8114,8636,7843,7872,4813581
20050214,8075,8809,7959,8809,4830404
20050215,9090,9466,8452,8607,6194590
20050216,8732,8819,7756,8017,4108271
20050217,8066,8394,7824,8124,3061987
20050218,8549,9090,8211,8249,7970155
20050221,8124,8297,7264,7264,4060019
20050222,7148,7583,6617,6762,3322742
20050223,6404,6993,6356,6665,2456211
20050224,6829,7196,6472,6472,2768539
20050225,6607,6762,5709,5873,2256521
20050228,6114,6568,5989,6568,4375020
20050302,6588,7013,6230,6810,3446477
20050303,6839,6945,6375,6704,2146441
20050304,6704,7283,6491,7148,3267499
20050307,7341,7621,6858,7245,2787356
20050308,7322,7370,6404,6481,2095551
20050309,6443,6752,6182,6559,1909165
20050310,6385,6626,5844,5844,1478424
20050311,5844,6539,5670,6539,2936866
20050314,6713,7322,6646,7003,3889610
20050315,7003,7090,6539,6810,2058205
20050316,6926,7621,6868,7621,3197396
20050317,8124,8529,7921,8017,8122685
20050318,8104,8974,7959,8974,9476288
20050321,9186,10046,9090,10046,6659760
20050322,10143,10481,8887,8887,8559353
20050323,8713,9012,8037,8211,11674671
20050324,8404,8780,7293,7795,6285144
20050325,7824,8095,6868,6868,6185290
20050328,6762,7167,5844,5989,6115351
20050329,5989,6414,5844,6269,5790131
20050330,6105,7129,6008,6713,8906183
20050331,6742,6935,5844,5902,3681891
20050401,5940,6414,5776,6105,3946647
20050404,6066,6143,5728,5796,1863057
20050406,5863,6221,5863,5989,3472171
20050407,6037,6085,5796,5911,1305597
20050408,6027,6491,5776,6375,3474860
20050411,6394,7283,6192,6771,7524998
20050412,6945,6993,6530,6810,3027498
20050413,6926,7206,6288,6346,4215512
20050414,6288,6346,5921,5989,1918458
20050415,5911,6385,5824,6008,4173501
20050418,5670,5853,5110,5119,2811032
20050419,5140,5370,5070,5080,1184741
20050420,5420,5840,5420,5840,2527785
20050421,5710,6200,5610,6100,7097907
20050422,6400,6450,5970,6020,2493296
20050425,5920,6130,5840,5860,1552050
20050426,5950,6320,5950,6170,3718698
20050427,6100,6400,6070,6280,2971926
20050428,6520,6630,5560,5650,5161172
20050429,5640,5840,5220,5500,1877263
20050502,5640,5700,5210,5310,1393205
20050503,5300,5480,5070,5250,2589820
20050504,5270,5450,5220,5230,1627395
20050506,5290,5490,5210,5350,2285293
20050509,5460,5580,5380,5500,2286148
20050510,5630,5680,5360,5380,1654880
20050511,5390,5490,5330,5350,1000309
20050512,5350,5500,5180,5220,2630893
20050513,5200,5580,5130,5500,2404931
20050516,5500,5650,5420,5500,2098502
20050517,5700,6320,5650,6030,7553985
20050518,6170,6240,5900,6050,2877420
20050519,6200,6280,5970,6230,3116647
20050520,6290,6610,5850,5850,5138541
20050523,5900,5990,5610,5800,1812382
20050524,5900,6560,5850,6230,6897323
20050525,6260,6800,6180,6300,5025691
20050526,6370,6510,6160,6280,2356645
20050527,6520,7220,6400,7220,10093524
20050530,7300,7320,6740,6910,3656444
20050531,7040,7440,6890,7110,6021658
20050601,7010,7270,6670,6670,2756460
20050602,6800,6910,6440,6480,1994878
20050603,6490,7160,6490,6850,4478457
20050607,6910,7380,6890,7150,3998799
20050608,7150,8220,6760,8220,9556223
20050609,8220,9100,7200,7600,11924619
20050610,7650,8020,6950,7150,6253510
20050613,7150,7470,6880,7000,2494822
20050614,7070,7910,7070,7250,8384047
20050615,7300,7630,7260,7600,3570970
20050616,7970,8200,7460,7500,4485904
20050617,7530,7900,7450,7620,5446745
20050620,7850,7890,7450,7510,2183199
20050621,7320,7550,6930,7240,4659558
20050622,7340,7540,7160,7300,2387237
20050623,7320,7500,7250,7280,1939116
20050624,7050,7240,6750,6770,1745196
20050627,6630,6690,6530,6690,1151237
20050628,6780,7160,6780,6860,2918215
20050629,6940,7170,6820,6920,2685316
20050630,7070,7090,6820,6830,1678822
20050701,6970,7150,6850,6920,1982303
20050704,6930,6970,6700,6710,1289364
20050705,6730,7060,6610,7060,1942848
20050706,7220,7290,6990,7020,2333964
20050707,6910,7090,6860,6930,1414620
20050708,6900,7030,6530,6560,1835476
20050711,6340,6680,6340,6420,1030236
20050712,6480,6660,6390,6390,1194241
20050713,6420,6640,6410,6480,916462
20050714,6500,6650,6440,6500,1165260
20050715,6510,6640,6370,6370,1039957
20050718,6400,6490,6340,6470,937740
20050719,6550,6780,6490,6720,2183734
20050720,6830,6960,6000,6400,1809712
20050721,6490,6500,6020,6180,1086040
20050722,6000,6200,5750,6000,1006753
20050725,5960,6300,5960,6020,1742108
20050726,5910,6270,5910,6150,1595802
20050727,6210,6440,6120,6160,1627280
20050728,6290,6310,6120,6130,862727
20050729,6200,6930,6080,6690,4428732
20050801,6780,7000,6630,6700,2889271
20050802,6800,6830,6470,6660,1440620
20050803,6720,6930,6560,6580,2188583
20050804,6590,6780,6310,6700,2554746
20050805,6600,7180,6550,6680,4752752
20050808,6600,7020,6600,6880,2236124
20050809,6900,7220,6790,6800,3099991
20050810,6740,6880,6530,6610,1611811
20050811,6620,6710,6470,6630,1085373
20050812,6630,6820,6400,6400,1841219
20050816,6400,6490,6130,6140,1206849
20050817,6010,6240,5940,6100,1246039
20050818,6110,6160,5820,5820,788819
20050819,5760,5960,5760,5830,649668
20050822,5830,5940,5800,5860,587148
20050823,5860,6050,5860,5980,868915
20050824,6220,6650,6130,6220,3064171
20050825,6120,6300,6030,6300,962717
20050826,6370,6410,6120,6280,1354484
20050829,5960,6250,5920,6080,1192386
20050830,6380,6990,6310,6600,10373204
20050831,6550,6630,6240,6470,1862807
20050901,6810,6950,6460,6500,2865409
20050902,6570,6960,6510,6960,3365867
20050905,7100,7590,6930,7280,5999606
20050906,7280,7350,7060,7270,2213372
20050907,7440,7450,7190,7290,2096281
20050908,7350,7550,6790,6900,3180447
20050909,6850,6960,6790,6900,1127221
20050912,7080,7180,6710,6720,1672405
20050913,6640,6810,6510,6510,1140208
20050914,6500,6760,6480,6750,1122091
20050915,6700,6960,6570,6700,1291867
20050916,6880,7200,6810,7040,2677639
20050920,7140,7300,6930,7300,1600526
20050921,7400,7440,7090,7130,1632264
20050922,7030,7080,6850,6950,1060294
20050923,7050,7090,6670,6680,1328763
20050926,6700,6880,6650,6880,743565
20050927,6870,7080,6700,6750,1524753
20050928,6720,7220,6690,7200,2097985
20050929,7200,7270,7020,7180,1343563
20050930,7270,7350,7050,7130,1507372
20051004,7240,7900,7240,7750,3963262
20051005,7900,8400,7510,7510,6326709
20051006,7560,7740,7280,7440,2469438
20051007,7520,7940,7490,7590,2870983
20051010,7880,8720,7850,8500,6970019
20051011,8430,9700,8430,9600,9732014
20051012,9800,9890,9030,9100,4588913
20051013,9090,9420,8780,9420,3482987
20051014,9480,9570,8850,8890,3447351
20051017,8750,8880,8020,8140,2376834
20051018,8250,8480,8090,8270,2278042
20051019,8150,8440,7950,8210,2295601
20051020,8360,8600,8030,8150,2321814
20051021,7900,8340,7770,8230,1788638
20051024,8230,8490,8160,8330,1876760
20051025,8440,9090,8440,8630,4494392
20051026,8800,9560,8430,9300,5167733
20051027,9280,9410,8810,8810,2255993
20051028,8580,9260,8520,8980,3000004
20051031,9200,9690,9100,9300,4179184
20051101,9490,9780,8950,8950,3049199
20051102,8710,8840,7880,8450,2974836
20051103,8650,8810,8400,8450,2000707
20051104,8520,8650,8420,8550,1037654
20051107,8680,8690,8430,8430,1032586
20051108,8440,8490,8150,8220,1271670
20051109,8280,8540,8260,8350,1584672
20051110,8330,8560,7710,7770,3511837
20051111,7830,8130,7700,7920,2316699
20051114,8010,8060,7780,7800,1072135
20051115,7790,8220,7790,8090,2285654
20051116,8040,8160,7920,7940,1248548
20051117,7940,8250,7930,8090,1592486
20051118,8160,8190,7960,7980,1076833
20051121,8010,8050,7780,7830,897061
20051122,7940,8300,7910,8160,2307834
20051123,8150,8290,8080,8130,1239726
20051124,8300,8390,8160,8200,1284355
20051125,8280,8450,8250,8250,1226288
20051128,8400,9080,8360,8850,3412154
20051129,9020,9330,8530,8600,3216109
20051130,8720,8730,8310,8470,1560694
20051201,8450,8690,8350,8420,1636192
20051202,8450,8830,8450,8490,2275525
20051205,8590,8660,8410,8620,1047778
20051206,8620,8770,8470,8530,1302560
20051207,8490,8560,8050,8090,1153348
20051208,8000,8200,7990,8150,991318
20051209,8150,8460,8150,8220,1503125
20051212,8200,8370,8100,8120,690499
20051213,8150,8460,7950,8390,1627124
20051214,8590,9320,8570,8840,4020045
20051215,9090,9220,8500,8600,1660532
20051216,8400,8930,8200,8730,1922187
20051219,8710,10000,8710,10000,5691359
20051220,10250,11450,10000,10300,7703942
20051221,10400,10750,9950,10750,3152339
20051222,10900,11600,9900,9900,4317628
20051223,9800,9970,8820,9390,2442464
20051226,9550,10400,9360,10400,2784136
20051227,10400,10650,9650,9650,2638950
20051228,9430,9930,9430,9900,1227743
20051229,9900,11250,9900,10300,3975687
20060102,10850,11800,10750,11800,2246734
20060103,12900,13550,11950,12200,7894222
20060104,12150,12500,11500,11750,3270220
20060105,12000,13050,11650,13050,3971127
20060106,13000,13350,12400,12500,3214398
20060109,12550,12750,11250,12050,2449159
20060110,12200,12250,11050,11250,1489853
20060111,11200,11800,11000,11400,1903363
20060112,11400,11700,10750,10800,1550297
20060113,10800,11350,10800,11150,1417048
20060116,11200,11650,10850,11500,1761540
20060117,11450,11650,10450,10550,1423943
20060118,10500,10600,9350,9800,1643601
20060119,10000,10150,9700,10050,1196417
20060120,9960,10100,8700,8750,1660167
20060123,8480,8960,7440,7560,1303707
20060124,7850,8400,7450,8050,1977326
20060125,8050,8660,7970,8170,2009604
20060126,8400,8550,8030,8550,1006943
20060127,8800,9500,8650,9140,2604612
20060131,9200,9440,8950,9060,1070242
20060201,9000,9050,8050,8400,1250439
20060202,8580,8860,8050,8500,1794963
20060203,8120,8300,7990,8100,975581
20060206,8010,8250,7860,8190,726442
20060207,8120,8340,8030,8270,801149
20060208,8280,8700,8200,8200,1216151
20060209,8420,8610,8230,8400,1683165
20060210,8500,8750,8310,8750,1102441
20060213,9000,9010,8560,8590,1183195
20060214,8600,8640,8340,8550,542315
20060215,8790,8970,8250,8250,1516241
20060216,8410,9400,8230,9200,2059498
20060217,9200,9250,8650,8720,1611304
20060220,8760,9010,8710,8920,1025029
20060221,8920,9140,8790,8820,868738
20060222,8770,9070,8770,8950,878928
20060223,9000,9130,8880,9010,850893
20060224,9020,9500,9020,9190,2026963
20060227,9380,10200,9360,9650,3569838
20060228,9720,9750,9330,9500,987450
20060302,9650,9850,9110,9110,1186276
20060303,8960,9120,8760,8780,975876
20060306,8780,8880,8700,8830,539185
20060307,8700,8760,8310,8340,793292
20060308,8570,9190,8510,8770,2407237
20060309,8970,9140,8840,8980,1216324
20060310,8990,9070,8790,8820,707736
20060313,8870,9200,8860,9170,922558
20060314,9120,9200,8970,9020,774458
20060315,9200,9440,9020,9020,1520102
20060316,9120,9210,8740,8750,753581
20060317,8700,8800,8600,8620,453905
20060320,8510,8740,8510,8530,526680
20060321,8660,8810,8610,8650,541622
20060322,8830,8980,8670,8700,1321025
20060323,8910,8950,8250,8460,805052
20060324,8370,8500,8060,8270,690607
20060327,8270,8360,8160,8160,409223
20060328,8090,8340,8080,8190,489754
20060329,8050,8150,7950,8100,392199
20060330,8290,8430,8200,8340,540398
20060331,8340,8900,8340,8740,1302435
20060403,8860,8930,8720,8740,741415
20060404,8760,8800,8580,8630,524389
20060405,8710,8790,8620,8760,849730
20060406,8810,8910,8700,8830,864844
20060407,8850,8890,8570,8590,683175
20060410,8500,8590,8350,8360,634076
20060411,8360,8470,8240,8420,385030
20060412,8300,8430,8290,8350,378553
20060413,8400,8620,8400,8500,661102
20060414,8550,8580,8440,8510,479295
20060417,8610,8850,8610,8780,1267713
20060418,8700,8740,8520,8570,495794
20060419,8750,8750,8370,8370,624208
20060420,8360,8420,8210,8210,449535
20060421,8320,8340,8230,8230,357056
20060424,8150,8250,8100,8110,319138
20060425,8100,8170,7900,7900,490770
20060426,7950,8010,7840,7920,301959
20060427,8050,8180,7980,8070,418910
20060428,8000,8050,7720,7730,425519
20060502,7670,7800,7510,7510,439623
20060503,7550,7630,7290,7290,478312
20060504,7250,7390,7160,7320,385101
20060508,7410,7530,7320,7430,412676
20060509,7410,7870,7400,7630,1130325
20060510,7700,7700,7470,7500,326925
20060511,7490,7500,7240,7330,372399
20060512,7200,7270,7160,7240,310764
20060515,7200,7400,7170,7270,448490
20060516,7300,7350,6770,6840,547160
20060517,6860,7140,6860,6970,404828
20060518,6710,6780,6510,6550,338252
20060519,6400,6730,6400,6700,254902
20060522,6730,7600,6700,7300,1729208
20060523,7300,7300,6770,6900,670768
20060524,6910,7230,6770,6990,828869
20060525,7000,7080,6400,6400,366714
20060526,6510,6610,6360,6430,319617
20060529,6540,6560,6430,6500,303234
20060530,6560,7180,6560,6800,1400848
20060601,6720,6840,6350,6380,429800
20060602,6490,6640,6180,6220,361686
20060605,6180,6250,5860,5880,334158
20060607,5640,5690,5080,5120,523591
20060608,5000,5250,4855,5050,427809
20060609,5230,5310,5090,5240,315985
20060612,5120,5390,5100,5390,255977
20060613,5170,5230,5080,5080,204731
20060614,5020,5310,5000,5300,230389
20060615,5430,5510,5130,5280,221857
20060616,5450,5600,5380,5430,454131
20060619,5390,5390,5170,5240,138848
20060620,5160,5210,5020,5020,171335
20060621,5120,5230,5020,5160,268430
20060622,5360,5530,5120,5190,478934
20060623,5220,5260,5070,5190,200798
20060626,5160,5260,5070,5210,202350
20060627,5300,5500,5300,5320,662128
20060628,5150,5370,5120,5310,175876
20060629,5430,5590,5380,5390,368610
20060630,5600,5600,5440,5530,402586
20060703,5530,5830,5440,5780,459200
20060704,5850,5850,5590,5650,335022
20060705,5410,5540,5390,5400,291434
20060706,5370,5450,5230,5300,234922
20060707,5350,5410,5280,5290,189923
20060710,5170,5400,5140,5280,189515
20060711,5330,5440,5250,5440,262242
20060712,5490,5930,5460,5740,1504648
20060713,5700,6010,5610,5900,919133
20060714,5710,5860,5650,5800,319680
20060718,5700,5740,5300,5300,429788
20060719,5330,5570,5330,5450,461147
20060720,5670,5730,5550,5630,313767
20060721,5510,5600,5450,5540,179725
20060724,5520,5770,5440,5770,303489
20060725,5850,5880,5680,5790,389831
20060726,5830,5840,5650,5700,262024
20060727,5680,5820,5660,5690,173837
20060728,5660,5810,5600,5740,253840
20060731,5870,5870,5700,5710,239612
20060801,5650,5780,5540,5570,296526
20060802,5550,5800,5500,5720,646205
20060803,5750,5760,5530,5540,315534
20060804,5550,5690,5450,5600,235159
20060807,5610,5870,5610,5750,524589
20060808,5710,5870,5640,5870,282151
20060809,6040,6750,6020,6750,1796299
20060810,7180,7760,7080,7760,2832260
20060811,8000,8050,6740,6740,4551002
20060814,6900,7210,6780,7150,2988183
20060816,7160,7180,6270,6400,1537661
20060817,6420,7150,6420,6580,2992532
20060818,6580,6680,6290,6410,1190093
20060821,6510,7000,6510,6630,1785392
20060822,6630,7250,6610,7000,2746448
20060823,7090,7090,6730,6850,753705
20060824,6850,6850,6600,6670,620166
20060825,6670,6850,6600,6630,739595
20060828,6650,6750,6500,6540,405847
20060829,6600,6820,6590,6650,636414
20060830,6800,7150,6750,7030,2228197
20060831,7040,7090,6820,7040,1061022
20060901,7060,7300,6890,6900,1286025
20060904,6980,7030,6880,7020,487718
20060905,7150,7220,6950,6950,714744
20060906,6920,7020,6750,6750,472132
20060907,6690,7160,6560,6990,1267662
20060908,7000,7100,6870,7050,489666
20060911,7050,7100,6800,6800,436650
20060912,6810,6880,6680,6690,311708
20060913,6800,6850,6700,6700,331597
20060914,6700,6870,6700,6810,256249
20060915,6790,6960,6760,6930,311307
20060918,6960,7180,6960,7130,832350
20060919,7180,7180,6980,7060,297294
20060920,7010,7060,6820,6870,350327
20060921,6930,6950,6690,6700,406786
20060922,6630,6730,6370,6410,328563
20060925,6500,6840,6500,6710,724639
20060926,6840,6870,6390,6400,529252
20060927,6510,6520,6350,6400,233241
20060928,6350,6460,6350,6410,213262
20060929,6470,6800,6400,6460,370360
20061002,6450,6570,6410,6450,167067
20061004,6400,6530,6250,6350,215957
20061009,6410,6410,5400,5400,524466
20061010,5410,5660,5350,5550,265772
20061011,5550,5760,5350,5600,348062
20061012,5730,5810,5670,5790,278376
20061013,5890,5920,5700,5720,299195
20061016,5760,5940,5740,5800,445399
20061017,5930,5930,5530,5650,239482
20061018,5550,5690,5550,5640,195722
20061019,5700,5840,5580,5600,263024
20061020,5660,5770,5650,5690,193633
20061023,5790,5860,5720,5820,275345
20061024,5850,5870,5740,5850,174979
20061025,5850,6450,5850,6200,1024141
20061026,6250,6320,6010,6200,422038
20061027,6320,6700,6150,6160,884934
20061030,6100,6170,6040,6160,121694
20061031,6230,6240,6060,6070,167595
20061101,6110,6160,6060,6140,286145
20061102,6100,6160,6050,6050,133379
20061103,6130,6250,6080,6100,255896
20061106,6110,6180,6010,6130,152684
20061107,6210,6290,6090,6090,248814
20061108,6180,6210,6050,6100,208792
20061109,6080,6120,5990,6060,318189
20061110,6010,6060,5820,5900,291944
20061113,5950,5950,5860,5860,154061
20061114,5890,5950,5850,5890,226073
20061115,5920,6010,5870,5880,161989
20061116,5960,6140,5920,5920,371513
20061117,5950,6020,5860,5880,171239
20061120,5940,5940,5670,5670,225406
20061121,5660,5850,5590,5780,195596
20061122,5730,5860,5730,5740,174542
20061123,5740,5830,5730,5730,139555
20061124,5800,5800,5650,5670,137316
20061127,5630,5720,5600,5680,149359
20061128,5640,5670,5560,5600,136489
20061129,5620,5690,5560,5640,181425
20061130,5650,5810,5640,5750,255969
20061201,5810,5810,5670,5690,133470
20061204,5730,5730,5620,5690,129749
20061205,5750,6540,5750,6540,2765661
20061206,6560,6730,6010,6050,2374314
20061207,6050,6050,5790,5830,843373
20061208,5750,5800,5510,5510,557980
20061211,5480,5590,5480,5480,280949
20061212,5570,6150,5570,5710,1753031
20061213,5800,5800,5560,5620,430472
20061214,5620,5680,5530,5590,387070
20061215,5580,5790,5580,5640,351157
20061218,5670,5870,5650,5830,560635
20061219,5830,6230,5730,5940,1190424
20061220,6180,6830,6170,6830,1941239
20061221,6880,6880,6350,6550,3953029
20061222,6510,6930,6320,6430,2720760
20061226,6520,6770,6150,6420,1596619
20061227,6510,6510,6280,6300,809263
20061228,6600,7240,6560,7240,1719996
20070102,7950,8030,6870,7200,4300894
20070103,7100,7120,6780,6890,1021689
20070104,6890,6940,6400,6460,896554
20070105,6520,6820,6370,6540,1857782
20070108,6510,6850,6340,6850,1038939
20070109,6800,6950,6510,6560,950057
20070110,6550,6700,6370,6490,553061
20070111,6620,6790,6270,6300,989843
20070112,6390,6500,6260,6500,460022
20070115,6600,6630,6310,6330,469869
20070116,6280,6370,6000,6160,555769
20070117,6150,6250,5990,6000,467110
20070118,6020,6110,5940,5970,392465
20070119,6020,6040,5610,5700,331311
20070122,5700,5770,5530,5670,239073
20070123,5620,5750,5520,5560,221191
20070124,5620,5770,5600,5700,335715
20070125,5800,5880,5690,5720,263922
20070126,5640,5710,5560,5640,153460
20070129,5650,5720,5590,5590,195940
20070130,5580,5670,5550,5630,148020
20070131,5650,5680,5480,5490,248231
20070201,5540,5610,5500,5500,158190
20070202,5510,5640,5470,5600,349035
20070205,5780,5970,5740,5750,632724
20070206,5750,5750,5550,5610,280916
20070207,5640,5670,5530,5620,223349
20070208,5600,5650,5560,5620,247606
20070209,5550,5640,5520,5530,260425
20070212,5470,5520,5360,5390,222165
20070213,5350,5440,5340,5360,217075
20070214,5430,5520,5370,5420,223978
20070215,5490,5510,5410,5460,136311
20070216,5450,5500,5300,5350,204666
20070220,5390,5450,5310,5360,174038
20070221,5360,5610,5320,5530,517834
20070222,5530,5630,5490,5550,235306
20070223,5550,5570,5420,5460,150498
20070226,5510,5520,5450,5450,135017
20070227,5450,5480,5350,5380,120831
20070228,5000,5170,5000,5160,153376
20070302,5100,5220,5070,5180,170382
20070305,5120,5230,5070,5070,117543
20070306,5070,5150,5070,5130,182280
20070307,5550,5830,5370,5370,824348
20070308,5300,5470,5260,5340,220307
20070309,5360,5470,5330,5370,149332
20070312,5440,5540,5380,5500,221207
20070313,5500,5540,5350,5350,125087
20070314,5250,5290,5150,5200,119152
20070315,5270,5410,5230,5320,126093
20070316,5400,5560,5350,5440,236426
20070319,5610,5720,5520,5520,237924
20070320,5550,5630,5430,5460,173455
20070321,5500,5530,5390,5460,165898
20070322,5470,5630,5470,5570,311799
20070323,5560,5600,5370,5400,168986
20070326,5400,5450,5370,5410,135854
20070327,5420,5540,5380,5540,191716
20070328,5500,5570,5400,5400,160974
20070329,5390,5440,5360,5390,85330
20070330,5450,5480,5380,5400,177702
20070402,5400,5470,5400,5450,140788
20070403,5490,5550,5440,5520,163117
20070404,5600,5670,5450,5580,271817
20070405,5660,6220,5660,6050,1809513
20070406,6000,6040,5660,5680,682982
20070409,5750,5750,5610,5630,256116
20070410,5640,5810,5640,5700,244234
20070411,5710,5800,5660,5740,181581
20070412,5800,5870,5730,5800,183039
20070413,5830,5830,5710,5800,133661
20070416,5820,6010,5820,5910,387854
20070417,6000,6000,5680,5690,220081
20070418,5660,5760,5630,5630,176353
20070419,5670,5670,5480,5510,212891
20070420,5510,5600,5490,5580,102914
20070423,5620,5680,5560,5560,145852
20070424,5560,5600,5470,5470,136877
20070425,5470,5500,5340,5380,190492
20070426,5400,5550,5370,5380,147581
20070427,5360,5430,5300,5310,103636
20070430,5320,5350,5290,5290,66984
20070502,5310,5380,5290,5300,62823
20070503,5340,5440,5340,5400,75473
20070504,5400,5450,5370,5380,76095
20070507,5400,5510,5400,5490,79618
20070508,5500,5510,5380,5380,84467
20070509,5490,5890,5430,5450,405981
20070510,5510,5520,5380,5440,118920
20070511,5400,5400,5320,5340,78636
20070514,5350,5550,5330,5370,153107
20070515,5440,5460,5280,5320,68614
20070516,5320,5380,5290,5370,58402
20070517,5400,5430,5350,5370,48351
20070518,5370,5450,5350,5430,108180
20070521,5530,5650,5480,5530,229461
20070522,5550,5550,5390,5400,107286
20070523,5410,5650,5400,5470,352312
20070525,5510,5580,5410,5580,148495
20070528,5620,5620,5510,5550,138729
20070529,5650,5730,5440,5440,319208
20070530,5470,5500,5350,5400,176023
20070531,5460,5540,5400,5430,161528
20070601,5440,5500,5330,5400,208418
20070604,5450,5490,5310,5370,156909
20070605,5370,5390,5300,5370,137013
20070607,5370,5440,5230,5440,163575
20070608,5450,5460,5310,5410,141253
20070611,5440,5750,5420,5580,510806
20070612,5650,5660,5510,5610,266154
20070613,5590,6050,5530,5940,663997
20070614,6110,6420,6020,6180,861762
20070615,6380,6400,6190,6250,383698
20070618,6450,6770,6410,6410,1125255
20070619,6410,6890,6080,6800,947121
20070620,6700,6830,6230,6250,614163
20070621,6160,6490,6150,6490,337287
20070622,6900,7040,6410,6420,1279296
20070625,6400,6500,6090,6150,307336
20070626,6150,6270,5910,6030,223055
20070627,5960,6020,5720,5750,178084
20070628,5850,6100,5750,6100,177762
20070629,6150,6240,5790,5830,286285
20070702,5850,5890,5760,5850,80995
20070703,5850,6000,5850,6000,141802
20070704,6020,6140,5890,5920,203836
20070705,5950,5970,5760,5760,208400
20070706,5770,5830,5680,5700,201208
20070709,5720,5960,5720,5860,189481
20070710,6500,6570,6040,6040,1152556
20070711,6010,6140,6010,6020,283553
20070712,6050,6150,5880,5900,241957
20070713,6010,6010,5490,5670,544074
20070716,5690,5980,5550,5670,485968
20070718,5750,5780,5650,5710,158303
20070719,5720,5870,5700,5820,186083
20070720,5900,5900,5760,5820,152892
20070723,5800,6010,5750,5910,174711
