날짜,시가,고가,저가,종가,거래량
20060725,1940,2232,1819,2232,3427172
20060726,2563,2563,2563,2563,12260
20060727,2947,2947,2636,2947,2740675
20060728,3117,3388,3105,3388,1020915
20060731,3792,3873,3436,3639,2561054
20060801,3529,4180,3327,4007,3441887
20060802,3881,4496,3732,4003,2994400
20060803,4164,4455,3893,4124,2982711
20060804,4237,4738,4124,4738,3154806
20060807,5094,5377,4908,5256,3201577
20060808,5102,6040,5046,6040,3543984
20060809,6388,6946,6226,6946,3645603
20060810,7278,7981,7270,7981,1810389
20060811,8289,8370,6833,7076,5407474
20060814,7076,7747,6016,6016,3591982
20060816,6065,6914,5814,6914,4647224
20060817,7237,7609,6275,6631,4357060
20060818,6712,6809,5725,5863,2266980
20060821,5968,6259,5507,5620,2650493
20060822,5588,6461,5410,6461,2783448
20060823,6615,7173,6057,6081,7331737
20060824,6146,6550,6121,6218,3035230
20060825,6291,6461,5717,5830,2939654
20060828,5838,5992,5660,5725,1361447
20060829,5798,6121,5620,5741,2679532
20060830,5790,5903,5636,5693,972313
20060831,5677,5806,5499,5499,821179
20060901,5426,6324,5337,6324,4301733
20060904,6631,6768,5992,6081,2964402
20060905,6105,6332,5943,6032,1225361
20060906,6146,6566,6032,6226,2962418
20060907,6121,6461,6040,6388,1775300
20060908,6679,6841,6226,6226,2234049
20060911,6186,6315,5854,5960,1110929
20060912,5960,6040,5628,5660,771732
20060913,5677,5854,5426,5434,1029771
20060914,5474,5717,5402,5547,1295208
20060915,5499,5943,5491,5604,1538662
20060918,5604,5903,5547,5806,1292283
20060919,5741,5846,5580,5580,825028
20060920,5539,5580,5394,5394,509942
20060921,5418,5474,5216,5216,469408
20060922,5094,5175,4787,4811,474439
20060925,4771,5151,4755,4900,666292
20060926,4900,4973,4423,4496,415729
20060927,4455,5094,4334,4544,1820045
20060928,4544,4755,4488,4585,641241
20060929,4666,4706,4221,4261,511682
20061002,4261,4350,4059,4075,367213
20061004,4043,4391,3950,4172,599188
20061009,4164,4342,3550,3550,701790
20061010,3550,3800,3550,3639,309718
20061011,3517,3760,3436,3647,232439
20061012,3784,4189,3780,4189,1174587
20061013,4286,4650,4229,4326,1353318
20061016,4366,4528,4205,4447,724928
20061017,4447,4447,4124,4383,456248
20061018,4617,4957,4561,4690,2209968
20061019,4690,4755,4512,4569,601234
20061020,4650,4779,4205,4205,777687
20061023,4205,4286,4035,4100,421328
20061024,4205,4326,4067,4164,556921
20061025,4148,4245,4083,4092,359327
20061026,4124,4140,4003,4092,297669
20061027,4164,4164,4003,4043,211749
20061030,3962,4447,3962,4164,595765
20061031,4108,4205,4067,4205,208337
20061101,4245,4738,4148,4496,2362757
20061102,4488,4569,4286,4399,348391
20061103,4455,4650,4391,4561,845998
20061106,4561,4609,4375,4455,264922
20061107,4455,4528,4294,4358,345632
20061108,4383,4383,4197,4197,209655
20061109,4245,4245,4116,4124,180637
20061110,4043,4213,4043,4108,165015
20061113,4124,4180,4092,4108,140687
20061114,4092,4366,4083,4221,367596
20061115,4245,4294,4156,4205,101154
20061116,4205,4253,3974,4019,262493
20061117,3970,4132,3970,4051,131705
20061120,4043,4100,3999,4007,80101
20061121,3982,4043,3897,3906,120009
20061122,3881,3946,3841,3942,189668
20061123,3942,3970,3881,3946,173725
20061124,3906,3974,3897,3914,89999
20061127,3958,3974,3841,3841,72826
20061128,3780,3829,3639,3639,118896
20061129,3606,3687,3606,3651,61664
20061130,3659,3699,3622,3622,97477
20061201,3631,4164,3622,4164,1041563
20061204,4213,4698,4205,4366,1610551
20061205,4294,4407,4132,4197,641948
20061206,4229,4819,4140,4819,1575673
20061207,5062,5256,4496,4609,2220439
20061208,4730,5199,4544,4916,1776820
20061211,4949,4989,4431,4464,658660
20061212,4472,5013,4447,4714,1339238
20061213,4650,4900,4464,4561,388112
20061214,4625,5013,4561,4933,937726
20061215,4852,5361,4771,5070,1848890
20061218,5038,5240,4997,5046,754811
20061219,5102,5693,5062,5385,1834570
20061220,5418,5636,5296,5547,683406
20061221,5450,5523,5175,5175,438183
20061222,4981,5377,4771,4811,634609
20061226,4738,4973,4617,4803,302779
20061227,4811,4916,4528,4528,253188
20061228,4536,4957,4447,4706,471507
20070102,4738,5013,4682,4924,323233
20070103,5022,5110,4827,4827,368383
20070104,4836,4892,4641,4650,217775
20070105,4722,4836,4528,4544,215940
20070108,4455,4674,4447,4512,143163
20070109,4512,4666,4431,4447,163156
20070110,4455,4488,4286,4286,114575
20070111,4366,4391,4205,4205,117873
20070112,4189,4520,4189,4342,152573
20070115,4326,4439,4213,4213,97425
20070116,4221,4310,4197,4229,97832
20070117,4269,4269,4083,4124,84980
20070118,4051,4245,4011,4108,80905
20070119,4051,4213,4051,4148,87754
20070122,4124,4205,3994,4043,95884
20070123,4124,4140,3966,3990,74503
20070124,3982,4035,3978,3986,44813
20070125,4043,4100,3990,4051,48422
20070126,4051,4658,4051,4658,596623
20070129,4908,5167,4577,4755,626685
20070130,4803,5070,4714,4973,673842
20070131,5038,5038,4714,4738,255901
20070201,4884,5013,4593,4609,389433
20070202,4625,4965,4625,4941,324648
20070205,4973,5677,4884,5677,1126185
20070206,5838,6194,5499,5685,1490754
20070207,5685,5685,5685,5685,0
20070208,6534,6534,6534,6534,167615
20070209,7512,7512,7512,7512,36189
20070212,8612,8612,8248,8612,1065041
20070213,9017,9502,8450,9017,4264055
20070214,9017,10189,8733,9704,3177433
20070215,9300,9987,9097,9987,1906633
20070216,10351,10917,8491,8855,3362144
20070220,8895,9219,8370,9057,1410675
20070221,8895,10149,7723,7723,3354005
20070222,7189,7876,7124,7383,1382501
20070223,7480,8006,7318,7318,1542291
20070226,7520,7852,7213,7520,1257099
20070227,7650,8612,7650,8612,1807520
20070228,8410,9461,8248,8572,2946261
20070302,8693,9097,8410,8531,1306426
20070305,8612,8693,7278,7318,1274689
20070306,7326,7650,7124,7472,607614
20070307,7626,7941,7278,7302,734770
20070308,7440,7917,7415,7674,584734
20070309,7731,7892,7545,7658,338161
20070312,7658,7803,7359,7399,347460
