날짜,시가,고가,저가,종가,거래량
20051128,2396,2756,2396,2516,1352455
20051129,2558,2558,2266,2429,321127
20051130,2464,2510,2308,2331,230593
20051201,2273,2380,2146,2218,392119
20051202,2234,2506,2234,2270,539602
20051205,2302,2318,2156,2188,228167
20051206,2208,2243,2153,2156,210070
20051207,2162,2195,1939,2010,293506
20051208,1981,2081,1958,1978,193588
20051209,1946,2033,1946,1949,120367
20051212,1942,1972,1893,1893,133248
20051213,1877,1904,1781,1781,211125
20051214,1822,1862,1790,1813,155345
20051215,1829,1842,1689,1689,133130
20051216,1618,1732,1534,1596,251918
20051219,1586,1700,1586,1598,126855
20051220,1586,1631,1545,1550,149753
20051221,1557,1609,1549,1568,95375
20051222,1576,1803,1573,1803,776494
20051223,1855,1893,1641,1735,332272
20051226,1754,1825,1700,1809,270641
20051227,1787,1842,1644,1644,315603
20051228,1580,1580,1497,1498,346589
20051229,1489,1576,1360,1366,267564
20060102,1392,1405,1311,1369,324508
20060103,1379,1466,1375,1438,375077
20060104,1461,1615,1457,1457,624874
20060105,1457,1457,1398,1435,148843
20060106,1437,1521,1435,1470,174704
20060109,1476,1542,1476,1510,161826
20060110,1518,1542,1434,1457,117017
20060111,1463,1476,1400,1401,145085
20060112,1401,1434,1362,1424,127671
20060113,1424,1489,1408,1489,182242
20060116,1505,1515,1424,1440,202645
20060117,1443,1450,1389,1389,145480
20060118,1369,1401,1269,1295,194531
20060119,1301,1332,1280,1317,78616
20060120,1333,1411,1262,1291,179158
20060123,1207,1309,1132,1165,108078
20060124,1057,1171,990,1137,150417
20060125,1132,1181,1132,1142,142573
20060126,1165,1191,1102,1164,68171
20060127,1182,1253,1178,1230,90184
20060131,1233,1278,1204,1230,100576
20060201,1236,1254,1142,1220,92537
20060202,1204,1245,1180,1213,48573
20060203,1155,1259,1155,1233,80961
20060206,1245,1356,1201,1311,136045
20060207,1327,1392,1314,1362,139666
20060208,1408,1455,1349,1435,201347
20060209,1415,1489,1398,1450,121831
20060210,1415,1450,1361,1361,94503
20060213,1311,1360,1245,1247,145029
20060214,1228,1301,1197,1262,39822
20060215,1273,1311,1238,1238,44989
20060216,1239,1272,1213,1250,62467
20060217,1256,1298,1256,1291,69022
20060220,1280,1320,1278,1293,48058
20060221,1343,1343,1269,1275,33313
20060222,1273,1293,1230,1270,36943
20060223,1257,1304,1256,1298,42970
20060224,1272,1309,1256,1272,20542
20060227,1272,1299,1245,1259,17981
20060228,1244,1272,1235,1245,51177
20060302,1304,1304,1239,1253,42953
20060303,1254,1278,1233,1249,21761
20060306,1230,1269,1230,1242,23688
20060307,1217,1245,1191,1230,57675
20060308,1220,1257,1220,1244,32669
20060309,1230,1230,1168,1197,45606
20060310,1171,1213,1165,1213,56038
20060313,1213,1245,1204,1220,23296
20060314,1213,1227,1204,1217,24594
20060315,1218,1278,1213,1217,42944
20060316,1213,1242,1193,1197,25879
20060317,1197,1210,1181,1210,9148
20060320,1201,1291,1199,1281,61581
20060321,1348,1348,1230,1245,100130
20060322,1242,1275,1215,1236,35956
20060323,1230,1278,1223,1236,48810
20060324,1191,1242,1191,1207,42589
20060327,1222,1230,1197,1197,28761
20060328,1180,1208,1180,1180,19941
20060329,1194,1194,1168,1185,13038
20060330,1197,1197,1169,1197,24956
20060331,1197,1220,1188,1201,16925
20060403,1205,1227,1201,1223,32579
20060404,1242,1278,1223,1273,61976
20060405,1287,1287,1249,1272,27135
20060406,1249,1283,1249,1262,22374
20060407,1242,1324,1242,1278,70077
20060410,1262,1304,1235,1278,56298
20060411,1327,1327,1249,1275,35333
20060412,1254,1281,1245,1245,27754
20060413,1247,1304,1242,1272,61810
20060414,1272,1356,1262,1301,89602
20060417,1304,1327,1293,1317,41962
20060418,1312,1317,1284,1304,61963
20060419,1306,1356,1298,1356,86864
20060420,1379,1539,1362,1457,317104
20060421,1463,1674,1463,1618,603873
20060424,1631,1664,1505,1518,173462
20060425,1528,1580,1362,1453,227648
20060426,1427,1482,1361,1455,180038
20060427,1466,1486,1394,1394,113127
20060428,1366,1395,1330,1392,121763
20060502,1424,1424,1366,1401,82771
20060503,1389,1401,1239,1270,186683
20060504,1264,1295,1197,1201,100473
20060508,1245,1245,1181,1201,86834
20060509,1182,1196,1148,1164,79198
20060510,1153,1171,1094,1102,75140
20060511,1103,1148,1100,1123,29298
20060512,1102,1134,1067,1077,51090
20060515,1077,1115,1027,1067,49250
20060516,1055,1083,1039,1041,30284
20060517,1067,1126,1041,1094,46277
20060518,1067,1148,1055,1132,66193
20060519,1103,1162,1103,1125,15605
20060522,1125,1148,1113,1115,20661
20060523,1132,1132,1097,1118,23773
20060524,1105,1117,1077,1100,3739
20060525,1074,1100,1067,1077,19481
20060526,1077,1089,1041,1052,22103
20060529,1041,1083,1008,1021,26128
20060530,1021,1081,1021,1079,21426
20060601,1067,1117,1052,1094,17814
20060602,1067,1137,1064,1069,25036
20060605,1052,1067,1004,1052,10323
20060607,1063,1063,1009,1032,9654
20060608,988,1032,980,1023,11254
20060609,1023,1043,1014,1043,4349
20060612,1055,1067,1027,1034,6237
20060613,1049,1084,1016,1074,9773
20060614,1074,1132,1041,1106,12054
20060615,1132,1140,1088,1113,9128
20060616,1129,1159,1123,1155,14883
20060619,1162,1213,1136,1159,41053
20060620,1153,1159,997,1055,30349
20060621,1029,1055,1021,1025,10509
20060622,1067,1067,1029,1029,5009
20060623,1009,1034,997,1013,14127
20060626,1074,1074,997,1004,6909
20060627,1016,1019,997,1011,8738
20060628,992,1013,990,990,13258
20060629,1035,1052,993,1052,7276
20060630,1035,1061,1035,1052,7241
20060703,1061,1061,1035,1055,6842
20060704,1058,1058,1029,1049,4126
20060705,1029,1035,990,990,11356
20060706,970,995,959,959,17514
20060707,982,1003,970,1003,6380
20060710,1013,1034,987,1030,5289
20060711,1035,1046,1023,1041,9284
20060712,1035,1050,1021,1045,11077
20060713,1057,1057,1003,1035,7375
20060714,1025,1030,987,1006,8368
20060718,1034,1034,993,1008,2685
20060719,992,1035,992,1009,6973
20060720,1013,1032,1006,1025,7351
20060721,1034,1034,980,1014,3912
20060724,1024,1024,993,997,2828
20060725,1023,1023,997,1006,2394
20060726,1019,1019,1009,1009,2601
20060727,1016,1016,977,977,7385
20060728,1009,1009,974,982,3368
20060731,984,1001,974,1000,6074
20060801,1027,1027,977,997,1859
20060802,998,1000,972,993,7081
20060803,1003,1003,961,985,3334
20060804,967,970,954,954,6687
20060807,967,967,912,914,12881
20060808,958,958,912,919,2590
20060809,916,956,916,944,986
20060810,951,970,951,959,2511
20060811,941,995,938,948,4860
20060814,938,970,938,970,4027
20060816,946,984,946,977,7477
20060817,959,997,959,995,6590
20060818,1001,1001,954,987,2839
20060821,958,987,958,985,1331
20060822,970,985,962,985,6661
20060823,985,987,958,970,4332
20060824,977,987,954,969,4580
20060825,984,984,956,970,2281
20060828,958,970,958,961,2142
20060829,946,970,946,961,1655
20060830,956,982,956,964,4423
20060831,958,974,954,967,7930
20060901,980,980,959,967,3749
20060904,984,984,966,982,9429
20060905,980,982,970,970,2034
20060906,977,985,967,977,4099
20060907,970,1001,967,967,6766
20060908,980,1000,980,990,588
20060911,975,1003,975,997,3457
20060912,1003,1016,987,1003,5231
20060913,998,1032,998,1032,4517
20060914,1131,1131,1025,1025,12881
20060915,1027,1072,1009,1067,17568
20060918,1094,1095,1055,1067,5024
20060919,1050,1076,1046,1046,4822
20060920,1035,1061,1035,1035,2123
20060921,1049,1063,1023,1035,3419
20060922,1041,1045,1019,1029,8984
20060925,1035,1035,987,992,9324
20060926,1040,1040,1025,1025,311
20060927,1019,1043,987,1013,6852
20060928,1016,1018,988,993,5831
20060929,1016,1016,975,977,5223
20061002,987,1003,970,997,652
20061004,967,987,933,941,11396
20061009,949,987,876,916,10015
20061010,938,938,842,928,1933
20061011,937,937,854,906,11330
20061012,883,928,883,917,1866
20061013,937,937,899,932,10500
20061016,938,967,922,954,762
20061017,970,970,906,922,9558
20061018,906,938,906,928,1409
20061019,938,951,922,938,671
20061020,951,953,927,944,560
20061023,964,964,935,944,1367
20061024,958,958,922,922,5736
20061025,941,941,904,920,4901
20061026,920,944,906,922,1467
20061027,954,954,906,935,2369
20061030,948,948,904,925,6489
20061031,941,964,928,948,15559
20061101,969,969,938,961,3784
20061102,938,964,930,964,2909
20061103,939,980,939,977,14469
20061106,970,1000,970,987,2211
20061107,1000,1013,982,998,5225
20061108,1016,1019,990,1000,27184
20061109,988,1019,988,1003,1664
20061110,1018,1018,993,1006,1431
20061113,992,1019,992,998,8101
20061114,1000,1032,1000,1021,6222
20061115,1021,1037,1021,1032,7471
20061116,1041,1041,1023,1037,248
20061117,1050,1058,1013,1045,3949
20061120,1027,1055,922,1052,12415
20061121,1057,1057,1011,1035,2288
20061122,1018,1039,1009,1032,12743
20061123,1004,1037,961,1013,21189
20061124,993,1030,990,1011,1420
20061127,1011,1035,1011,1030,11750
20061128,1029,1030,1011,1030,5917
20061129,1032,1035,997,1016,1294
20061130,1000,1013,990,993,7457
20061201,974,1001,974,997,1550
20061204,982,1001,982,990,2049
20061205,1000,1000,980,997,350
20061206,997,1029,972,993,4847
20061207,975,993,954,977,8012
20061208,977,987,959,977,3052
20061211,954,980,954,972,792
20061212,984,984,938,972,168
20061213,925,980,925,969,122
20061214,987,1000,972,1000,6386
20061215,997,1129,975,977,84392
20061218,980,1029,979,995,13084
20061219,995,1013,982,997,3540
20061220,990,1061,990,1035,21773
20061221,1019,1045,1018,1032,12199
20061222,1009,1035,1003,1003,5863
20061226,1032,1052,987,1035,13857
20061227,1071,1087,1053,1069,11968
20061228,1085,1085,1060,1061,758
20070102,1054,1081,1053,1063,4537
20070103,1063,1063,1027,1035,9342
20070104,1079,1079,1040,1053,1523
20070105,1076,1076,1035,1053,1314
20070108,1076,1076,1035,1067,2812
20070109,1027,1069,1027,1054,2601
20070110,1067,1067,1039,1045,8777
20070111,1020,1066,1020,1066,12969
20070112,1056,1182,1056,1161,48554
20070115,1173,1335,1171,1335,159128
20070116,1362,1534,1325,1325,366489
20070117,1323,1336,1142,1257,204460
20070118,1238,1355,1192,1192,124649
20070119,1174,1253,1024,1069,109064
20070122,1083,1229,1083,1229,59028
20070123,1331,1413,1291,1413,123219
20070124,1554,1623,1529,1623,315229
20070125,1831,1865,1783,1865,139409
20070126,2123,2144,2106,2144,215297
20070129,2463,2463,2463,2463,58440
20070130,2599,2715,2276,2463,1067080
20070131,2517,2715,2398,2480,618410
20070201,2531,2551,2208,2460,928713
20070202,2307,2827,2157,2827,1471989
20070205,3248,3248,3248,3248,14169
20070206,3720,3720,3398,3720,353266
20070207,4078,4265,3976,4265,200097
20070208,4859,4893,3908,4893,1773274
20070209,4757,5539,4587,4995,1571926
20070212,4825,4893,4247,4247,758803
20070213,4044,4401,3636,4333,1837471
20070214,4452,4638,3686,3942,2414951
20070215,4180,4519,3449,3636,2961050
20070216,3738,3874,3449,3738,1312964
20070220,3636,3738,3228,3262,1153532
20070221,3126,3143,2786,2786,1149951
20070222,2820,2990,2772,2898,845992
20070223,2861,2925,2609,2633,929368
20070226,2586,2742,2586,2694,549405
20070227,2837,3096,2820,3096,315580
