날짜,시가,고가,저가,종가,거래량
20050128,15850,16350,15550,16150,464152
20050131,16200,16450,16150,16150,415426
20050201,16300,16900,16200,16650,896450
20050202,17000,17600,16600,17450,1069679
20050203,17700,17700,16850,16900,525122
20050204,17000,17450,16550,16800,888133
20050207,16800,17300,16750,17200,576120
20050211,16900,17100,16750,16800,368978
20050214,17100,17350,16850,17200,852032
20050215,17300,17500,17000,17100,578822
20050216,17300,17350,16500,16600,659807
20050217,16500,17100,16300,17000,500668
20050218,16750,16850,16350,16500,474365
20050221,16550,16800,15700,15850,842482
20050222,15800,16050,15000,15250,688521
20050223,14950,15350,14600,15350,481910
20050224,15350,16500,15300,16100,809231
20050225,16700,16850,16100,16700,808677
20050228,17000,17050,16300,16500,570750
20050302,16700,16700,15800,15900,451773
20050303,15700,16000,15150,15850,716403
20050304,15700,15850,15300,15300,333721
20050307,15400,15700,14850,15000,459727
20050308,15250,15400,14400,15000,643226
20050309,15050,15800,14900,15200,780390
20050310,15200,15500,15050,15150,400456
20050311,15400,15700,15250,15550,461426
20050314,15450,15600,15200,15200,308726
20050315,15200,15300,14400,14400,746054
20050316,14200,14550,13700,14050,430977
20050317,13700,13850,13350,13400,524944
20050318,13250,13600,13000,13050,446196
20050321,13500,14400,13500,14200,898274
20050322,14200,14300,13750,13750,391197
20050323,13950,14000,13500,13650,322941
20050324,13900,14000,13350,13650,458760
20050325,13650,13850,13550,13800,332314
20050328,13900,14250,13900,14150,319514
20050329,14200,14350,13600,13700,210826
20050330,13650,14150,13600,14050,287078
20050331,14300,15200,14200,14900,848211
20050401,15100,16050,15000,15850,1261995
20050404,16200,16400,15750,15900,574162
20050406,16200,16350,15800,16000,433271
20050407,16200,16600,15750,15900,535813
20050408,16250,16300,15400,15550,378212
20050411,15300,15400,14850,14850,376989
20050412,14800,14950,14700,14800,258504
20050413,15000,15000,14150,14150,367821
20050414,14000,14400,13950,14100,327728
20050415,13900,14100,13700,13850,299494
20050418,13450,13950,13400,13700,601774
20050419,14000,14500,14000,14500,431061
20050420,14700,14750,14100,14150,309682
20050421,13800,14100,13600,14100,211727
20050422,14550,14600,14200,14300,244683
20050425,14150,14600,14100,14600,230133
20050426,14300,14500,13900,14250,510274
20050427,14600,14600,14000,14000,350716
20050428,14050,14300,13700,13750,150107
20050429,13500,13900,13500,13800,169594
20050502,13900,14800,13900,14600,312012
20050503,14600,14750,14100,14100,106697
20050504,14350,14600,14200,14400,171934
20050506,14350,14650,14350,14550,224360
20050509,14600,14700,14000,14200,174903
20050510,14350,14450,14050,14050,120417
20050511,14050,14150,13750,13800,230677
20050512,13800,14900,13800,14900,461893
20050513,14650,15450,14600,15300,484531
20050516,15600,15750,15400,15450,400433
20050517,15700,15700,15050,15100,243755
20050518,15200,16300,15200,16000,924304
20050519,16100,16350,15750,16000,379686
20050520,16050,16400,15900,16050,447392
20050523,16050,16100,15550,15900,258015
20050524,15900,16200,15750,15900,225728
20050525,15950,16350,15750,15950,408214
20050526,16100,16100,15650,15650,191707
20050527,15950,16000,15700,15800,228009
20050530,15800,16400,15800,16250,382692
20050531,16300,16300,15850,16100,238572
20050601,15900,16050,15700,15700,300120
20050602,15900,15950,15550,15600,423323
20050603,15800,16200,15700,16200,459516
20050607,16350,16400,15850,16150,366905
20050608,16200,16950,16200,16600,757017
20050609,16850,17100,16550,16800,717604
20050610,16950,17000,16400,16550,406638
20050613,16450,16700,16100,16150,257405
20050614,16000,16450,16000,16100,318021
20050615,16250,16600,16250,16550,359895
20050616,16700,16700,16400,16500,279213
20050617,16500,16700,16150,16150,385000
20050620,16150,16200,15600,15700,337037
20050621,15650,15800,15150,15300,411306
20050622,15250,15500,15100,15300,543681
20050623,15250,15550,15150,15350,544052
20050624,15050,15700,15000,15400,676989
20050627,15150,15300,14650,14750,369812
20050628,14650,15100,14650,15050,436762
20050629,15150,15250,14750,14750,400725
20050630,14850,15600,14800,15450,796237
20050701,15350,15550,15150,15250,428283
20050704,15250,15750,15200,15600,425778
20050705,15800,16300,15600,15900,1052398
20050706,16050,16200,15750,15900,551021
20050707,15800,16300,15800,16200,551879
20050708,16100,16450,15900,16100,422783
20050711,16500,16600,16250,16300,508401
20050712,16350,16500,16100,16100,372685
20050713,16200,16300,15700,15700,418320
20050714,15500,15900,15400,15600,461247
20050715,15800,15900,15300,15450,346875
20050718,15500,15650,15400,15450,213820
20050719,15450,15600,15350,15500,209519
20050720,15550,15650,14800,15200,483752
20050721,15250,15450,14800,15050,462904
20050722,14700,15000,14550,14850,267699
20050725,14800,15150,14700,14950,270193
20050726,14900,15300,14700,15300,332641
20050727,15300,15350,15050,15050,380949
20050728,15100,15250,14900,15150,300797
20050729,15250,15600,14650,15100,874939
20050801,15050,15100,14800,14850,266482
20050802,14650,14900,14650,14700,271486
20050803,14400,14600,12550,13450,1803137
20050804,13150,13900,13000,13350,806778
20050805,13100,13500,13100,13200,476708
20050808,12650,13050,12500,13000,371019
20050809,12900,13400,12900,13400,545856
20050810,13450,13650,13200,13200,414742
20050811,13050,13350,13000,13300,187224
20050812,13400,14000,13400,13550,663783
20050816,13950,14100,13750,13900,540506
20050817,13850,14350,13650,14300,244440
20050818,14400,14450,13850,14000,241480
20050819,13700,14150,13700,13850,178146
