날짜,시가,고가,저가,종가,거래량
20180626,9000,11700,9000,11100,28355668
20180627,11800,12100,9000,9200,11148575
20180628,9300,9560,7750,8050,6076015
20180629,7950,9720,7800,8150,19255822
20180702,8410,9100,7830,8020,8254542
20180703,8640,8720,7950,8450,3563355
20180704,8200,8320,8030,8270,1915222
20180705,8370,8420,7700,7760,2244519
20180706,7700,7760,6960,7170,2413884
20180709,7090,7850,7000,7250,4432902
20180710,7360,7500,7190,7300,1096881
20180711,7180,7200,6970,6980,1086192
20180712,6950,7020,6690,7000,1321650
20180713,6910,7040,6850,6950,820930
20180716,7000,7280,6930,7010,1375046
