날짜,시가,고가,저가,종가,거래량
20050128,3177,3259,3160,3216,42436
20050131,3139,3220,3044,3190,81704
20050201,3216,3336,3169,3336,55228
20050202,3353,3353,3242,3276,38018
20050203,3284,3327,3173,3216,24676
20050204,3173,3259,3152,3242,25414
20050207,3250,3297,3233,3263,44698
20050211,3203,3284,3190,3259,49107
20050214,3259,3370,3250,3349,52327
20050215,3370,3748,3370,3679,246276
20050216,3713,3859,3516,3555,142479
20050217,3606,3730,3542,3610,101177
20050218,3653,3945,3593,3816,265681
20050221,3928,3928,3628,3632,106020
20050222,3632,4065,3533,3619,387569
20050223,3559,3585,3439,3585,52468
20050224,3593,3756,3593,3619,58823
20050225,3619,3670,3482,3482,41175
20050228,3435,3516,3435,3439,34779
20050302,3473,3546,3465,3473,41912
20050303,3456,3507,3439,3473,43377
20050304,3499,3662,3499,3576,44514
20050307,3688,3748,3516,3593,55852
20050308,3606,3628,3439,3490,34864
20050309,3439,3490,3310,3379,42343
20050310,3306,3387,3216,3254,42158
20050311,3254,3327,3250,3310,35149
20050314,3327,3362,3276,3310,24563
20050315,3310,3362,3186,3224,50018
20050316,3186,3293,3173,3259,32765
20050317,3259,3370,3216,3284,45058
20050318,3272,3319,3254,3293,19368
20050321,3345,3345,3242,3259,15161
20050322,3199,3280,3190,3229,13750
20050323,3199,3237,3177,3216,19456
20050324,3242,3246,3096,3190,35016
20050325,3156,3190,3134,3177,11733
20050328,3190,3263,3190,3263,22510
20050329,3233,3293,3216,3216,13395
20050330,3233,3302,3220,3220,14534
20050331,3242,3280,3229,3259,13446
20050401,3259,3353,3259,3276,32609
20050404,3229,3315,3229,3246,10695
20050406,3315,3315,3246,3250,6868
20050407,3199,3267,3199,3216,16841
20050408,3254,3293,3216,3293,16314
20050411,3293,3345,3259,3302,19351
20050412,3370,3413,3293,3362,29043
20050413,3345,3396,3302,3345,11653
20050414,3362,3362,3280,3323,8855
20050415,3293,3302,3220,3220,18772
20050418,3139,3207,3027,3027,18353
20050419,3027,3164,2959,3061,19785
20050420,3023,3109,3023,3096,10632
20050421,3044,3096,2997,3019,15339
20050422,3053,3164,3010,3164,14616
20050425,3173,3173,3044,3139,2480
20050426,3164,3164,3061,3079,9951
20050427,3109,3126,2967,3070,22118
20050428,3130,3130,3040,3040,4859
20050429,3070,3070,2585,2984,34086
20050502,3387,3387,3001,3014,74302
20050503,3001,3117,2920,2959,33324
20050504,2967,3019,2941,2959,17692
20050506,2959,3019,2933,2980,17238
20050509,3027,3027,2959,2967,7296
20050510,2950,3001,2941,2967,13217
20050511,2933,3001,2933,2959,7620
20050512,3036,3036,2916,2959,8063
20050513,2959,3001,2924,2959,7019
20050516,3053,3053,2967,3019,8487
20050517,3044,3044,2959,2959,6451
20050518,2984,2989,2899,2959,11511
20050519,2976,3023,2924,2933,17113
20050520,2920,3019,2916,2946,24049
20050523,3001,3001,2933,2984,10908
20050524,2967,3019,2967,2993,15618
20050525,3036,3036,2980,2984,13260
20050526,3019,3173,2976,3074,23712
20050527,3036,3096,3036,3066,12745
20050530,3036,3096,3036,3087,11033
20050531,3087,3087,3019,3083,16006
20050601,3079,3083,3027,3044,17678
20050602,3079,3079,3019,3019,14228
20050603,2997,3044,2971,3023,19844
20050607,3023,3044,2976,2989,10198
20050608,2963,3036,2924,2976,29113
20050609,2946,2997,2924,2967,34617
20050610,3001,3070,2967,3010,28173
20050613,3001,3079,3001,3036,12335
20050614,3074,3074,2967,2967,27039
20050615,2959,3010,2950,2971,12220
20050616,3023,3027,2959,2976,17704
20050617,2967,3010,2967,2976,15971
20050620,2989,3066,2967,3031,29158
20050621,3044,3044,3014,3014,11394
20050622,3027,3049,2993,3014,19578
20050623,3019,3053,3014,3044,25863
20050624,3044,3066,3014,3049,14875
20050627,3044,3053,3010,3040,11633
20050628,3044,3104,3044,3070,29061
20050629,3079,3083,3036,3079,33564
20050630,3079,3160,3070,3130,29400
20050701,3100,3585,3100,3396,114835
20050704,3507,3533,3357,3430,96439
20050705,3439,3507,3267,3345,56032
20050706,3345,3370,3229,3293,26325
20050707,3250,3302,3220,3302,54629
20050708,3340,3340,3259,3280,20572
20050711,3284,3349,3263,3280,69913
20050712,3284,3340,3267,3302,19328
20050713,3302,3345,3267,3319,41615
20050714,3345,3490,3345,3430,52237
20050715,3439,3507,3319,3430,53604
20050718,3473,3473,3353,3379,24930
20050719,3375,3413,3293,3302,52128
20050720,3267,3405,3267,3310,33060
20050721,3345,3383,3297,3310,29685
20050722,3310,3387,3293,3345,16292
20050725,3345,3525,3319,3473,54075
20050726,3512,3525,3460,3525,41836
20050727,3550,3838,3525,3692,106992
20050728,3692,3756,3593,3636,43559
20050729,3645,3713,3615,3662,23034
20050801,3640,3722,3640,3662,11350
20050802,3653,3696,3435,3503,34730
