날짜,시가,고가,저가,종가,거래량
20051129,7154,8227,6764,8227,2311981
20051130,8667,9448,8505,9448,754118
20051201,10293,10862,9171,9448,1597190
20051202,9740,10487,9366,9789,710955
20051205,9561,9789,8536,8619,479823
20051206,8488,9171,8358,8846,445250
20051207,8829,10050,8309,8748,760434
20051208,8748,9284,8569,8764,371661
20051209,9106,9658,8797,9106,635639
20051212,8862,9302,8764,8814,206717
20051213,8700,9025,8455,8472,180182
20051214,8521,8943,8455,8488,250404
20051215,8505,8878,8390,8667,275592
20051216,8390,8536,7398,8439,172909
20051219,8358,8569,8032,8049,136679
20051220,7821,8196,7560,7642,217398
20051221,7642,8000,7642,7870,176407
20051222,7870,7967,7024,7431,218529
20051223,7154,7480,7024,7349,71151
20051226,7447,8244,7349,7934,322405
20051227,7870,7870,7480,7480,113515
20051228,7317,7756,7285,7658,76218
20051229,7317,8099,7301,7789,451622
20060102,8000,8716,7967,8716,524463
20060103,9171,10000,8829,8910,948582
20060104,9334,9658,8829,8895,987885
20060105,9106,9757,8619,9757,1230603
20060106,10179,11221,10017,10245,1587264
20060109,10537,10651,9838,9919,557646
20060110,10081,10277,9171,9561,675987
20060111,9431,9561,9025,9268,372790
20060112,9203,9611,9041,9399,482539
20060113,9155,9561,9155,9268,191803
20060116,9268,9789,9268,9658,466442
20060117,9594,10179,8878,9138,752401
20060118,9203,9252,7886,8619,319947
20060119,8472,8846,8146,8390,215204
20060120,8309,8619,8000,8000,298525
20060123,7740,7934,6813,6813,413151
20060124,6715,7154,6081,6992,797621
20060125,7024,7805,6927,7105,605233
20060126,7154,7268,6634,6976,436352
20060127,7365,7740,7187,7497,623852
20060131,7724,7724,7431,7431,365361
20060201,7349,7349,6536,6992,488862
20060202,7138,7203,6634,6829,329982
20060203,6504,6683,6407,6504,305982
20060206,6292,6585,6292,6536,185327
20060207,6699,6731,6569,6569,234371
20060208,6504,7544,6504,7544,319627
20060209,7919,8065,7138,7398,669519
20060210,7398,7480,7105,7463,246469
20060213,7691,7903,7497,7756,560136
20060214,7675,7740,7285,7383,258537
20060215,7512,7512,6715,6796,311261
20060216,6829,6959,6649,6927,204989
20060217,6861,6959,6764,6764,137582
20060220,6781,7056,6781,7040,218723
20060221,7024,7349,6927,7089,164418
20060222,7024,7285,6976,7105,133359
20060223,7219,7301,7056,7056,116076
20060224,6992,7074,6895,6992,105813
20060227,7154,7285,7089,7154,203952
20060228,7317,7349,7154,7154,138619
20060302,7219,7219,7008,7008,109033
20060303,6910,7040,6764,6764,126795
20060306,6667,6764,6601,6764,88027
20060307,6667,6683,6488,6552,90482
20060308,6390,6601,6292,6438,110472
20060309,6390,6585,6390,6585,81940
20060310,6536,6634,6472,6520,73057
20060313,6552,6683,6536,6552,86469
20060314,6536,6552,6422,6455,76920
20060315,6520,6569,6340,6340,101886
20060316,6374,6422,6146,6179,152293
