날짜,시가,고가,저가,종가,거래량
20130802,5369,6175,5369,6175,329171
20130805,6192,7093,6192,7093,2629206
20130806,8150,8150,8150,8150,117296
20130807,9094,9353,8496,9353,2570393
20130808,9223,9960,8790,9180,2604885
20130809,9223,9873,8427,8427,1755157
20130812,8262,8383,7708,8028,1170455
20130813,7959,8219,7578,7621,995836
20130814,7630,8747,7630,8747,1528727
20130816,9094,9267,7448,7448,1852291
20130819,7664,8288,7231,7725,1625431
20130820,7647,7968,7292,7353,666119
20130821,7240,7448,6876,6989,439036
20130822,6842,6963,6521,6712,479184
20130823,6816,7448,6755,6755,500036
20130826,6928,7128,6746,6781,305842
20130827,6850,6850,6435,6443,151501
20130828,6201,6478,6157,6409,163265
20130829,6287,6720,6235,6694,292360
20130830,7171,7621,6582,6582,827391
20130902,5733,5976,5690,5802,1424763
20130903,5837,5906,5638,5655,582888
20130904,5716,5820,5543,5646,472857
20130905,5716,6080,5690,5802,1249785
20130906,5811,5898,5456,5456,432838
20130909,5525,5551,5387,5387,219438
20130910,5482,5629,5343,5413,263834
20130911,5473,5551,5430,5499,171118
20130912,5595,5603,5378,5395,229465
20130913,5413,5551,5387,5456,191126
20130916,5551,5560,5378,5378,160439
20130917,5387,5421,5161,5205,226948
20130923,5213,5274,5040,5040,217953
20130924,5014,5361,5014,5075,312692
20130925,5127,5153,4962,4971,199243
20130926,4988,5014,4919,4945,120752
20130927,5006,5109,4962,5101,161843
20130930,5092,5127,4962,4962,95859
20131001,4936,4988,4685,4711,177860
20131002,4772,4806,4633,4702,150497
20131004,4702,4763,4521,4573,136698
20131007,4607,4607,4365,4469,125808
20131008,4382,4451,4308,4399,145754
20131010,4434,4633,4434,4460,124090
20131011,4503,4598,4417,4417,137097
20131014,4477,4867,4443,4659,422487
20131015,4763,4780,4581,4616,103559
20131016,4685,4746,4547,4598,98792
20131017,4607,4971,4607,4754,530429
20131018,4754,4806,4521,4590,173697
20131021,4633,4633,4451,4521,111766
20131022,4477,4573,4451,4573,93106
20131023,4590,4607,4443,4443,71616
20131024,4434,4503,4417,4503,42177
20131025,4503,4547,4443,4512,47554
20131028,4529,5187,4529,4850,1278481
20131029,4841,5144,4824,4867,732326
20131030,4832,5283,4815,5257,743870
20131031,5205,5248,5032,5040,419201
20131101,5058,5135,4858,4867,291137
20131104,4867,5014,4806,4962,192530
20131105,4988,5317,4858,5170,754914
20131106,5257,5456,5023,5049,552624
20131107,5066,5326,4962,5257,484068
20131108,5205,5369,5144,5369,365136
20131111,5369,5413,4910,4910,302075
20131112,4867,5118,4867,5049,177454
20131113,5023,5109,4884,4928,139934
20131114,4763,5066,4417,4503,488153
