날짜,시가,고가,저가,종가,거래량
20050128,273245,296815,265845,275433,12
20050131,275433,279889,266600,275433,41
20050201,270300,285785,270300,279141,15
20050202,283526,283526,245219,273245,98
20050203,273245,273245,246730,258507,13
20050204,253374,273245,248919,273245,30
20050207,263656,279889,263656,279889,46
20050211,279889,288730,266600,279889,10
20050214,279889,279889,259956,276945,121
20050215,268789,279889,259956,268789,120
20050216,268789,270300,259956,270300,53
20050217,273245,299004,263656,290171,331
20050218,283526,290171,266600,276945,189
20050221,276945,307096,270300,299004,301
20050222,279889,327029,279889,308600,180
20050223,301956,307096,279889,299004,266
20050224,287226,310033,287226,303459,107
20050225,292359,308600,283526,283526,140
20050228,282078,296815,251863,265845,212
20050302,259956,279889,259956,265845,166
20050303,279141,279141,262215,265845,67
20050304,275433,275433,258507,273245,84
20050307,296815,305655,279889,305655,465
20050308,340255,340255,318874,340255,329
20050309,340255,380751,340255,380751,397
20050310,380751,420562,350599,353551,474
20050311,360125,395481,313741,395481,271
20050314,416862,442621,380751,440432,226
20050315,424262,480920,416862,453720,129
20050316,430844,447076,400692,400692,246
20050317,363825,410210,363825,399180,100
20050318,382254,416106,382254,407266,95
20050321,395481,407266,359440,359440,115
20050322,359440,373422,323329,366777,89
20050323,383695,383695,337311,350599,127
20050324,337311,366014,337311,357181,86
20050325,370469,388906,370469,383695,53
20050328,383695,413918,383695,400692,75
20050329,407266,407266,388906,400692,49
20050330,442621,444132,400692,444132,130
20050331,442621,457350,402125,444132,92
20050401,424262,445565,379310,379310,432
20050404,366777,429395,366777,377121,184
20050406,383695,383695,350599,359440,169
20050407,352040,373422,352040,366777,77
20050408,363825,368966,349096,362392,92
20050411,372666,372666,342444,345396,64
20050412,330667,349096,330667,342444,38
20050413,342444,357181,342444,357181,9
20050414,350599,362392,342444,357181,61
20050415,352040,366777,342444,366777,30
20050418,368966,422751,349096,422751,325
20050419,433780,483865,424262,424262,1449
20050420,425695,487572,399180,487572,1996
20050421,503813,559786,490517,559786,3246
20050422,562730,619404,531005,533957,2569
20050425,522927,584042,482431,494216,1300
20050426,470646,560471,460294,533957,1944
20050427,525872,539160,453720,453720,1066
20050428,438991,450776,400692,410210,651
20050429,394040,466946,394040,424262,591
20050502,419051,466946,416106,457350,628
20050503,444132,477291,430844,466946,682
20050504,477291,537657,460294,487572,2320
20050506,472835,503813,466946,466946,288
20050509,469135,537657,445565,537657,673
20050510,594393,610556,529572,529572,2030
20050511,512646,557527,512646,532516,343
20050512,553897,553897,477291,477291,513
20050513,459617,533957,447076,507435,463
20050516,507435,520739,466946,466946,280
20050517,497169,497169,453720,460294,231
20050518,466946,487572,452965,472835,146
20050519,474346,512646,469135,500861,288
20050520,489076,503813,464002,464002,166
20050523,470646,477291,430844,436047,285
20050524,422751,453720,422751,438991,257
20050525,433780,442621,427206,432339,275
20050526,427206,447076,425695,430844,95
20050527,427206,494216,427206,494216,449
20050530,556086,556086,510387,522927,343
20050531,512646,532516,490517,497169,195
20050601,490517,532516,483865,500861,155
20050602,499357,575956,466946,575956,995
20050603,607612,661396,579656,661396,2053
20050607,704159,760132,617963,760132,2173
20050608,840376,871338,727729,760132,1358
20050609,738003,873535,738003,873535,1311
20050610,928075,1003926,921431,1003926,1035
20050613,1154188,1154188,1154188,1154188,123
20050614,1325823,1325823,1325823,1325823,264
20050615,1128421,1249224,1127673,1127673,1654
20050616,1005367,1088618,958227,958227,2289
20050617,918479,928075,823450,838180,3953
20050620,851468,884564,766714,851468,2358
20050621,836739,856609,774869,788087,1099
20050622,793236,881620,793236,813169,3252
20050623,784395,851468,706348,731359,1730
20050624,714433,726218,664348,677644,1197
20050627,664348,726218,657696,694570,1579
20050628,677644,774869,670992,744647,2227
20050629,754929,754929,684218,690863,1016
20050630,694570,731359,681274,727729,730
20050701,712992,790284,712992,760132,2230
20050704,751299,764517,732870,740947,711
20050705,754929,754929,631182,661396,2313
20050706,647422,693059,644478,668048,930
20050707,676133,731359,676133,701214,964
20050708,681274,704159,661396,664348,682
20050711,659963,697507,659963,687918,511
20050712,707789,790284,701214,790284,953
20050713,848532,891209,731359,756440,2896
20050714,757873,818309,747599,756440,1186
20050715,763084,818309,751299,768217,1229
20050718,780010,881620,780010,848532,2358
20050719,855106,855106,788087,806524,979
20050720,803580,807965,686477,738003,1291
20050721,719574,764517,699703,701214,710
20050722,704159,768217,704159,727729,945
20050725,732870,744647,694570,718140,659
20050726,718140,824961,718140,824961,1352
20050727,838180,848532,776310,790284,1166
20050728,796928,894908,774869,793236,2916
20050729,803580,860309,781443,801391,1374
20050801,813169,916975,813169,868394,2776
20050802,868394,868394,791039,797684,1099
20050803,801391,823450,764517,776310,742
20050804,781443,864694,761573,801391,2540
20050805,810224,921431,801391,921431,3298
20050808,978159,1058396,928075,1058396,6686
20050809,1085666,1149047,993574,1005367,5781
20050810,1020852,1155629,1013522,1155629,4418
20050811,1234494,1328011,984056,984056,5617
20050812,984056,1047366,913346,921431,5556
20050816,925123,970767,871338,908135,1671
20050817,908135,1038526,908135,1001730,5144
20050818,988441,1034140,934657,945001,1338
20050819,940545,1062096,921431,1012011,3489
20050822,901553,1035581,901553,978159,2156
20050823,978159,1104103,978159,1034140,3034
20050824,1035581,1121777,1013522,1085666,2290
20050825,1073881,1105536,938349,967060,1486
20050826,968571,1021600,906701,938349,1548
20050829,934657,967060,851468,873535,1289
20050830,898616,928075,838180,860309,1036
20050831,851468,868394,811658,826395,919
20050901,834480,868394,831536,868394,862
20050902,888264,908135,861750,871338,1221
20050905,914779,914779,864694,877983,536
20050906,881620,898616,863253,863253,711
20050907,869835,884564,834480,851468,642
20050908,868394,868394,831536,834480,462
20050909,824961,836739,801391,807965,477
20050912,807965,851468,807965,836739,549
20050913,844824,844824,788087,790284,459
20050914,771169,807965,771169,781443,431
20050915,761573,790284,747599,754929,366
20050916,754929,776310,734303,761573,301
20050920,781443,841124,771169,821254,548
20050921,841124,841124,788087,801391,303
20050922,790284,807965,754929,768217,300
20050923,768217,777813,754929,754929,266
20050926,774869,781443,761573,771169,326
20050927,766714,827898,764517,790284,352
20050928,774869,790284,766714,768217,252
20050929,790284,855106,774869,824961,1190
20050930,838180,934657,811658,884564,1446
20051004,894908,934657,868394,888264,1112
20051005,905190,951645,881620,881620,1287
20051006,864694,884564,818309,836739,694
20051007,834480,864694,824961,858050,375
20051010,858050,934657,851468,934657,1309
20051011,955275,1075392,914779,918479,4199
20051012,919920,948693,901553,903749,536
20051013,894908,914779,860309,863253,460
20051014,863253,901553,838180,901553,670
20051017,871338,898616,851468,873535,586
20051018,881620,925123,880179,918479,745
20051019,898616,911834,784395,784395,965
20051020,794739,818309,768217,768217,420
20051021,754929,774869,740199,763084,271
20051024,747599,791039,747599,776310,334
20051025,780010,814610,780010,788087,280
20051026,805013,851468,790284,803580,435
20051027,803580,814610,788087,801391,174
20051028,796928,796928,751299,751299,372
20051031,756440,781443,756440,768217,180
20051101,756440,883879,754929,866891,999
20051102,848532,855106,813169,818309,499
20051103,824961,844824,788087,799880,363
20051104,830095,830095,788087,799880,325
20051107,799880,818309,788087,811658,255
20051108,834480,888264,821254,827898,1073
20051109,838180,858050,811658,848532,403
20051110,858050,877235,836739,841124,611
20051111,838180,866891,834480,841124,685
20051114,849965,877983,841124,877983,902
20051115,901553,1008311,844824,844824,5595
20051116,882368,882368,830842,834480,1018
20051117,841880,841880,808713,819750,642
20051118,819750,856609,819750,845579,502
20051121,854412,863946,835991,835991,465
20051122,824961,865450,799125,847020,720
20051123,847020,858050,839683,852917,406
20051124,865450,876487,852917,852917,449
20051125,854412,854412,821254,828583,342
