날짜,시가,고가,저가,종가,거래량
20060201,4302,4702,3707,3902,882489
20060202,4027,4152,3702,3762,428787
20060203,3652,3677,3256,3256,314933
20060206,3161,3597,3161,3402,308474
20060207,3412,3477,3171,3181,290223
20060208,3101,3407,3096,3171,315922
20060209,3226,3246,3061,3071,157806
20060210,3086,3136,2931,3001,131709
20060213,3021,3056,2921,2931,136888
20060214,2901,3036,2891,2946,146952
20060215,3016,3026,2796,2801,199317
20060216,2806,2886,2736,2851,117386
20060217,2866,2926,2816,2841,121457
20060220,2816,2821,2696,2741,110181
20060221,2726,2776,2701,2716,134244
20060222,2716,2826,2711,2791,107932
20060223,2886,3016,2796,2801,317610
20060224,2786,2821,2691,2701,125412
20060227,2706,2726,2666,2706,82967
20060228,2711,2801,2671,2686,201028
20060302,2686,2836,2686,2806,282084
20060303,2811,2836,2666,2696,126103
20060306,2671,2711,2651,2666,94600
20060307,2626,2666,2478,2491,111445
20060308,2491,2541,2456,2466,76767
20060309,2466,2546,2458,2483,76322
20060310,2466,2491,2458,2486,50407
20060313,2493,2551,2493,2501,84843
20060314,2526,2551,2451,2476,54313
20060315,2516,2516,2456,2466,60949
20060316,2451,2476,2286,2311,153123
20060317,2303,2316,2231,2241,69893
20060320,2216,2256,2166,2226,87267
20060321,2226,2341,2188,2253,81230
20060322,2256,2341,2201,2203,42664
20060323,2218,2321,2203,2261,126570
20060324,2266,2401,2266,2323,220782
20060327,2326,2391,2231,2271,68816
20060328,2258,2301,2166,2181,56661
20060329,2126,2173,2091,2116,109317
20060330,2131,2186,2091,2151,84040
20060331,2136,2301,2136,2276,72087
20060403,2306,2361,2251,2358,70637
20060404,2388,2478,2326,2446,127266
20060405,2451,2501,2431,2473,48952
20060406,2501,2661,2478,2576,119837
20060407,2516,2621,2516,2556,58844
20060410,2526,2526,2428,2506,42471
20060411,2476,2606,2446,2606,58956
20060412,2571,2971,2571,2901,405733
20060413,2966,2966,2801,2841,147072
20060414,2846,3046,2816,3001,232832
20060417,2956,3151,2906,2981,122943
