날짜,시가,고가,저가,종가,거래량
20050128,66900,67300,66000,66200,59835
20050131,66500,67400,65800,66100,40349
20050201,65600,66500,64400,64400,33708
20050202,65000,65200,63800,63900,15711
20050203,65000,67000,64100,67000,42411
20050204,66400,68400,66400,67800,38002
20050207,68800,69800,68600,69800,29356
20050211,70000,71800,69800,71800,55992
20050214,73000,79800,72100,79000,49172
20050215,81000,81000,74800,75000,48874
20050216,75600,80000,75600,80000,64541
20050217,78600,81500,78600,80000,55930
20050218,79200,81900,79200,81000,21166
20050221,81500,81500,78500,81000,21415
20050222,81000,85000,81000,81500,33793
20050223,81000,82000,78800,81000,74143
20050224,79700,81900,79700,81200,23475
20050225,82000,82400,80100,80300,34944
20050228,82000,82900,80400,81000,114905
20050302,82000,82000,79400,80000,15547
20050303,80000,80000,78200,78800,20381
20050304,78800,80000,78000,78000,19245
20050307,78000,80900,78000,80400,35713
20050308,80500,81500,77300,77600,19491
20050309,75600,76500,73800,75500,32147
20050310,75500,77000,75400,77000,38292
20050311,78100,81600,78000,79800,68229
20050314,80900,82900,79000,82000,52402
20050315,82500,82500,79100,80000,20463
20050316,78100,79900,77200,79800,19961
20050317,78200,79600,77400,78100,7277
20050318,78400,81000,78200,79300,25958
20050321,79500,80400,77300,79300,26141
20050322,78200,79000,76600,77700,19871
20050323,76300,77600,76000,76800,14174
20050324,76800,77000,68500,70400,41541
20050325,70600,75300,70600,75000,24037
20050328,76300,80000,76300,78700,23547
20050329,79000,79400,76800,77200,21335
20050330,75100,77500,74800,77500,20833
20050331,79000,79400,77500,78800,18573
20050401,78000,81100,78000,80600,22283
20050404,80000,81000,79200,80600,15101
20050406,80600,80600,78600,80200,12548
20050407,78600,80200,78600,80000,11474
20050408,81300,81500,80000,80500,21972
20050411,80500,81500,80000,81000,35986
20050412,80700,81600,80700,80900,20538
20050413,81000,84000,80700,81000,41763
20050414,80000,80500,79000,79300,10246
20050415,78000,80400,77000,78500,24331
20050418,76100,80000,76100,80000,25262
20050419,78600,79800,77900,79000,28244
20050420,79000,80000,79000,80000,15142
20050421,79000,80000,78500,79500,8735
20050422,80100,80900,79200,79900,11249
20050425,81000,81500,79600,81500,19873
20050426,81500,82000,81300,81500,7870
20050427,81000,81400,79600,79600,2388
20050428,79600,79700,78000,79400,8296
20050429,77000,79500,75400,79400,25281
20050502,79500,79500,77600,78300,5132
20050503,78300,78400,77000,77500,84512
20050504,76700,78400,76700,78000,7115
20050506,77200,79000,77200,78700,7068
20050509,78400,78400,76000,76900,18120
20050510,77200,79300,77200,79300,29902
20050511,79100,79100,77600,78000,13951
20050512,77000,78700,76700,77800,30007
20050513,76700,77200,76100,76400,15888
20050516,77900,77900,75300,75500,24440
20050517,75500,76400,72700,72900,40918
20050518,73000,73600,69400,71000,62789
20050519,71000,71900,69000,71700,65786
20050520,71500,72300,71200,71500,22924
20050523,71000,72400,71000,72400,39242
20050524,72500,73500,72500,73400,23548
20050525,73500,74300,73300,74000,52293
20050526,73900,74500,73500,74500,35626
20050527,74500,75400,74100,75400,17333
20050530,74300,75800,74300,75800,13124
20050531,76300,77400,75300,76500,18030
20050601,74600,77000,74600,75800,10969
20050602,76000,76000,74400,74400,12256
20050603,74100,74700,73600,74000,24905
20050607,74000,74600,73000,74600,15164
20050608,74500,76500,74500,76500,30038
20050609,75600,77500,75600,76700,11971
20050610,77400,77500,76200,77000,15426
20050613,77700,77700,75800,75900,4004
20050614,76400,76900,75900,76400,8777
20050615,76000,77200,76000,77000,8396
20050616,77100,77700,77000,77000,6445
20050617,77000,77500,75900,76800,6004
20050620,76200,76800,73700,73700,17027
20050621,74200,74900,72500,72500,36398
20050622,72500,73500,72400,72800,36974
20050623,72900,73500,72900,73100,36891
20050624,73100,73500,72600,73100,19358
20050627,73000,73400,72200,72500,11713
20050628,71500,72800,71500,72800,16742
20050629,72800,74200,72800,73700,19339
20050630,73100,75600,73100,74900,23385
20050701,74200,78900,74000,78000,45904
20050704,78300,78600,77400,78000,20650
20050705,78900,79000,77800,78500,12003
20050706,78500,78500,77000,78500,15396
20050707,78500,82000,78200,81800,37637
20050708,82000,82000,80500,81000,18728
20050711,81300,82100,79700,81400,16992
20050712,81000,82400,81000,82300,18169
20050713,82500,83000,82000,82100,12624
20050714,82000,82700,80800,81500,8558
20050715,81500,82000,80100,80700,4352
20050718,81000,81900,80000,80000,3424
20050719,79500,82000,79400,82000,16855
20050720,83000,83000,81800,82500,15476
20050721,83000,85100,82500,84000,19346
20050722,83200,84600,81800,83200,6984
20050725,84100,88200,83300,88200,21074
20050726,88500,92600,87800,91400,21725
20050727,92000,92000,88400,90000,19013
20050728,91400,91900,89900,91200,12805
20050729,91300,92300,90000,91300,25240
20050801,93900,93900,90200,92000,14183
20050802,92000,93000,90900,92700,10971
20050803,91600,92700,91500,91500,10067
20050804,91400,92000,90000,90000,9523
