날짜,시가,고가,저가,종가,거래량
20050128,4500,4775,4365,4670,674133
20050131,4610,4770,4610,4630,549508
20050201,4680,5000,4650,4910,1149729
20050202,4910,4910,4630,4675,539846
20050203,4670,4730,4450,4450,386460
20050204,4360,4555,4360,4370,357284
20050207,4480,4670,4430,4605,384879
20050211,4625,4750,4500,4665,392924
20050214,4700,4875,4675,4730,533678
20050215,4740,4830,4650,4700,457994
20050216,4795,5260,4760,5260,1692326
20050217,5260,5400,5080,5200,936950
20050218,5180,5510,5070,5300,1006191
20050221,5410,5450,5080,5110,594365
20050222,4950,5160,4500,4570,569546
20050223,4300,4645,4300,4645,455476
20050224,4620,4820,4550,4550,343013
20050225,4570,4675,4350,4425,297325
20050228,4540,4675,4470,4595,263936
20050302,4660,4800,4575,4610,251660
20050303,4700,4720,4440,4580,216916
20050304,4550,4660,4510,4650,252256
20050307,4745,4935,4570,4680,502759
20050308,4675,4675,4120,4150,451632
20050309,4150,4270,4030,4120,199284
20050310,4050,4180,3830,3900,223761
20050311,3750,3995,3750,3995,323273
20050314,3985,4045,3955,4000,211108
20050315,4000,4005,3765,3800,146453
20050316,3755,3835,3650,3780,180250
20050317,3680,3700,3595,3620,167263
20050318,3555,3640,3460,3570,132438
20050321,3575,3600,3460,3500,93007
20050322,3445,3600,3445,3520,93885
20050323,3465,3540,3440,3440,75507
20050324,3425,3530,3425,3495,110930
20050325,3510,3750,3510,3715,136549
20050328,3800,3870,3745,3745,144746
20050329,3710,3760,3485,3535,119906
20050330,3490,3850,3480,3550,85746
20050331,3600,3650,3445,3445,123703
20050401,3450,3665,3430,3640,143161
20050404,3600,3945,3580,3850,277873
20050406,3815,3910,3750,3900,104448
20050407,3925,3925,3770,3800,94481
20050408,3910,3960,3840,3845,148201
20050411,3780,3895,3650,3650,88499
20050412,3600,3680,3560,3590,69119
20050413,3655,3670,3540,3560,82068
20050414,3520,3620,3520,3560,64704
20050415,3450,3600,3450,3590,81810
20050418,3480,3560,3100,3150,190809
20050419,3175,3280,3175,3225,102290
20050420,3260,3335,3200,3220,155635
20050421,3185,3185,3060,3110,72750
20050422,3280,3280,3080,3110,123010
20050425,3150,3340,3115,3270,245300
20050426,3300,3330,3200,3200,116035
20050427,3140,3195,3100,3120,75586
20050428,3120,3155,3080,3080,102239
20050429,2915,3000,2915,2945,92275
20050502,2965,2965,2800,2925,213674
20050503,2925,2990,2910,2925,73921
20050504,2935,3165,2935,3090,125254
20050506,3100,3350,3100,3300,137575
20050509,3390,3390,3110,3180,63624
20050510,3270,3270,3080,3140,44192
20050511,3100,3180,3090,3110,18408
20050512,3080,3220,3080,3200,49285
20050513,3200,3440,3200,3250,279712
20050516,3290,3330,3220,3245,95488
20050517,3280,3290,3165,3180,71137
20050518,3160,3280,3160,3220,117760
20050519,3260,3370,3230,3335,116543
20050520,3310,3380,3190,3195,73782
20050523,3195,3215,3140,3190,59506
20050524,3215,3250,3175,3185,63269
20050525,3185,3270,3185,3265,102253
20050526,3360,3485,3340,3410,307498
20050527,3410,3440,3365,3405,91641
20050530,3465,3465,3360,3420,127879
20050531,3375,3520,3375,3435,268587
20050601,3440,3470,3320,3400,120018
20050602,3400,3500,3385,3500,128745
20050603,3470,3540,3410,3500,112768
20050607,3500,3600,3450,3535,177301
20050608,3580,3625,3420,3535,130051
20050609,3505,3550,3400,3410,112244
20050610,3470,3470,3390,3400,73094
20050613,3370,3575,3360,3530,279885
20050614,3695,3700,3370,3435,220268
20050615,3410,3470,3375,3470,99128
20050616,3450,3500,3380,3400,89858
20050617,3400,3445,3350,3350,94991
20050620,3330,3360,3170,3170,159496
20050621,3135,3200,3065,3065,112515
20050622,3065,3410,3065,3360,345713
20050623,3400,3715,3200,3245,897744
20050624,3245,3245,3130,3185,81614
20050627,3100,3330,3080,3135,304307
20050628,3105,3285,3105,3250,222391
20050629,3330,3345,3205,3215,167912
20050630,3195,3260,3185,3210,111219
20050701,3195,3335,3195,3300,146157
20050704,3320,3390,3255,3295,142779
20050705,3275,3325,3235,3270,125682
20050706,3295,3430,3265,3410,304053
20050707,3375,3460,3375,3400,158971
20050708,3400,3465,3380,3400,149011
20050711,3450,3520,3435,3460,216355
20050712,3485,3515,3325,3350,205189
20050713,3350,3400,3305,3400,95883
20050714,3405,3465,3360,3400,218825
20050715,3425,3445,3355,3385,67365
20050718,3430,3430,3300,3360,131079
20050719,3335,3400,3320,3325,122956
20050720,3325,3350,3200,3300,232542
20050721,3275,3340,3200,3200,124965
20050722,3175,3175,3005,3085,146581
20050725,3130,3210,3115,3210,91959
20050726,3170,3245,3160,3200,77807
20050727,3220,3250,3180,3200,74624
20050728,3245,3395,3180,3285,169774
20050729,3310,3340,3245,3255,57951
20050801,3205,3285,3200,3225,34452
20050802,3175,3220,3155,3155,80615
20050803,3235,3235,3105,3140,47853
20050804,3100,3140,3035,3060,76531
