날짜,시가,고가,저가,종가,거래량
20050128,2655,2690,2625,2645,394071
20050131,2620,2710,2620,2690,488389
20050201,2690,2730,2675,2680,352576
20050202,2680,2705,2605,2620,286976
20050203,2620,2720,2620,2650,416894
20050204,2680,2725,2655,2655,337078
20050207,2685,2735,2655,2735,345069
20050211,2955,3060,2910,3005,3737410
20050214,2945,2955,2845,2865,1311193
20050215,2845,2890,2820,2845,812569
20050216,2850,2960,2830,2900,1223598
20050217,2900,2970,2865,2895,746833
20050218,2900,2930,2835,2845,757692
20050221,2835,2875,2800,2875,533275
20050222,2845,2870,2660,2675,605373
20050223,2605,2695,2575,2590,443850
20050224,2590,2680,2590,2630,349833
20050225,2625,2660,2600,2610,377789
20050228,2640,2640,2590,2635,253576
20050302,2650,2735,2635,2650,495680
20050303,2660,2830,2660,2800,562160
20050304,2810,2835,2760,2800,368327
20050307,2800,2855,2795,2835,333827
20050308,2820,2845,2640,2700,334909
20050309,2675,2770,2670,2740,179523
20050310,2720,2760,2650,2680,219775
20050311,2680,2715,2615,2635,566566
20050314,2640,2660,2615,2625,293403
20050315,2625,2870,2540,2635,653212
20050316,2720,2780,2635,2635,1073688
20050317,2635,2695,2565,2565,496996
20050318,2545,2600,2490,2525,323994
20050321,2515,2520,2400,2400,260821
20050322,2390,2445,2380,2380,167264
20050323,2350,2375,2250,2260,490933
20050324,2260,2320,2200,2250,242467
20050325,2255,2300,2250,2280,190921
20050328,2295,2345,2290,2345,186668
20050329,2345,2345,2270,2280,175687
20050330,2260,2450,2260,2355,327702
20050331,2375,2395,2280,2295,144864
20050401,2270,2315,2270,2300,198213
20050404,2285,2310,2275,2305,190297
20050406,2315,2380,2315,2365,231310
20050407,2375,2385,2340,2360,83710
20050408,2350,2370,2345,2360,90743
20050411,2360,2370,2340,2365,67732
20050412,2375,2395,2345,2365,107576
20050413,2395,2395,2330,2350,79454
20050414,2355,2370,2300,2300,126346
20050415,2300,2320,2230,2260,80797
20050418,2215,2240,2155,2155,180684
20050419,2160,2220,2160,2200,136968
20050420,2240,2265,2195,2220,141299
20050421,2190,2190,2140,2170,179437
20050422,2195,2205,2165,2165,143564
20050425,2230,2260,2215,2220,329863
20050426,2220,2350,2200,2350,421272
20050427,2360,2380,2310,2355,235181
20050428,2335,2340,2235,2295,222294
20050429,2300,2315,2210,2295,243691
20050502,2375,2435,2305,2305,508970
20050503,2300,2320,2250,2265,186603
20050504,2260,2355,2250,2330,209724
20050506,2315,2390,2300,2360,270883
20050509,2475,2670,2470,2545,2015322
20050510,2480,2480,2380,2385,731322
20050511,2385,2385,2310,2320,322034
20050512,2395,2430,2315,2315,500117
20050513,2285,2310,2245,2275,422958
20050516,2240,2295,2230,2275,218606
20050517,2275,2295,2250,2255,161389
20050518,2255,2275,2245,2260,174299
20050519,2265,2290,2255,2275,126147
20050520,2275,2290,2260,2285,130615
20050523,2265,2275,2220,2230,202333
20050524,2240,2265,2225,2245,176102
20050525,2245,2280,2235,2280,163290
20050526,2280,2295,2255,2270,180824
20050527,2270,2300,2270,2300,170050
20050530,2290,2365,2290,2345,220060
20050531,2325,2355,2300,2310,207516
20050601,2290,2315,2275,2280,174144
20050602,2300,2300,2270,2275,171130
20050603,2270,2295,2270,2295,178518
20050607,2295,2300,2270,2290,131533
20050608,2290,2340,2285,2305,208932
20050609,2310,2360,2310,2335,198526
20050610,2350,2370,2330,2330,251414
20050613,2310,2340,2290,2290,138845
20050614,2295,2310,2255,2255,180092
20050615,2255,2280,2240,2270,136877
20050616,2275,2290,2260,2275,125967
20050617,2270,2300,2270,2275,72413
20050620,2275,2285,2235,2260,160295
20050621,2250,2260,2225,2240,116849
20050622,2240,2265,2235,2240,102525
20050623,2240,2265,2235,2240,125776
20050624,2250,2290,2250,2260,170784
20050627,2260,2265,2230,2240,121792
20050628,2240,2260,2240,2240,122705
20050629,2250,2260,2230,2250,163718
20050630,2240,2260,2240,2255,161288
20050701,2255,2485,2245,2315,745745
20050704,2320,2335,2280,2310,248934
20050705,2310,2355,2310,2335,209026
20050706,2350,2360,2325,2325,252655
20050707,2320,2345,2315,2330,113896
20050708,2550,2590,2405,2430,1974356
20050711,2390,2410,2330,2350,690342
20050712,2355,2360,2310,2325,458111
20050713,2310,2355,2305,2330,285958
20050714,2320,2345,2315,2330,335143
20050715,2330,2350,2300,2305,241295
20050718,2310,2335,2300,2300,269323
20050719,2305,2345,2300,2335,227852
20050720,2340,2355,2305,2325,313814
20050721,2325,2350,2310,2340,307990
20050722,2380,2400,2245,2290,665229
20050725,2270,2340,2270,2310,186047
20050726,2290,2345,2290,2335,347218
20050727,2340,2340,2320,2340,201733
20050728,2340,2380,2340,2360,297154
20050729,2380,2445,2380,2430,530964
20050801,2450,2450,2395,2430,197955
20050802,2405,2435,2385,2385,277411
20050803,2350,2390,2315,2315,363979
20050804,2315,2355,2295,2325,257502
20050805,2305,2350,2300,2320,246492
20050808,2305,2310,2265,2290,213072
20050809,2300,2330,2285,2330,174253
20050810,2325,2340,2315,2335,177474
20050811,2320,2400,2320,2350,212911
20050812,2360,2365,2330,2365,175524
20050816,2370,2370,2285,2290,317996
20050817,2265,2285,2250,2270,181650
20050818,2260,2290,2230,2230,238424
20050819,2210,2235,2185,2210,280045
20050822,2215,2240,2205,2235,114687
20050823,2235,2250,2225,2225,121493
20050824,2230,2290,2225,2225,115078
20050825,2230,2245,2215,2230,61532
20050826,2235,2275,2235,2245,146319
20050829,2260,2310,2225,2245,208564
20050830,2255,2275,2230,2240,124301
20050831,2250,2280,2245,2275,78810
20050901,2270,2295,2250,2285,265088
20050902,2300,2300,2265,2270,134485
20050905,2260,2295,2260,2270,188657
20050906,2270,2295,2260,2265,206041
20050907,2275,2295,2270,2280,139669
20050908,2280,2320,2280,2320,196409
20050909,2325,2325,2290,2305,139369
20050912,2305,2340,2295,2295,160148
20050913,2300,2300,2260,2265,151768
20050914,2255,2270,2240,2260,156165
20050915,2250,2275,2210,2225,285354
20050916,2235,2255,2215,2240,148432
20050920,2235,2270,2220,2260,218087
20050921,2255,2300,2250,2270,230381
20050922,2270,2300,2255,2280,126888
20050923,2300,2300,2255,2275,121215
20050926,2260,2365,2260,2350,275740
20050927,2345,2370,2320,2365,163003
20050928,2355,2380,2310,2360,199265
20050929,2360,2360,2315,2345,175656
20050930,2330,2375,2330,2365,144692
20051004,2425,2440,2365,2400,308149
20051005,2395,2405,2355,2365,115042
20051006,2370,2390,2340,2350,116640
20051007,2400,2490,2380,2480,626030
20051010,2450,2480,2420,2430,283362
20051011,2460,2465,2415,2440,231266
20051012,2435,2495,2430,2460,249096
20051013,2465,2525,2400,2410,286245
20051014,2405,2430,2370,2390,199470
20051017,2380,2400,2360,2370,188316
20051018,2420,2560,2420,2505,650427
20051019,2545,2545,2375,2375,440857
20051020,2400,2425,2345,2385,360621
20051021,2345,2425,2325,2400,233941
20051024,2400,2460,2385,2440,188141
20051025,2470,2475,2410,2425,123563
20051026,2430,2440,2395,2425,180413
20051027,2425,2490,2395,2420,225260
20051028,2385,2425,2360,2395,161788
20051031,2390,2415,2385,2385,83810
20051101,2385,2455,2380,2440,220073
20051102,2440,2510,2420,2470,204993
20051103,2470,2475,2435,2450,155957
20051104,2455,2555,2455,2490,397186
20051107,2475,2495,2445,2455,187633
20051108,2445,2540,2445,2505,467511
20051109,2505,2515,2470,2485,227165
20051110,2515,2585,2515,2560,385059
20051111,2535,2545,2490,2500,295494
20051114,2500,2525,2470,2520,367867
20051115,2500,2530,2465,2500,369471
20051116,2480,2530,2480,2520,261402
20051117,2490,2525,2470,2470,299620
20051118,2470,2560,2470,2560,382981
20051121,2555,2635,2530,2610,484941
20051122,2590,2630,2570,2630,280227
20051123,2660,2790,2640,2730,630783
20051124,2770,2770,2680,2710,280416
20051125,2740,2870,2720,2790,310206
20051128,2805,2830,2765,2770,207860
20051129,2775,2920,2750,2785,195879
20051130,2765,2795,2730,2730,147689
20051201,2720,2785,2700,2760,217506
20051202,2760,2820,2755,2770,197677
20051205,2760,2840,2760,2760,230598
20051206,2750,2760,2710,2760,188021
20051207,2765,2765,2695,2705,189851
20051208,2670,2720,2650,2690,147635
20051209,2690,2720,2675,2685,92468
20051212,2670,2730,2660,2690,225578
20051213,2685,2920,2685,2790,296570
20051214,2800,2950,2800,2910,312092
20051215,2940,2940,2825,2895,170682
20051216,2830,2830,2715,2720,210689
20051219,2670,2740,2670,2720,119065
20051220,2680,2720,2635,2650,203189
20051221,2635,2700,2635,2695,164800
20051222,2700,2710,2500,2540,237795
20051223,2500,2590,2470,2560,150153
20051226,2520,2590,2500,2540,144726
20051227,2560,2620,2540,2550,175840
20051228,2500,2565,2500,2550,52200
20051229,2530,2550,2510,2525,101309
20060102,2510,2565,2500,2540,174138
20060103,2560,2615,2520,2575,246010
