날짜,시가,고가,저가,종가,거래량
20170601,1980,2000,1970,1990,94408
20170602,1985,2000,1980,2000,50338
20170605,1980,1985,1980,1980,21254
20170607,1980,1995,1980,1980,304
20170608,1985,1995,1985,1990,1868
20170609,1995,1995,1990,1990,4222
20170612,1990,1995,1990,1995,6076
20170613,1990,1990,1980,1980,34828
20170614,1985,1985,1970,1985,39324
20170615,1970,1995,1965,1985,34742
20170616,1995,1995,1975,1990,18949
20170619,1980,1990,1980,1985,9248
20170620,1980,1980,1970,1970,13805
20170621,1985,1985,1960,1965,30394
20170622,1995,1995,1965,1965,1198
20170623,1965,1985,1965,1985,21
20170626,1965,1980,1965,1980,4146
20170627,1975,1990,1975,1985,32
20170628,1985,1985,1980,1985,655
20170629,1985,2440,1985,2030,1974450
20170630,2055,2230,2025,2040,2245686
20170703,2095,2100,2000,2005,459385
20170704,2005,2005,1985,1985,385630
20170705,2000,2015,1985,2000,166892
20170706,1995,2000,1985,1995,68999
20170707,1990,2015,1990,2005,257654
20170710,2030,2035,1990,1990,264637
20170711,2000,2090,1995,2045,386810
20170712,2030,2060,2020,2030,80129
20170713,2080,2080,2010,2015,117824
20170714,2020,2025,2005,2010,62596
20170717,2005,2025,2000,2005,59509
20170718,2005,2020,2000,2005,55242
20170719,2020,2020,2000,2010,58293
20170720,2025,2030,2005,2030,44680
20170721,2030,2030,2005,2005,72218
20170724,2025,2025,2005,2020,28119
20170725,2015,2020,2005,2015,43994
20170726,2010,2025,2010,2020,16383
20170727,2000,2025,2000,2010,39802
20170728,2025,2025,2005,2005,12111
20170731,2005,2025,2000,2005,25656
20170801,2020,2020,2000,2015,12626
20170802,2005,2015,2000,2015,6974
20170803,2025,2025,2000,2015,2061
20170804,2025,2025,2000,2015,4374
20170807,2005,2015,2005,2005,4577
20170808,2005,2020,2000,2010,11005
20170809,2000,2015,2000,2015,22583
20170810,2010,2020,2000,2015,12547
20170811,2005,2025,2005,2025,19749
20170814,2010,2020,2005,2005,21875
20170816,2005,2025,2005,2020,3164
20170817,2025,2025,2020,2020,18675
20170818,2025,2025,2010,2020,7230
20170821,2025,2025,2010,2025,529
20170822,2010,2025,2005,2015,6851
20170823,2025,2025,2005,2020,8471
20170824,2005,2025,2005,2010,7641
20170825,2035,2035,2020,2020,23972
20170828,2010,2020,2010,2020,2127
20170829,2020,2035,2020,2035,1935
20170830,2045,2045,2020,2020,3006
20170831,2040,2040,2025,2025,1001
20170901,2030,2035,2010,2030,34248
20170904,2015,2030,2010,2025,5486
20170905,2010,2030,2010,2015,10043
20170906,2025,2025,2010,2020,7454
20170907,2030,2030,2015,2025,3013
20170908,2025,2025,2010,2025,339
20170911,2010,2025,2010,2015,13394
20170912,2015,2020,2010,2020,7606
20170913,2025,2025,2010,2015,3995
20170914,2020,2020,2010,2015,8094
20170915,2020,2020,2010,2020,6782
20170918,2015,2030,2010,2020,33579
20170919,2010,2020,2005,2015,88943
20170920,2005,2015,2005,2010,2514
20170921,2015,2015,2005,2005,8820
20170922,2005,2015,2000,2015,10953
20170925,2020,2020,2010,2020,8615
20170926,2010,2020,2005,2015,17512
20170927,2030,2030,2010,2020,4205
20170928,2025,2025,2010,2020,30065
20170929,2005,2020,2005,2010,2027
20171010,2025,2065,2000,2010,78066
20171011,2005,2020,2005,2020,12053
20171012,2025,2025,2005,2025,10007
20171013,2020,2020,2010,2015,13199
20171016,2020,2030,2020,2025,19722
20171017,2030,2045,2020,2035,26202
20171018,2035,2035,2020,2020,22273
20171019,2030,2035,2015,2020,12722
20171020,2020,2035,2015,2020,17856
20171023,2020,2030,2020,2020,14530
20171024,2015,2030,2015,2030,1001
20171025,2020,2020,2015,2015,3260
20171026,2020,2020,2015,2015,5100
20171027,2015,2090,2010,2010,29331
20171030,2015,2030,2010,2020,7392
20171031,2025,2025,2015,2025,5256
20171101,2025,2025,2025,2025,2
20171102,2020,2030,2015,2020,1764
20171103,2015,2020,2010,2020,3463
20171106,2020,2065,2010,2040,40601
20171107,2030,2040,2015,2015,8043
20171108,2035,2035,2015,2030,405
20171109,2010,2030,2005,2020,32387
20171110,2005,2020,2005,2020,2039
20171113,2025,2025,2005,2025,1019
20171114,2005,2020,2005,2020,11321
20171115,2005,2045,2005,2025,14622
20171116,2015,2035,2000,2035,7810
20171117,2010,2010,2000,2005,2707
20171120,2015,2015,1995,2005,8715
20171121,1990,2015,1980,2000,43555
20171122,1990,2010,1990,2010,11910
20171123,2000,2005,1985,1995,11937
20171124,2040,2040,1995,2020,6692
20171127,2020,2020,1995,2015,24599
20171128,1980,2010,1980,2010,1277
20171129,2000,2005,2000,2000,735
20171130,2010,2010,1990,2005,1812
20171201,2010,2010,1990,2010,1265
20171204,2000,2005,1990,2000,2782
20171205,1990,2020,1980,2020,10528
20171206,1995,2020,1990,2015,9263
20171207,1990,2020,1990,2020,3862
20171208,2010,2040,2000,2015,3006
20171211,2015,2015,1995,2015,737
20171212,2040,2040,2040,2040,2
20171213,1990,2020,1990,2020,5376
20171214,2000,2020,2000,2020,1171
20171215,2020,2020,2000,2015,2520
20171218,2020,2020,2000,2020,104
20171219,2030,2030,2020,2025,3502
20171220,2025,2030,1990,2020,3273
20171221,2000,2015,1960,2005,22484
20171222,1965,2005,1965,1990,9306
20171226,1980,1980,1980,1980,1308
20171227,1990,2000,1990,1995,938
20171228,1995,1995,1995,1995,1203
20180102,2020,2020,1980,2015,355
20180103,2020,2020,1980,2020,1209
20180104,1985,2015,1980,2015,3328
20180105,2015,2015,1990,2010,10698
20180108,1980,2015,1980,2010,6304
20180109,2010,2010,1990,2010,2165
20180110,2010,2020,1990,2010,30737
20180111,1990,2020,1990,2015,5045
20180112,2020,2020,1985,2005,22990
20180115,2020,2020,1990,2010,3929
20180116,2020,2020,1990,2015,1895
20180117,2010,2020,2010,2010,23162
20180118,1990,2010,1990,2010,11511
20180119,2010,2010,1995,2000,2047
20180122,1985,2010,1985,1995,2743
20180123,2010,2015,1990,2015,4949
20180124,1995,2015,1985,2015,11782
20180125,1990,2030,1990,2030,18346
20180126,2000,2030,2000,2020,4825
20180129,2040,2045,2005,2025,4909
20180130,2045,2090,2010,2010,4311
20180131,2005,2055,2005,2025,2925
20180201,2040,2040,2005,2030,106
20180202,2005,2030,1995,2025,15557
20180205,2025,2025,2020,2025,2600
20180206,1995,2025,1985,2020,21348
20180207,2000,2020,2000,2020,2906
20180208,1995,2015,1995,2015,7158
20180209,2010,2010,1995,2005,6204
20180212,2010,2025,2010,2025,3915
20180213,1995,2025,1990,1995,7116
20180214,2020,2020,1995,1995,961
20180219,2020,2030,2015,2015,2679
20180220,2005,2050,2005,2015,630
20180221,2050,2050,2000,2030,573
20180222,2000,2025,2000,2015,5154
20180223,2040,2040,2025,2025,3695
20180226,2040,2040,2030,2030,3
20180227,2030,2035,2000,2025,2539
20180228,2025,2035,2025,2025,157
20180302,2030,2030,2030,2030,1002
20180305,2030,2030,2010,2025,6202
20180306,2040,2050,2025,2025,30120
20180307,2045,2050,2005,2025,34447
20180308,2010,2045,2010,2015,6857
20180309,2045,2050,2040,2040,40453
20180312,2025,2060,2025,2035,10520
20180313,2015,2060,2015,2050,1631
20180314,2095,2095,2030,2050,23866
20180315,2040,2070,2040,2045,167
20180316,2085,2085,2035,2050,6936
20180319,2085,2085,2045,2045,5112
20180320,2085,2100,2045,2055,33393
20180321,2095,2095,2050,2060,9511
20180322,2090,2105,2060,2060,16602
20180323,2095,2095,2060,2060,2011
20180326,2100,2110,2060,2060,4567
20180327,2060,2105,2060,2085,3453
20180328,2090,2100,2065,2095,5195
20180329,2110,2115,2065,2090,4371
20180330,2090,2090,2040,2050,30240
20180402,2040,2100,2040,2060,2325
20180403,2100,2135,2085,2100,14284
20180404,2125,2125,2095,2100,21037
20180405,2135,2170,2125,2170,63230
20180406,2170,2290,2170,2220,202177
20180409,2220,2260,2180,2205,48252
20180410,2195,2205,2170,2175,46731
20180411,2165,2170,2160,2160,50386
20180412,2095,2190,2095,2180,31022
20180413,2180,2180,2180,2180,0
20180416,2180,2180,2180,2180,0
20180417,2180,2180,2180,2180,0
20180418,2180,2180,2180,2180,0
20180419,2180,2180,2180,2180,0
20180420,2180,2180,2180,2180,0
20180423,2180,2180,2180,2180,0
20180424,2180,2180,2180,2180,0
20180425,2180,2180,2180,2180,0
20180426,2180,2180,2180,2180,0
20180427,2180,2180,2180,2180,0
20180430,2180,2180,2180,2180,0
20180502,2180,2180,2180,2180,0
20180503,2180,2180,2180,2180,0
20180504,2180,2180,2180,2180,0
20180508,2180,2180,2180,2180,0
20180509,2180,2180,2180,2180,0
20180510,2180,2180,2180,2180,0
20180511,2180,2180,2180,2180,0
20180514,2180,2180,2180,2180,0
20180515,2180,2180,2180,2180,0
20180516,2180,2180,2180,2180,0
20180517,2180,2180,2180,2180,0
20180518,2180,2180,2180,2180,0
20180521,2180,2180,2180,2180,0
20180523,2180,2180,2180,2180,0
20180524,2180,2180,2180,2180,0
20180525,2180,2180,2180,2180,0
20180528,2180,2180,2180,2180,0
20180529,2180,2180,2180,2180,0
20180530,2180,2180,2180,2180,0
20180531,2180,2180,2180,2180,0
20180601,2180,2180,2180,2180,0
20180604,2180,2180,2180,2180,0
20180605,2180,2180,2180,2180,0
20180607,2180,2180,2180,2180,0
20180608,2180,2180,2180,2180,0
20180611,2180,2180,2180,2180,0
20180612,2180,2180,2180,2180,0
20180614,2180,2180,2180,2180,0
20180615,2180,2180,2180,2180,0
20180618,2180,2180,2180,2180,0
20180619,2180,2180,2180,2180,0
20180620,2180,2180,2180,2180,0
20180621,2180,2180,2180,2180,0
20180622,2180,2180,2180,2180,0
20180625,2180,2180,2180,2180,0
20180626,2180,2180,2180,2180,0
20180627,2180,2180,2180,2180,0
20180628,2180,2180,2180,2180,0
20180629,2180,2180,2180,2180,0
20180702,2180,2180,2180,2180,0
20180703,2180,2180,2180,2180,0
20180704,2180,2180,2180,2180,0
20180705,2180,2180,2180,2180,0
20180706,2180,2180,2180,2180,0
20180709,2180,2180,2180,2180,0
20180710,2180,2180,2180,2180,0
20180711,2180,2180,2180,2180,0
20180712,2180,2180,2180,2180,0
20180713,2180,2180,2180,2180,0
20180716,2180,2180,2180,2180,0
