날짜,시가,고가,저가,종가,거래량
20071001,12751,12751,10861,10861,178175
20071002,9647,10421,9343,9680,994369
20071004,9849,10051,9376,9478,245325
20071005,9611,9680,8769,8871,197299
20071008,8904,9343,8837,9139,140273
20071009,9208,9208,8601,8802,121023
20071010,8904,9072,8735,9006,39244
20071011,9006,9175,8668,8871,38841
20071012,8837,8837,8128,8465,75893
20071015,8533,8601,8162,8263,86401
20071016,8230,8230,7352,7757,92320
20071017,7757,8296,7386,7993,59434
20071018,8060,8094,7454,7621,43184
20071019,7959,8735,7690,8432,122233
20071022,8027,8432,7690,8364,55694
20071023,8601,8633,8094,8398,18485
20071024,8230,8432,8094,8230,15999
20071025,8364,8364,7959,8296,14097
20071026,8331,8398,7891,8128,35625
20071029,8230,8432,7993,8398,26380
20071030,8398,8904,8230,8565,90366
20071031,8633,8702,8364,8432,48621
20071101,8465,8465,7184,7555,266220
20071102,7386,7657,6441,7284,118430
20071105,7284,7520,7116,7284,91696
20071106,7420,7520,7217,7284,57030
20071107,7386,7555,7217,7420,35299
20071108,7251,7318,7014,7217,39514
20071109,7217,7318,7014,7048,24274
20071112,6778,7048,6704,6745,63214
20071113,6813,6881,6644,6846,42394
20071114,6881,6881,6677,6846,37028
20071115,6846,6846,6683,6683,5555
20071116,6745,6745,6543,6603,7001
20071119,6737,7386,6549,6846,85590
20071120,6745,7014,6683,6981,47179
20071121,6813,6981,6563,6563,10576
20071122,6563,6737,6543,6610,6199
20071123,6745,6745,6583,6583,32619
20071126,6712,6813,6576,6583,21310
20071127,6697,6697,6549,6644,4495
20071128,6570,6745,6543,6549,10714
20071129,6704,6712,6576,6658,6518
20071130,6697,6724,6610,6683,7142
20071203,6610,6670,6583,6637,10097
20071204,6658,6724,6482,6724,8304
20071205,6543,6732,6543,6677,10768
20071206,6617,6881,6591,6813,22853
20071207,6745,6981,6630,6914,18793
20071210,6946,6981,6583,6610,29619
20071211,6677,6732,6624,6704,3487
20071212,6704,6745,6683,6697,5865
20071213,6690,6813,6690,6745,1453
20071214,6745,6813,6610,6630,22240
20071217,6712,6717,6286,6400,21656
20071218,6400,6509,6272,6394,7371
20071220,5442,6468,5442,5538,157067
20071221,5557,5631,5327,5496,10669
20071224,5428,5598,5381,5381,9153
20071226,5381,5449,5214,5274,18236
20071227,5200,5206,4990,5024,25637
20071228,5031,5031,4789,4990,53059
20080102,5005,5234,5005,5071,43640
20080103,5118,5153,5059,5153,20190
20080104,5159,5193,5010,5139,14782
20080107,5024,5105,4990,5085,15123
20080108,5118,5118,4775,4855,79584
20080109,4814,4855,4721,4775,55152
20080110,4789,4855,4714,4721,69686
20080111,4755,4801,4518,4592,86799
20080114,4586,4592,4396,4485,72492
20080115,4504,4882,4504,4687,84082
20080116,4721,4821,4485,4599,58494
20080117,4660,4889,4641,4814,97376
20080118,4681,4944,4681,4789,82442
20080121,4835,4835,4681,4700,43020
20080122,4551,4673,4066,4383,66990
20080123,4418,4518,4315,4383,91840
20080124,4396,4512,4376,4497,56853
20080125,4518,4673,4404,4612,21277
20080128,4612,4695,4457,4565,47473
20080129,4586,4645,4436,4504,12910
20080130,4504,4634,4315,4376,10030
20080131,4376,4431,4335,4431,29571
20080201,4544,4565,4356,4465,13889
20080204,4396,4504,4383,4404,24902
20080205,4404,4465,4404,4436,7646
20080211,4383,4423,4214,4302,11433
20080212,4302,4383,4250,4383,18757
20080213,4396,4411,4315,4349,14807
20080214,4356,4478,4072,4121,79613
20080215,4121,4121,3966,4072,47786
20080218,4072,4072,3960,4025,26954
20080219,4072,4072,3998,4045,14318
20080220,4045,4235,3998,4181,49119
20080221,4208,4214,4092,4140,21072
20080222,4140,4140,4005,4045,23489
20080225,4019,4045,3945,3945,63599
20080226,3978,3998,3898,3898,41105
20080227,3912,3998,3912,3945,39036
20080228,3917,3984,3870,3978,14619
20080229,3912,3992,3912,3912,22557
20080303,3891,3912,3782,3843,12482
20080304,3843,3912,3809,3843,23848
20080305,3891,3938,3790,3862,10208
20080306,3877,3960,3797,3960,16319
20080307,3960,4140,3923,4086,45418
20080310,4025,4106,3966,4005,31638
20080311,3972,4092,3891,4045,25657
20080312,4106,4228,4066,4072,45189
20080313,4114,4356,4066,4201,168927
20080314,4250,4370,4121,4208,64506
20080317,4147,4195,4031,4140,47715
20080318,4168,4315,4114,4255,39646
20080319,4281,4641,4269,4451,62810
20080320,4356,4544,4356,4544,39006
20080321,4641,4687,4558,4660,62530
20080324,4687,4842,4586,4641,53385
20080325,4660,4687,4443,4681,41489
20080326,4707,4707,4551,4620,21924
20080327,4612,4626,4491,4620,49957
20080328,4592,4681,4443,4544,26214
20080331,4538,4551,4250,4343,66435
20080401,4418,4418,4302,4302,22215
20080402,4302,4383,4281,4370,53489
20080403,4370,4518,4356,4418,17460
20080404,4457,4457,4370,4423,7041
20080407,4472,4472,4250,4370,33241
20080408,4396,4396,4242,4322,14095
20080410,4335,4497,4235,4457,46197
20080411,4478,4572,4383,4565,53887
20080414,4558,4641,4472,4551,47563
20080415,4551,4641,4288,4418,49024
20080416,4383,4443,4255,4376,26256
20080417,4404,4436,4250,4295,26583
20080418,4295,4404,4269,4315,25300
20080421,4396,4396,4281,4295,13136
20080422,4315,4390,4250,4281,23528
20080423,4315,4349,4201,4281,19146
20080424,4288,4343,4195,4315,7924
20080425,4315,4343,4250,4315,18183
20080428,4269,4370,4255,4335,19681
20080429,4335,4335,4214,4250,16424
20080430,4281,4281,4201,4201,8819
20080502,4201,4269,4121,4121,28294
20080506,4121,4250,4100,4228,18477
20080507,4250,4250,4114,4161,15314
20080508,4126,4181,4106,4161,15251
20080509,4168,4175,4106,4133,12945
20080513,4140,4418,4140,4418,50079
20080514,4443,4443,4330,4370,15875
20080515,4370,4370,4255,4302,10383
20080516,4315,4330,4045,4302,35579
20080519,4281,4281,4161,4195,2924
20080520,4126,4181,4106,4175,14548
20080521,4181,4214,4045,4214,9789
20080522,4214,4214,4045,4133,10997
20080523,4201,4201,4052,4059,5773
20080526,4059,4195,3912,4031,16714
20080527,4031,4168,4012,4092,13862
20080528,4092,4092,4019,4039,10875
20080529,4039,4045,3923,3966,41217
20080530,3966,4045,3768,3809,31524
20080602,3829,3945,3822,3862,8736
20080603,3912,3917,3816,3884,3718
20080604,3884,4045,3730,3776,43261
20080605,3843,3898,3742,3782,13746
20080609,3669,3702,3573,3648,29631
20080610,3621,3761,3526,3613,20616
20080611,3613,3641,3471,3573,18460
20080612,3539,3573,3471,3526,10586
20080613,3573,3862,3539,3628,4023
20080616,3560,3689,3539,3594,29699
20080617,3594,3641,3506,3539,7093
20080618,3607,3607,3459,3560,1760
20080619,3539,3761,3492,3560,5388
20080620,3539,3682,3440,3607,7783
20080623,3580,3580,3440,3506,6089
20080624,3526,3594,3459,3532,2699
20080625,3539,3587,3440,3440,5745
20080626,3552,3567,3432,3532,15927
20080627,3506,3506,3405,3492,3429
