날짜,시가,고가,저가,종가,거래량
20091222,5190,5968,5169,5968,2575283
20091223,5499,5555,5078,5078,2198706
20091224,4909,4987,4390,4419,1254429
20091228,4426,4454,4075,4110,614595
20091229,4110,4215,3991,4019,244351
20091230,4019,4215,3956,4068,412326
20100104,4061,4158,4019,4138,253811
20100105,4187,4229,4075,4117,336861
20100106,4158,4243,4104,4124,292606
20100107,4145,4145,3906,3934,345730
20100108,3942,4004,3801,3857,167812
20100111,3864,3962,3822,3892,249176
20100112,3892,3998,3892,3906,145594
20100113,3892,4004,3836,3942,223550
20100114,4026,4026,3892,3942,117688
20100115,3962,4004,3900,3927,124572
20100118,3927,4187,3892,4138,392492
20100119,4173,4300,4096,4117,355843
20100120,4117,4173,3942,3977,200319
20100121,3977,4040,3927,4011,128314
20100122,3962,3991,3850,3892,144782
20100125,3822,3914,3808,3815,115090
20100126,3857,3878,3502,3527,202149
20100127,3555,3555,3303,3420,144664
20100128,3461,3535,3370,3432,79522
20100129,3370,3401,3170,3170,132204
20100201,3191,3191,3107,3156,69076
20100202,3184,3450,3177,3244,191709
20100203,3285,3401,3285,3363,89636
20100204,3384,3429,3303,3405,65843
20100205,3254,3668,3226,3458,313194
20100208,3472,3549,3297,3297,65020
20100209,3261,3348,3085,3293,128561
20100210,3324,3331,3226,3268,42533
20100211,3268,3401,3247,3370,44116
20100212,3436,3447,3363,3380,30855
20100216,3401,3612,3359,3506,99279
20100217,3535,3619,3472,3563,93111
20100218,3563,3591,3436,3493,72369
20100219,3436,3502,3346,3416,41353
20100222,3450,3458,3370,3420,24128
20100223,3412,3454,3366,3370,25057
20100224,3423,3423,3268,3303,48537
20100225,3303,3366,3274,3274,35914
20100226,3282,3331,3250,3310,21410
20100302,3297,3373,3156,3219,48797
20100303,3219,3282,3195,3233,22061
20100304,3233,3274,3177,3268,31849
20100305,3268,3289,3229,3250,10128
20100308,3289,3289,3204,3247,41339
20100309,3236,3285,3226,3236,27380
20100310,3297,3387,3236,3282,58424
20100311,3268,3352,3247,3274,46295
20100312,3289,3317,3226,3233,42352
20100315,3229,3282,3191,3216,31717
20100316,3195,3226,3191,3204,59498
20100317,3240,3240,3191,3191,52931
20100318,3258,3363,3226,3226,178624
20100319,3233,3370,3233,3348,180654
20100322,3377,3570,3303,3478,179011
20100323,3478,3499,3394,3416,91797
20100324,3499,3499,3226,3346,131699
20100325,3331,3359,3247,3272,58449
20100326,3282,3331,3261,3272,108645
20100329,3226,3274,3195,3250,78090
20100330,3307,3307,3142,3170,140026
20100331,3219,3219,3156,3163,31284
20100401,3240,3247,3159,3159,65417
20100402,3170,3219,3131,3156,62155
20100405,3156,3156,2918,2963,107456
20100406,2966,3016,2560,2748,140251
20100407,2769,2844,2703,2763,123680
20100408,2763,2794,2693,2707,74954
20100409,2731,2756,2609,2671,146293
20100412,2699,2699,2574,2637,111285
20100413,2637,2651,2574,2616,84213
20100414,2616,2822,2605,2752,124959
20100415,2760,2861,2742,2752,76395
20100416,2748,2780,2618,2633,70201
20100419,2601,2679,2524,2584,47213
20100420,2570,2616,2437,2475,261419
20100421,2514,2584,2458,2539,263829
20100422,2580,2584,2482,2584,123103
20100423,2637,2637,2563,2563,89950
20100426,2560,2657,2556,2626,102547
20100427,2633,2903,2633,2756,254399
20100428,2699,2745,2643,2690,102933
20100429,2714,2760,2690,2696,99840
20100430,2735,2889,2665,2802,114233
20100503,2805,2829,2699,2718,170591
20100504,2752,2756,2647,2675,100045
20100506,2594,2714,2524,2609,61497
20100507,2496,2588,2475,2552,76830
20100510,2560,2629,2539,2594,62241
20100511,2609,2721,2609,2671,44800
20100512,2671,2686,2618,2661,34591
20100513,2679,2767,2661,2710,50547
20100514,2710,2710,2629,2686,22071
20100517,2686,2686,2532,2552,73986
20100518,2588,2809,2560,2665,236224
20100519,2693,2748,2598,2637,70249
20100520,2665,2665,2496,2560,96346
20100524,2548,2548,2482,2510,56666
20100525,2486,2535,2135,2296,115844
20100526,2251,2539,2251,2451,59523
20100527,2507,2594,2451,2594,41874
20100528,2643,2721,2605,2661,107939
20100531,2671,2682,2560,2671,83309
20100601,2626,2693,2626,2693,45987
20100603,2710,2798,2682,2756,74182
20100604,2756,3001,2756,2893,235563
20100607,2756,2826,2735,2788,71594
20100608,2776,2910,2679,2742,134016
20100609,2769,2780,2643,2671,88279
20100610,2665,2742,2641,2686,85316
20100611,2735,2756,2679,2742,53020
20100614,2769,2942,2760,2875,248504
20100615,2896,2960,2802,2952,147724
20100616,3030,3131,2970,3016,391424
20100617,3016,3152,2945,3078,275421
20100618,3124,3177,3022,3099,203391
20100621,3142,3170,2984,3149,242019
20100622,3149,3339,3114,3131,311048
20100623,3127,3188,2984,3022,117142
20100624,3089,3180,3026,3170,203183
20100625,3197,3250,3146,3226,113200
20100628,3244,3282,3173,3204,83139
20100629,3254,3254,3050,3050,141009
20100630,2938,3247,2927,3061,137774
20100701,3016,3103,2984,3061,91913
20100702,3065,3107,2980,3016,85108
20100705,3037,3044,2854,2879,107117
20100706,2847,2910,2794,2822,56430
20100707,2875,2942,2784,2805,111375
20100708,2861,2889,2809,2875,69334
20100709,2875,2931,2826,2826,43028
20100712,2861,2976,2841,2945,58637
20100713,2896,2976,2896,2910,37156
20100714,2918,2945,2869,2910,69052
20100715,2903,2945,2871,2871,37819
20100716,2875,2927,2844,2910,45264
20100719,2861,2910,2822,2822,96895
20100720,2833,2869,2780,2788,80073
20100721,2794,2844,2735,2748,67136
20100722,2745,2784,2693,2721,69468
20100723,2748,2805,2724,2780,35314
20100726,2798,2816,2748,2773,24236
20100727,2854,2854,2763,2798,25821
20100728,2805,2805,2748,2776,14219
20100729,2791,2791,2721,2745,13391
20100730,2707,2752,2671,2693,27283
20100802,2682,2829,2679,2690,33529
20100803,2690,2724,2668,2668,46916
20100804,2668,2668,2580,2618,45504
20100805,2616,2693,2601,2605,32758
20100806,2605,2731,2598,2629,19124
20100809,2661,2721,2594,2661,66355
20100810,2598,2699,2475,2524,133494
20100811,2524,2580,2422,2422,51874
20100812,2422,2422,2373,2398,29278
20100813,2384,2532,2370,2398,34248
20100816,2391,2490,2370,2398,32258
20100817,2398,2413,2335,2349,29010
20100818,2349,2377,2320,2339,19654
20100819,2335,2363,2332,2335,30728
20100820,2335,2391,2279,2335,53910
20100823,2335,2433,2328,2394,51877
20100824,2394,2416,2352,2377,49239
20100825,2349,2363,2328,2342,23693
20100826,2342,2440,2339,2440,43033
20100827,2419,2419,2345,2409,34939
20100830,2443,2451,2384,2447,94786
20100831,2594,2616,2345,2356,176698
20100901,2370,2381,2314,2314,51952
20100902,2328,2373,2314,2320,26384
20100903,2332,2370,2314,2342,11350
20100906,2370,2370,2311,2342,19659
20100907,2352,2352,2307,2328,9540
20100908,2328,2339,2307,2320,14508
20100909,2345,2398,2314,2349,20481
20100910,2349,2440,2349,2370,19222
20100913,2356,2384,2328,2342,13671
20100914,2324,2342,2296,2314,25281
20100915,2300,2349,2296,2349,26547
20100916,2349,2363,2311,2317,22153
20100917,2307,2345,2292,2345,5279
20100920,2366,2366,2307,2328,9069
20100924,2320,2363,2292,2317,10654
20100927,2317,2335,2282,2296,10131
20100928,2279,2314,2266,2311,31354
20100929,2317,2345,2296,2317,7775
20100930,2345,2345,2286,2314,17572
20101001,2314,2335,2296,2314,8842
20101004,2314,2314,2279,2304,8943
20101005,2314,2314,2243,2282,13978
20101006,2271,2304,2223,2258,40706
20101007,2194,2254,2173,2205,43058
20101008,2205,2419,2205,2237,12833
20101011,2243,2258,2194,2226,13418
20101012,2226,2237,2188,2188,14349
20101013,2201,2243,2185,2243,14929
20101014,2212,2262,2198,2223,6576
20101015,2223,2233,2194,2230,10004
20101018,2230,2251,2226,2226,30652
20101019,2233,2266,2201,2219,30550
20101020,2201,2230,2188,2223,15031
20101021,2243,2243,2212,2230,24199
20101022,2230,2243,2215,2230,16903
20101025,2237,2349,2237,2286,66275
20101026,2268,2304,2258,2279,13655
20101027,2304,2440,2286,2416,161382
20101028,2416,2462,2413,2416,60774
20101029,2486,2486,2405,2429,24823
20101101,2451,2462,2409,2462,37029
20101102,2510,2514,2447,2510,129381
20101103,2510,2577,2454,2510,69419
20101104,2510,2552,2451,2458,48446
20101105,2433,2514,2433,2454,49233
20101108,2454,2454,2433,2454,26841
20101109,2416,2454,2413,2440,29833
20101110,2440,2440,2381,2394,38469
20101111,2384,2493,2381,2458,44509
20101112,2458,2507,2320,2391,44394
20101115,2447,2447,2104,2243,70627
20101116,2243,2247,2166,2170,76091
20101117,2153,2201,2089,2170,37154
20101118,2188,2233,2089,2209,69581
20101119,2243,2243,2191,2205,19612
20101122,2188,2201,2142,2142,24370
20101123,2135,2170,2114,2153,31853
20101124,1973,2096,1966,2092,49726
20101125,2139,2139,2064,2076,18024
20101126,2124,2124,1938,1938,48589
20101129,1963,2019,1938,2002,21314
20101130,2012,2068,1957,2002,19340
20101201,2047,2047,1991,2043,10040
20101202,2043,2082,2023,2023,13798
20101203,2026,2068,1998,2015,14551
20101206,2019,2034,1973,2005,9167
20101207,2005,2005,1942,1953,37928
20101208,1931,1991,1892,1896,22066
20101209,1900,1949,1889,1896,18649
20101210,1911,1931,1896,1924,3944
20101213,1924,1963,1924,1938,18095
20101214,1942,1998,1900,1970,37761
20101215,2005,2005,1942,1995,9726
20101216,1984,2005,1942,1981,13516
20101217,1991,2002,1938,1949,15424
20101220,1862,1945,1658,1858,66797
20101221,1872,1892,1854,1876,16524
20101222,1876,1900,1872,1900,16635
20101223,1917,1917,1830,1837,26427
20101224,1864,1886,1749,1756,34230
20101227,1756,1781,1725,1729,30582
20101228,1904,1904,1770,1773,70120
20101229,1773,1854,1773,1819,8610
20101230,1879,1911,1823,1900,28481
20110103,1914,1914,1858,1879,5166
20110104,1879,1935,1864,1892,13270
20110105,1892,1914,1868,1886,9205
20110106,1953,1953,1868,1872,11620
20110107,1864,1928,1837,1854,18501
20110110,1830,1868,1795,1826,24495
20110111,1892,1892,1812,1837,12649
20110112,1892,1892,1802,1830,10582
20110113,1826,1830,1738,1756,24152
20110114,1749,1753,1700,1725,113027
20110117,1717,1745,1711,1729,71584
20110118,1729,1773,1683,1700,46776
20110119,1700,1735,1634,1644,87393
20110120,1648,1664,1634,1644,34723
20110121,1668,1668,1619,1619,25273
20110124,1703,1703,1616,1648,28615
20110125,1648,1683,1619,1634,12249
20110126,1619,1658,1578,1578,20884
20110127,1606,1606,1465,1535,107437
20110128,1535,1563,1507,1545,30991
20110131,1542,1545,1510,1525,11732
20110201,1578,1578,1510,1521,9917
20110207,1483,1570,1483,1514,45816
20110208,1538,1542,1489,1504,33760
20110209,1500,1528,1468,1472,13611
20110210,1472,1472,1374,1378,115267
20110211,1367,1398,1335,1342,48030
20110214,1342,1363,1313,1313,31363
20110215,1304,1384,1300,1384,45177
20110216,1367,1426,1367,1426,14184
20110217,1426,1440,1317,1436,48354
20110218,1402,1436,1374,1374,15001
20110221,1346,1436,1346,1402,22297
20110222,1402,1434,1359,1412,12076
20110223,1394,1436,1394,1394,13204
20110224,1381,1426,1317,1339,18823
20110225,1367,1367,1317,1353,9374
20110228,1346,1387,1335,1374,8074
20110302,1310,1374,1310,1335,17055
20110303,1367,1374,1342,1370,15231
20110304,1367,1394,1349,1349,28922
20110307,1328,1370,1325,1353,8049
20110308,1325,1353,1325,1342,22620
20110309,1346,1444,1346,1391,37693
20110310,1391,1394,1342,1381,30972
20110311,1387,1517,1387,1434,103820
