날짜,시가,고가,저가,종가,거래량
20050128,2289,2531,2279,2531,320398
20050131,2492,2832,2443,2832,340696
20050201,2918,3092,2771,3013,147220
20050202,3007,3067,2741,2859,112925
20050203,2763,3018,2746,2918,124712
20050204,2918,2997,2790,2892,31758
20050207,2937,2979,2763,2892,81947
20050211,2763,2923,2721,2892,39574
20050214,2902,2962,2763,2892,33022
20050215,2918,2918,2828,2892,53691
20050216,2979,3240,2892,3240,224604
20050217,3325,3575,3300,3455,202495
20050218,3421,3585,3248,3377,90605
20050221,3335,3714,3335,3351,154765
20050222,3300,3395,3152,3195,93596
20050223,3113,3240,3110,3195,36025
20050224,3079,3455,3079,3300,48788
20050225,3282,3515,2907,3105,233607
20050228,3100,3455,3044,3290,95961
20050302,3308,3684,3308,3542,179685
20050303,3542,3758,3542,3727,36582
20050304,3714,4173,3714,4173,131230
20050307,4492,4665,4483,4665,87956
20050308,5010,5140,4215,4233,446928
20050309,4242,4407,3727,4233,123790
20050310,4008,4492,4008,4449,104438
20050311,4407,4975,4407,4975,92449
20050314,5070,5175,4414,4743,182995
20050315,4829,4829,4224,4233,121595
20050316,4233,4233,3973,3973,136042
20050317,3801,4048,3597,3783,146794
20050318,3801,3801,3390,3542,107464
20050321,3542,3862,3542,3740,31621
20050322,3654,3779,3373,3585,98543
20050323,3507,3766,3464,3749,48537
20050324,3645,4176,3645,3965,71358
20050325,3892,4146,3892,4146,40139
20050328,4276,4310,4146,4250,60635
20050329,4220,4320,4173,4276,52456
20050330,4579,4915,4320,4915,160364
20050331,5642,5650,4449,4579,211424
20050401,4579,4838,4544,4699,86869
20050404,4829,4838,4407,4407,63492
20050406,4407,4492,4194,4276,29804
20050407,4467,4656,4276,4397,87484
20050408,4397,4579,4320,4570,49455
20050411,4501,4579,4354,4354,92464
20050412,4293,4536,4293,4483,22372
20050413,4449,4614,4449,4614,20872
20050414,4561,4734,4536,4579,16837
20050415,4579,4734,4407,4708,20326
20050418,4492,4734,4492,4579,26808
20050419,4544,4631,4536,4631,15495
20050420,4699,4708,4579,4579,18298
20050421,4579,4708,4320,4665,40059
20050422,4449,4674,4449,4614,45809
20050425,4579,4838,4579,4708,40529
20050426,4821,4821,4492,4596,31189
20050427,4457,4621,4320,4379,40249
20050428,4492,4510,4237,4242,16237
20050429,4146,4310,4025,4285,73493
20050502,4164,4414,4146,4310,13443
20050503,4242,4941,4146,4146,84668
20050504,4233,4397,4043,4362,44250
20050506,4362,4561,4250,4449,62721
20050509,4407,4407,3809,3878,72588
20050510,3801,3918,3412,3801,133898
20050511,3801,3801,3550,3550,18711
20050512,3585,4081,3550,4081,114023
20050513,4233,4691,4173,4621,165144
20050516,4656,5313,4449,5313,193262
20050517,5331,5961,5097,5477,62311
20050518,5788,6298,5511,6298,128014
20050519,6298,6610,5823,6351,89516
20050520,6351,6653,5875,6263,237169
20050523,6263,6524,6222,6263,104493
20050524,6160,6429,5875,6048,103128
20050525,6056,6955,6056,6955,113193
20050526,7993,7993,6533,7560,508673
20050527,7560,7949,7042,7379,451997
20050530,8485,8485,8485,8485,116124
20050531,9721,9721,7215,8132,454964
20050601,7829,8165,7085,7777,225516
20050602,7768,8037,7354,7915,268736
20050603,7915,7993,7716,7984,182684
20050607,7984,9160,7811,8685,286678
20050608,8642,9160,8234,8234,146766
20050609,8381,8943,7949,7949,173841
20050610,7855,8200,6757,6757,259684
20050613,6290,7067,6290,6333,172664
20050614,6351,6696,6075,6376,219769
20050615,6489,7215,6429,6825,225772
20050616,6739,6990,6143,6222,165093
20050617,6222,6601,6135,6229,260539
20050620,6317,6757,6307,6351,262567
20050621,6307,6567,6082,6307,88445
20050622,6195,6342,5961,6048,125312
20050623,5840,6021,5711,5823,145502
20050624,5668,5815,4950,5788,256036
20050627,5900,6091,5737,5866,135944
20050628,5884,6610,5884,6394,248057
20050629,7354,7354,7128,7354,687034
20050630,7423,7690,7119,7560,414827
20050701,7440,7560,7327,7475,171703
20050704,7526,7604,7215,7258,199995
20050705,7258,7258,6696,6930,189842
20050706,6912,7051,6618,7051,147004
20050707,6912,7007,6835,6835,85508
20050708,6765,6792,6567,6593,145169
20050711,6498,7284,6498,7215,317350
20050712,7345,7345,6662,6731,101479
20050713,6731,6860,6489,6524,97254
20050714,6567,6722,6247,6351,111712
20050715,6282,6610,6229,6385,57001
20050718,6376,6688,6048,6524,162699
20050719,6524,6567,6359,6385,61745
20050720,6498,7112,5434,6091,336118
20050721,6030,6317,5806,5945,134048
20050722,5815,6005,5511,5711,106686
20050725,5624,6048,5624,5918,89128
20050726,5806,6021,5746,5840,68563
20050727,5840,6005,5753,5952,48727
20050728,5858,6005,5788,5866,113040
20050729,6030,6030,5806,5900,72504
20050801,5815,5961,5642,5771,65129
20050802,5668,5771,5313,5529,106222
20050803,5494,6048,5278,5357,329486
20050804,5529,5529,4587,4863,140248
20050805,4579,4856,4285,4327,90395
20050808,4173,4803,4173,4320,111456
20050809,4307,4838,4307,4639,95986
20050810,4777,5002,4752,4968,69048
20050811,4847,5020,4803,4925,30120
20050812,5097,5097,4803,4925,26399
20050816,4847,4968,4665,4682,42305
20050817,4510,4725,4449,4579,40694
20050818,4527,4734,4492,4579,10742
20050819,4422,4838,4414,4734,70490
20050822,4752,4985,4752,4856,60249
20050823,4768,5581,4768,5581,155344
20050824,5823,6376,5703,5980,365816
20050825,5987,6212,5746,5884,101321
20050826,5961,6688,5287,5728,591362
20050829,5452,5720,4873,4873,189916
20050830,4691,4915,4337,4457,154980
20050831,4237,4604,4237,4527,99099
20050901,4527,4968,4492,4803,118740
20050902,4803,5045,4803,5010,62702
20050905,5020,5166,4821,4968,47965
