날짜,시가,고가,저가,종가,거래량
20050128,335200,335200,335200,335200,629
20050131,374880,374880,295540,295540,7591
20050201,260540,276880,260540,260540,5223
20050202,251980,264440,229440,260540,5407
20050203,242660,255100,230980,244200,4370
20050204,243440,251200,234880,245760,4156
20050207,242660,256660,233320,245760,1147
20050211,239540,265200,238760,246540,1843
20050214,246540,250440,239540,246540,1474
20050215,245760,247320,239540,243440,1394
20050216,237980,250440,237980,247320,1493
20050217,248880,248880,239540,247320,1397
20050218,244200,250440,239540,239540,953
20050221,242660,250440,236440,242660,1565
20050222,245760,245760,233320,239540,1804
20050223,236440,241880,231760,236440,3784
20050224,230200,237980,230200,234100,1034
20050225,236440,237980,230200,230980,676
20050228,230200,235660,221660,230980,1675
20050302,230200,248880,230200,241100,644
20050303,233320,248880,233320,241100,839
20050304,241100,245760,233320,237980,4893
20050307,237980,251980,220100,236440,2047
20050308,230980,242660,227880,232540,439
20050309,209220,259760,209220,232540,10803
20050310,231760,241100,224760,231760,1647
20050311,236440,239540,229440,231760,2841
20050314,234100,238760,231760,235660,2008
20050315,239540,239540,231760,238760,683
20050316,233320,240320,230980,234100,633
20050317,230980,235660,228660,228660,2201
20050318,233320,233320,221660,223200,700
20050321,217760,223200,211540,212320,681
20050322,212320,222440,212320,215440,535
20050323,211540,229440,211540,227880,915
20050324,227880,245760,222440,222440,4474
20050325,222440,229440,217760,218540,3187
20050328,219320,222440,217760,218540,317
20050329,202220,214660,199880,208440,717
20050330,202980,214660,202980,208440,482
20050331,216220,216220,202980,205320,278
20050401,213880,213880,199100,199100,343
20050404,199100,208440,197540,202220,123
20050406,203760,208440,199100,204540,259
20050407,208440,208440,197540,203760,226
20050408,205320,208440,198320,199100,441
20050411,199100,227880,199100,207660,954
20050412,207660,221660,207660,209980,1493
20050413,212320,227880,209980,211540,1696
20050414,208440,215440,199880,204540,639
20050415,209980,209980,192880,205320,436
20050418,200660,206100,186660,191320,382
20050419,163320,170320,163320,164100,10131
20050420,161760,178100,161760,171100,4277
20050421,167980,176540,164880,173440,4798
20050422,172660,172660,170320,171880,3617
20050425,178880,178880,172660,175760,2415
20050426,178100,178100,169540,172660,4050
20050427,172660,189760,169540,177320,2779
20050428,176540,188220,176540,187440,1168
20050429,186660,203760,186660,198320,2962
20050502,208440,216220,199100,209980,3407
20050503,207660,209980,198320,206880,2848
20050504,211540,220880,201440,210760,9188
20050506,210760,213880,192100,192100,5575
20050509,192880,196760,178880,189760,1654
20050510,186660,206880,175760,186660,6487
20050511,180440,192100,180440,182760,1667
20050512,185880,190540,178880,181220,1457
20050513,181220,185100,175760,182760,760
20050516,183540,197540,179660,195220,1583
20050517,194440,197540,189760,191320,1134
20050518,188220,196760,187440,194440,1136
20050519,195980,196760,191320,191320,1091
20050520,191320,191320,183540,185100,1570
20050523,186660,186660,179660,186660,533
20050524,185100,187440,183540,184320,940
20050525,185100,188980,177320,183540,1097
20050526,183540,190540,178880,185880,1378
20050527,184320,192100,180440,182760,1534
20050530,182760,184320,180440,181980,895
20050531,182760,182760,177320,181980,938
20050601,179660,186660,178880,181220,524
20050602,182760,185100,180440,183540,868
20050603,185100,185880,181220,184320,529
20050607,181980,190540,181980,185100,588
20050608,185880,185880,181980,183540,400
20050609,184320,184320,178100,181220,1045
20050610,181980,207660,180440,207660,9981
20050613,213100,215440,199880,202220,3568
20050614,199880,232540,199880,232540,9735
20050615,222440,238760,217760,230200,5152
20050616,235660,260540,223980,242660,8647
20050617,248880,263660,231760,237980,8629
20050620,234100,237200,217760,236440,3493
20050621,234100,250440,230980,236440,2947
20050622,234100,255880,227100,248100,5823
20050623,248880,262100,248100,253540,3486
20050624,255100,265980,251980,260540,3843
20050627,264440,277660,248880,250440,7415
20050628,224760,234880,213100,231760,10582
20050629,239540,246540,223980,230200,7846
20050630,231760,231760,213880,220880,10517
20050701,217760,225540,216220,220100,3903
20050704,216980,222440,215440,216220,6766
20050705,213100,215440,202220,206100,7733
20050706,213880,215440,206880,211540,4564
20050707,212320,241880,212320,236440,13931
20050708,233320,239540,221660,231760,5454
20050711,236440,236440,229440,231760,4574
20050712,225540,234100,220880,223980,6803
20050713,223980,227100,216220,218540,3199
20050714,216980,220880,212320,212320,4442
20050715,210760,226320,209980,220880,3922
20050718,225540,230200,219320,222440,4614
20050719,220100,227100,214660,220880,6265
20050720,220880,220880,197540,209980,4411
20050721,205320,213880,205320,209220,2319
