날짜,시가,고가,저가,종가,거래량
20050128,1529,1576,1524,1529,35397
20050131,1506,1562,1506,1538,13842
20050201,1585,1585,1501,1529,14809
20050202,1529,1585,1529,1585,19050
20050203,1585,1678,1557,1613,29385
20050204,1585,1646,1585,1632,27673
20050207,1608,1650,1608,1641,38139
20050211,1660,1674,1622,1660,19053
20050214,1632,1683,1632,1664,50896
20050215,1725,1860,1706,1860,262884
20050216,1958,2079,1949,2079,106547
20050217,2326,2326,2098,2214,490126
20050218,2149,2210,2103,2135,149186
20050221,2126,2331,2079,2154,155082
20050222,2089,2275,1897,2047,131460
20050223,1958,2042,1879,1911,110361
20050224,1827,1977,1827,1939,88662
20050225,1958,1958,1902,1902,81815
20050228,1883,1949,1869,1883,58477
20050302,1958,1958,1865,1930,51157
20050303,1958,2051,1874,2023,59990
20050304,2089,2089,1902,1944,27952
20050307,1953,2005,1869,1897,45084
20050308,1902,1930,1678,1827,37996
20050309,1832,1930,1818,1855,10287
20050310,1818,1874,1734,1813,9689
20050311,1762,1865,1762,1790,22034
20050314,1776,1935,1762,1893,22077
20050315,1874,1977,1851,1879,40733
20050316,1902,1958,1734,1893,19078
20050317,1846,1902,1790,1818,17469
20050318,1818,1818,1706,1734,15372
20050321,1650,1715,1636,1688,21061
20050322,1650,1715,1585,1660,26985
20050323,1613,1660,1585,1585,14502
20050324,1585,1632,1557,1566,18902
20050325,1566,1636,1557,1604,15344
20050328,1576,1660,1366,1548,68038
20050329,1585,1585,1506,1529,7337
20050330,1557,1571,1492,1566,9678
20050331,1608,1627,1585,1608,17963
20050401,1604,1669,1515,1641,23533
20050404,1585,1669,1566,1576,12922
20050406,1650,1650,1543,1599,11802
20050407,1576,1632,1557,1557,21029
20050408,1613,1641,1566,1632,18681
20050411,1585,1655,1566,1580,5490
20050412,1557,1622,1557,1580,22920
20050413,1580,1813,1580,1813,116853
20050414,1757,1795,1688,1757,115134
20050415,1781,1781,1622,1664,30808
20050418,1590,1604,1501,1501,57415
20050419,1501,1622,1492,1585,25937
20050420,1604,1650,1585,1622,10253
20050421,1576,1650,1557,1562,17109
20050422,1594,1669,1576,1585,7818
20050425,1604,1604,1538,1543,15216
20050426,1604,1604,1543,1580,8244
20050427,1594,1594,1538,1585,12811
20050428,1585,1632,1548,1576,24060
20050429,1534,1590,1520,1552,9405
20050502,1585,1669,1538,1566,11830
20050503,1557,1632,1510,1585,12098
20050504,1538,1632,1538,1599,8985
20050506,1557,1632,1557,1632,11909
20050509,1585,1622,1576,1580,3852
20050510,1580,1650,1580,1580,8572
20050511,1585,1632,1552,1585,10073
20050512,1566,1622,1566,1604,19195
20050513,1627,1627,1576,1608,11966
20050516,1632,1781,1585,1734,72880
20050517,1799,1799,1678,1743,49042
20050518,1767,1767,1688,1743,29188
20050519,1743,1767,1678,1729,15543
20050520,1669,1743,1650,1697,18828
20050523,1674,1715,1636,1678,31381
20050524,1725,1725,1632,1669,17425
20050525,1641,1683,1627,1669,22892
20050526,1650,1715,1641,1641,21672
20050527,1641,1711,1641,1683,29613
20050530,1715,1874,1715,1790,88255
20050531,1781,1818,1739,1762,35066
20050601,1762,1832,1762,1771,43181
20050602,1771,1846,1753,1753,31180
20050603,1771,1781,1697,1734,45213
20050607,1734,1818,1715,1818,85759
20050608,1846,1846,1767,1795,38485
20050609,1818,1818,1734,1743,93748
20050610,1729,1804,1729,1804,73479
20050613,1809,1818,1767,1767,10626
20050614,1753,1813,1739,1762,48487
20050615,1743,1790,1743,1776,27305
20050616,1809,1809,1748,1748,30575
20050617,1734,1771,1725,1725,57389
20050620,1725,1767,1683,1683,31535
20050621,1688,1739,1492,1585,132661
20050622,1552,1646,1552,1627,38085
20050623,1594,1655,1594,1618,26070
20050624,1650,1650,1594,1632,8194
20050627,1594,1632,1590,1590,24004
20050628,1585,1678,1585,1636,18066
20050629,1622,1674,1622,1622,17056
20050630,1613,1701,1613,1701,21050
20050701,1678,1711,1660,1706,19265
20050704,1688,1949,1678,1911,176364
20050705,1883,1921,1813,1902,100994
20050706,2009,2149,1897,1921,159123
20050707,1865,1921,1841,1846,29989
20050708,1809,1874,1762,1837,52357
20050711,1958,1958,1874,1911,42559
20050712,1949,2051,1911,1925,104068
20050713,2033,2033,1893,1949,52491
20050714,1907,1991,1907,1921,17694
20050715,1921,1944,1809,1813,37543
20050718,1855,1883,1799,1818,69766
20050719,1818,1860,1809,1813,60155
20050720,1823,1921,1823,1883,63877
20050721,1888,1939,1865,1902,28746
20050722,1944,1944,1827,1879,26166
20050725,1883,2051,1837,2023,82125
20050726,2098,2098,1958,2061,116266
20050727,2098,2135,2000,2023,27468
20050728,2023,2093,1958,2042,104166
20050729,2042,2089,1972,1972,28640
20050801,2033,2033,1944,1949,31833
20050802,1916,1977,1911,1944,32853
20050803,1907,1963,1823,1855,47183
20050804,1837,1893,1781,1795,31289
20050805,1799,1809,1683,1753,57760
20050808,1706,1813,1688,1771,16033
20050809,1771,1846,1767,1767,21026
20050810,1771,1827,1762,1762,14537
20050811,1776,1809,1767,1767,29130
20050812,1785,1939,1771,1855,49899
20050816,1869,1911,1809,1823,20645
20050817,1823,1855,1804,1827,14800
20050818,1837,1865,1837,1865,20672
20050819,1855,1921,1855,1874,36488
20050822,1893,1939,1865,1879,14024
20050823,1921,1921,1827,1869,21731
20050824,1823,1869,1785,1818,22663
20050825,1771,1818,1771,1790,16545
20050826,1771,1818,1771,1785,30927
20050829,1776,1795,1729,1771,32921
20050830,1743,1785,1734,1776,14440
20050831,1734,1776,1725,1739,12208
20050901,1757,1893,1757,1827,7098
20050902,1827,1986,1799,1911,44843
20050905,1874,1949,1846,1902,32598
20050906,1874,1958,1846,1907,33067
20050907,1879,2000,1879,1930,65186
20050908,1930,1995,1855,1883,35376
20050909,1930,1930,1846,1874,11555
20050912,1865,1958,1855,1939,61275
20050913,1939,2061,1930,1949,135787
20050914,1967,2051,1911,1911,61948
20050915,1911,1977,1893,1949,42817
20050916,1944,2144,1944,2051,67134
20050920,2135,2135,2019,2023,45223
20050921,2009,2009,1949,1958,44038
20050922,1958,1995,1911,1953,25861
20050923,1930,1967,1897,1911,42348
20050926,1897,1986,1897,1986,59003
20050927,2009,2070,1967,2014,67519
20050928,1995,2051,1949,1977,31889
20050929,1991,1995,1921,1930,22064
20050930,1939,2219,1939,2144,215586
20051004,2107,2219,2107,2172,101107
20051005,2117,2191,2075,2098,63068
20051006,2098,2154,2042,2117,55122
20051007,2172,2182,2023,2084,49539
20051010,2107,2182,2075,2121,36952
20051011,2112,2177,2112,2168,44269
20051012,2168,2480,2168,2331,283018
20051013,2331,2480,2238,2359,182049
20051014,2345,2401,2247,2280,96342
20051017,2256,2280,2191,2210,57636
20051018,2191,2284,2191,2238,67930
20051019,2238,2256,2019,2028,90327
20051020,2070,2117,2033,2051,27022
20051021,2042,2089,1958,2051,36435
20051024,2019,2135,2019,2037,30956
20051025,2051,2089,2023,2028,25604
20051026,2023,2117,2014,2107,45065
20051027,2117,2158,2061,2070,54573
20051028,2070,2093,2023,2023,65496
20051031,2033,2112,2033,2089,17777
20051101,2135,2154,2093,2107,35481
20051102,2089,2186,1986,2112,42461
20051103,2117,2117,2056,2079,39434
20051104,2089,2098,2019,2028,40365
20051107,2051,2093,2023,2089,40006
20051108,2056,2130,2056,2130,48949
20051109,2098,2144,2098,2135,38123
20051110,2117,2238,2112,2224,115121
20051111,2210,2252,2191,2219,48486
20051114,2219,2322,2191,2284,102299
20051115,2294,2294,2200,2238,34272
20051116,2242,2284,2186,2252,55686
20051117,2219,2406,2210,2359,89463
20051118,2378,2611,2340,2406,197036
20051121,2471,2471,2340,2368,91724
20051122,2396,2471,2275,2364,104883
20051123,2368,2709,2368,2685,410835
20051124,2685,3086,2681,2988,919708
20051125,3030,3217,2914,2970,253253
20051128,2998,3208,2900,3030,176527
20051129,2937,3086,2797,2807,165400
20051130,2797,3030,2709,3021,238538
20051201,2984,3208,2984,3138,228648
20051202,3203,3231,3012,3110,101748
20051205,3012,3119,2956,3021,143716
20051206,3002,3170,2863,3142,286658
20051207,3170,3329,2984,2984,271442
20051208,2849,2928,2704,2793,167729
20051209,2760,2853,2741,2746,64871
20051212,2751,2923,2737,2751,172630
20051213,2751,2867,2583,2676,134733
20051214,2676,2713,2550,2583,130291
20051215,2564,2699,2555,2578,86831
20051216,2518,2573,2480,2518,84290
20051219,2564,2592,2527,2555,39524
20051220,2536,2606,2527,2555,48347
20051221,2555,2597,2485,2564,128896
20051222,2559,2690,2518,2555,101719
20051223,2522,2601,2476,2532,30107
20051226,2532,2629,2522,2545,84290
20051227,2527,2685,2527,2597,151955
20051228,2578,2634,2518,2518,113226
20051229,2485,2597,2364,2396,123127
20060102,2396,2457,2322,2340,94042
20060103,2368,2410,2331,2331,64677
20060104,2359,2452,2331,2368,82180
20060105,2373,2471,2345,2350,42921
20060106,2350,2382,2322,2378,89300
20060109,2387,2471,2340,2373,55002
20060110,2359,2387,2312,2326,69145
20060111,2298,2354,2252,2275,79685
20060112,2247,2298,2247,2270,30641
20060113,2247,2331,2247,2294,53510
20060116,2284,2373,2284,2331,33672
20060117,2396,2396,2312,2312,42290
20060118,2294,2326,2005,2084,139371
20060119,2093,2135,2051,2117,54222
20060120,2019,2112,1995,2112,139047
20060123,2023,2051,1799,1799,64360
20060124,1711,1785,1538,1753,202801
20060125,1753,1893,1743,1869,72515
20060126,1869,1935,1851,1883,26513
20060127,1883,2000,1879,1981,60944
20060131,1981,2037,1958,2009,29737
20060201,2014,2098,1837,1902,62807
20060202,1911,1991,1851,1921,31219
20060203,1907,1907,1827,1865,28568
20060206,1958,1958,1846,1911,13897
20060207,1888,1907,1851,1855,42138
20060208,1874,1953,1846,1874,63346
20060209,1911,1925,1865,1865,37756
20060210,1865,1902,1855,1888,50640
20060213,1883,1977,1883,1977,40666
20060214,2014,2163,1977,2098,105956
20060215,2177,2177,1991,1995,54112
20060216,2000,2144,2000,2093,60382
20060217,2070,2154,2070,2107,25309
20060220,2070,2107,2023,2033,54360
20060221,1995,2042,1991,2023,20649
20060222,2000,2037,1981,2005,41711
20060223,2005,2037,1991,1991,42436
20060224,1995,2056,1995,2033,20468
20060227,2047,2065,2023,2061,51887
20060228,2079,2084,2014,2023,30002
20060302,2005,2051,2005,2023,50138
20060303,2051,2070,1930,1930,84642
20060306,1977,2005,1939,1949,32633
20060307,1944,1986,1921,1949,87382
20060308,1921,1977,1916,1925,14983
20060309,1958,2014,1939,1944,59768
20060310,1939,2014,1930,2014,30632
20060313,2009,2061,2009,2019,61413
20060314,2023,2023,1981,2014,10902
20060315,2042,2172,2033,2103,88503
20060316,2144,2252,2103,2126,207201
20060317,2126,2182,2089,2135,52367
20060320,2191,2452,2191,2452,304738
20060321,2662,2704,2350,2350,983309
20060322,2382,2410,2172,2256,375384
20060323,2340,2592,2284,2592,984042
20060324,2704,2797,2518,2583,1142265
20060327,2545,2629,2359,2611,445485
20060328,2601,2905,2429,2429,1295386
20060329,2387,2504,2336,2345,418095
20060330,2350,2434,2294,2382,292059
20060331,2410,2457,2331,2396,200999
20060403,2392,2573,2392,2555,415962
20060404,2583,2690,2471,2555,405726
20060405,2625,2639,2499,2508,284684
20060406,2550,2877,2541,2634,1108203
20060407,2634,2662,2541,2611,199765
20060410,2601,2844,2583,2718,357493
20060411,2723,2825,2518,2620,263926
20060412,2587,2662,2499,2536,172112
20060413,2583,2583,2462,2462,179099
20060414,2480,2513,2406,2448,149619
20060417,2452,2499,2434,2452,108847
20060418,2448,2513,2443,2499,96379
20060419,2564,2564,2476,2508,98128
20060420,2480,2550,2340,2345,124788
20060421,2331,2392,2289,2289,86901
20060424,2256,2326,2149,2219,197896
20060425,2172,2219,2168,2191,97045
20060426,2182,2280,2182,2191,81015
20060427,2191,2252,2177,2247,118015
20060428,2247,2247,2205,2228,154153
20060502,2228,2294,2205,2294,48327
20060503,2266,2289,2228,2228,72338
20060504,2238,2256,2158,2182,50596
20060508,2200,2238,2140,2140,45488
20060509,2126,2172,2098,2103,60769
20060510,2079,2144,2079,2107,106569
20060511,2112,2191,2112,2144,86940
20060512,2172,2182,2107,2144,68494
20060515,2103,2168,2079,2112,47773
20060516,2154,2154,2009,2093,30546
20060517,2070,2117,2042,2084,67796
20060518,2037,2084,1967,2084,27325
20060519,2051,2075,2014,2047,15666
20060522,2075,2103,2009,2019,64522
20060523,2014,2047,1986,2000,41805
20060524,1986,2009,1869,1893,118408
20060525,1921,1935,1860,1865,112803
20060526,1911,1949,1883,1888,57887
20060529,1897,1953,1874,1883,21474
20060530,1888,1911,1832,1846,52375
20060601,1874,1874,1785,1799,72374
20060602,1809,1874,1734,1753,55898
20060605,1753,1767,1706,1706,21765
20060607,1706,1711,1604,1655,45142
20060608,1632,1771,1613,1692,30363
20060609,1683,1832,1683,1771,10702
20060612,1715,1809,1715,1771,19608
20060613,1841,1841,1692,1790,8469
20060614,1837,1837,1753,1781,12381
20060615,1846,1907,1781,1841,43263
20060616,1935,1935,1851,1893,21416
20060619,1897,2005,1851,1902,13377
20060620,1874,1949,1855,1860,8297
20060621,1804,1860,1804,1841,11864
20060622,1893,1949,1851,1855,16139
20060623,1855,1916,1846,1897,7362
20060626,1939,1939,1818,1869,16094
20060627,1869,1921,1837,1855,5971
20060628,1823,1883,1818,1883,8320
20060629,1916,1916,1837,1874,12013
20060630,1893,1897,1865,1865,42211
20060703,1883,1902,1855,1855,19369
20060704,1893,1893,1818,1855,22761
20060705,1827,1874,1785,1832,11041
20060706,1776,1827,1753,1767,34923
20060707,1781,1823,1781,1785,2906
20060710,1757,1804,1757,1762,6957
20060711,1762,1809,1762,1785,2484
20060712,1818,1879,1781,1855,13991
20060713,1809,1865,1804,1855,6426
20060714,1855,1865,1762,1809,18869
20060718,1837,1837,1743,1748,13572
20060719,1799,1865,1720,1753,4237
20060720,1781,1799,1739,1771,7909
