날짜,시가,고가,저가,종가,거래량
20050128,8174,8174,8087,8087,15276
20050131,8028,8232,8028,8145,10801
20050201,8262,8262,7970,8145,3245
20050202,8145,8174,8087,8174,4051
20050203,8174,8349,8087,8320,10504
20050204,8320,8846,8320,8729,24871
20050207,8641,9225,8641,9167,12515
20050211,9167,9809,9138,9692,67624
20050214,9897,10043,9342,9926,46305
20050215,9897,10218,9575,10218,38447
20050216,10218,10276,9984,10159,12407
20050217,10276,10276,9984,10247,10455
20050218,10247,10247,9751,10218,8813
20050221,10189,10539,10043,10276,19364
20050222,10276,10510,9780,9926,26809
20050223,9634,10072,9634,9867,12873
20050224,9955,10159,9955,10130,4995
20050225,10013,10159,9575,10072,11473
20050228,10072,10335,9984,10218,11678
20050302,10422,10451,10247,10276,9502
20050303,10422,10422,10072,10276,11846
20050304,10276,10977,10130,10889,21847
20050307,11094,11094,10510,10568,5354
20050308,10597,10802,10305,10305,11836
20050309,10159,10451,9955,10305,25150
20050310,10393,10393,10072,10159,12832
20050311,10013,10393,10013,10072,18825
20050314,10072,10335,9897,10335,17056
20050315,10305,10481,10101,10305,6318
20050316,10130,10481,9897,10393,11436
20050317,10218,10451,10101,10393,4317
20050318,10451,10597,10043,10597,17431
20050321,10568,10597,10481,10539,24499
20050322,10510,10802,10305,10626,13489
20050323,10626,10626,10101,10101,6668
20050324,10159,10159,9634,9955,26717
20050325,10043,10189,9634,10189,2997
20050328,9984,10364,9984,10364,1197
20050329,10539,10568,10159,10393,6606
20050330,10510,10626,10218,10568,4673
20050331,10568,10656,10276,10656,1032
20050401,10597,10860,10364,10685,11341
20050404,10860,10860,10510,10714,3209
20050406,10714,10802,10539,10685,3779
20050407,10510,10860,10510,10802,10375
20050408,10860,10860,10568,10685,512
20050411,10539,10743,10335,10714,6603
20050412,10685,10685,10247,10568,1139
20050413,10568,10714,10072,10510,7203
20050414,10510,10685,10218,10568,10000
20050415,10568,10568,10247,10451,11130
20050418,10568,10568,10189,10422,3200
20050419,10451,10451,10276,10276,4146
20050420,10189,10568,10189,10451,12581
20050421,10510,10510,10130,10451,1426
20050422,10451,10626,10393,10568,2401
20050425,10568,10597,10481,10597,2845
20050426,10393,10685,10393,10597,10473
20050427,10714,10772,10451,10714,12039
20050428,10772,10802,10451,10597,7074
20050429,10597,10656,10422,10597,2008
20050502,10714,10714,10422,10626,4108
20050503,10539,10626,10510,10539,963
20050504,10481,10802,10451,10568,2375
20050506,10802,10802,10568,10685,24519
20050509,10685,10685,10481,10597,1620
20050510,10802,10802,10422,10510,563
20050511,10656,10656,10393,10510,1573
20050512,10510,10510,10422,10510,3052
20050513,10422,10510,10276,10510,716
20050516,10656,10656,10335,10481,1676
20050517,10510,10597,10247,10510,3581
20050518,10568,10626,10364,10422,5887
20050519,10422,10626,10422,10626,1244
20050520,10685,10685,10626,10685,1422
20050523,10743,10918,10656,10889,12259
20050524,10918,11444,10918,11415,13439
20050525,11473,11473,10831,11444,7613
20050526,11094,11415,11064,11356,2915
20050527,11356,11386,11210,11269,3933
20050530,11502,11502,10948,11210,2298
20050531,11473,11473,10948,11210,11077
20050601,11094,11415,10977,11210,9933
20050602,11327,11327,11181,11210,1755
20050603,11094,11269,10948,11269,2272
20050607,11269,11386,11152,11386,1919
20050608,11502,11678,11356,11386,6848
20050609,11444,11794,11386,11794,5867
20050610,11823,11823,11444,11794,6041
20050613,11794,11794,11590,11794,5274
20050614,11502,11794,11502,11678,2991
20050615,11823,11999,11823,11999,4524
20050616,11999,12349,11999,12057,8887
20050617,12086,12407,12086,12407,3700
20050620,12378,12437,12378,12378,1054
20050621,11969,12466,11969,12466,656
20050622,12261,12495,12115,12495,3263
20050623,12261,12729,12232,12729,2254
20050624,12583,12729,11765,12729,4661
20050627,12729,12729,12670,12699,2297
20050628,12437,12699,12437,12699,1473
20050629,12758,12758,12261,12261,5774
20050630,12437,12729,12086,12729,3905
20050701,12670,12933,12466,12933,3608
20050704,12933,12933,11969,12787,7447
20050705,12758,13225,12758,12991,6479
20050706,12904,13166,12904,13166,2811
20050707,13225,13225,13137,13137,1087
20050708,13225,13283,12904,13283,2582
20050711,13137,13312,13137,13312,2942
20050712,13342,13342,12845,12904,9593
20050713,13254,13371,12962,13312,3896
20050714,13371,13371,12904,13079,101901
20050715,13137,13254,13079,13254,11080
20050718,13488,13663,12962,13283,507255
20050719,13663,14247,13079,13867,63085
20050720,13663,13663,13312,13429,10160
20050721,13254,13896,13020,13137,12242
20050722,12583,13488,12583,13371,9018
20050725,13079,13517,13079,13400,4759
20050726,13488,13546,13254,13371,7471
20050727,13546,13546,13254,13371,12507
