날짜,시가,고가,저가,종가,거래량
20050128,1462,1462,1434,1462,9459
20050131,1466,1466,1438,1466,12049
20050201,1466,1519,1442,1458,86051
20050202,1458,1470,1446,1454,2832
20050203,1450,1466,1450,1454,5420
20050204,1434,1454,1417,1454,19121
20050207,1454,1490,1446,1490,26226
20050211,1490,1498,1470,1494,18271
20050214,1490,1673,1490,1673,139243
20050215,1790,1790,1579,1628,66775
20050216,1628,1677,1563,1677,36071
20050217,1677,1717,1620,1677,19752
20050218,1624,1875,1620,1794,95699
20050221,1863,1903,1774,1871,27495
20050222,1831,1859,1652,1669,34076
20050223,1677,1709,1592,1644,31799
20050224,1644,1660,1604,1624,28942
20050225,1624,1733,1624,1632,23332
20050228,1660,1733,1636,1652,10593
20050302,1729,1729,1644,1644,11933
20050303,1660,1839,1644,1705,61662
20050304,1705,1827,1705,1782,18989
20050307,1843,1863,1786,1863,44624
20050308,1903,1993,1721,1814,38053
20050309,1814,1839,1717,1839,4732
20050310,1903,1903,1733,1810,8255
20050311,1827,1835,1770,1822,12644
20050314,1831,1835,1778,1822,12340
20050315,1843,1843,1782,1782,8691
20050316,1818,1818,1737,1790,7320
20050317,1750,1806,1741,1762,15253
20050318,1754,1778,1677,1689,8781
20050321,1701,1701,1547,1656,9039
20050322,1604,1673,1604,1620,9248
20050323,1677,1677,1579,1620,10172
20050324,1624,1701,1624,1628,8942
20050325,1632,1814,1632,1782,31357
20050328,1855,1928,1806,1810,15194
20050329,1782,1839,1741,1778,15697
20050330,1705,1778,1677,1741,16231
20050331,1741,1831,1741,1782,1036
20050401,1782,1798,1745,1786,5721
20050404,1814,2053,1814,1895,46247
20050406,1960,1960,1855,1936,26706
20050407,1936,1968,1863,1968,35078
20050408,1903,2025,1903,2025,24847
20050411,2025,2025,1944,2009,25250
20050412,1972,2029,1940,2025,56983
20050413,2049,2049,1984,1984,29582
20050414,1948,2021,1948,1997,30552
20050415,1956,2053,1956,2021,56625
20050418,2025,2053,1964,1972,62799
20050419,2033,2033,1984,2021,3760
20050420,2009,2057,2009,2041,12554
20050421,2041,2345,2041,2345,172633
20050422,2345,2390,2147,2268,123911
20050425,2268,2511,2179,2187,158185
20050426,2187,2252,2098,2106,33621
20050427,2074,2390,2037,2349,78224
20050428,2309,2349,2171,2171,17289
20050429,2138,2260,2082,2110,20232
20050502,2086,2219,2086,2147,19667
20050503,2155,2467,2155,2244,73715
20050504,2333,2511,2244,2511,125113
20050506,2511,2827,2365,2422,239353
20050509,2422,2552,2333,2406,46037
20050510,2454,2487,2268,2406,72704
20050511,2430,2766,2430,2475,284062
20050512,2434,2552,2430,2495,45431
20050513,2511,2803,2430,2754,134364
20050516,2754,3167,2689,2912,198396
20050517,2945,3135,2912,2985,87815
20050518,2924,3119,2843,2981,67011
20050519,2997,3119,2791,2835,115501
20050520,2932,3115,2681,3078,154214
20050523,3062,3305,2997,3265,189098
20050524,3265,3277,3147,3212,106321
20050525,3212,3305,3086,3086,71548
20050526,3038,3184,2997,3184,52875
20050527,3200,3240,3066,3135,31480
20050530,3135,3236,2997,3135,61490
20050531,3135,3175,3026,3066,37662
20050601,2997,3058,2884,2904,66243
20050602,2941,3005,2730,2916,160728
20050603,2916,3240,2916,3200,110471
20050607,3265,3265,3042,3143,38506
20050608,3013,3184,2989,3038,47827
20050609,3038,3171,2997,3066,28718
20050610,3143,3143,2936,2949,35732
20050613,2855,3119,2835,3074,59065
20050614,3119,3159,2953,3119,35851
20050615,3078,3196,3030,3030,28242
20050616,2997,3099,2981,3074,28855
20050617,2941,3103,2916,3070,71475
20050620,3062,3321,2961,2969,16726
20050621,2957,2969,2868,2868,15939
20050622,2754,2904,2746,2835,11572
20050623,2835,2908,2552,2552,15994
20050624,2608,2689,2568,2661,19041
20050627,2665,2795,2665,2665,11144
20050628,2787,2868,2673,2766,25726
20050629,2860,2860,2673,2673,5799
20050630,2673,2778,2637,2681,12843
20050701,2774,2774,2568,2681,8694
20050704,2633,2710,2620,2653,10100
20050705,2608,2657,2511,2511,28974
20050706,2511,2616,2511,2544,18788
20050707,2544,2592,2406,2507,29957
20050708,2568,2592,2381,2560,28890
20050711,2706,2714,2568,2702,26680
20050712,2714,2815,2653,2787,25008
20050713,2754,2791,2730,2754,20036
20050714,2795,2803,2689,2722,21290
20050715,2681,2860,2641,2641,23113
20050718,2588,2669,2390,2418,46173
20050719,2414,2442,2264,2333,49765
20050720,2349,2386,2276,2325,28790
20050721,2309,2373,2244,2252,35164
20050722,2191,2337,2155,2203,33304
20050725,2203,2292,2163,2203,17087
20050726,2187,2341,2187,2268,18876
20050727,2325,2325,2228,2268,25208
20050728,2268,2381,2195,2244,36528
20050729,2215,2268,2203,2252,22263
20050801,2268,2300,2175,2187,40452
20050802,2223,2244,2187,2203,17397
20050803,2187,2223,2179,2195,12536
20050804,2175,2179,2025,2122,15954
20050805,2025,2106,2009,2025,12118
20050808,2163,2163,1960,1976,5986
20050809,2013,2130,2013,2106,7238
20050810,2082,2130,2082,2122,11063
20050811,2268,2337,2090,2090,22376
20050812,2049,2183,2045,2094,26812
20050816,2094,2134,2025,2025,10010
20050817,2045,2045,1997,2033,14809
20050818,1989,2049,1989,2013,14817
20050819,1984,2061,1984,2061,12546
20050822,2369,2369,2187,2369,59869
20050823,2369,2633,2349,2471,72154
20050824,2471,2475,2236,2369,8647
20050825,2369,2369,2369,2369,0
20050826,2017,2171,2017,2033,130502
20050829,1984,2175,1762,2025,31157
20050830,1916,2057,1916,2033,17786
20050831,1964,2138,1964,2033,46310
20050901,2017,2122,1729,2041,49802
20050902,2138,2138,2025,2066,11040
20050905,2066,2373,2025,2373,145862
20050906,2394,2629,2373,2418,61138
20050907,2430,2552,2365,2414,28560
20050908,2430,2495,2373,2483,20834
20050909,2487,2673,2442,2592,94159
20050912,2673,2791,2576,2783,66434
20050913,2693,2807,2649,2730,32584
20050914,2673,2795,2633,2722,37394
20050915,2697,2754,2596,2706,36497
20050916,2754,2758,2641,2706,29187
20050920,2653,2876,2653,2754,41489
20050921,2754,3119,2714,3119,110653
20050922,3135,3159,2876,3119,58034
20050923,3005,3180,3005,3111,128384
20050926,3119,3155,3086,3094,48866
20050927,3090,3090,2714,2997,104235
20050928,2932,2997,2758,2758,69444
20050929,2795,2795,2657,2685,39948
20050930,2633,2908,2633,2746,8238
20051004,2673,2835,2669,2803,69298
20051005,2746,2908,2681,2819,18374
20051006,2791,2945,2791,2876,19317
20051007,2884,3151,2884,3005,45084
20051010,3078,3078,2892,3062,26430
20051011,3192,3192,2969,2969,10857
20051012,2957,2965,2864,2904,13190
20051013,2831,2949,2714,2868,19075
20051014,2924,2924,2641,2770,32994
20051017,2714,2860,2714,2754,24397
20051018,2689,3167,2689,3167,228430
20051019,3621,3621,3013,3281,334804
20051020,3240,3240,2989,3111,100344
20051021,3054,3216,2770,2981,123608
20051024,2932,3030,2843,2876,57539
20051025,2884,2989,2762,2774,72072
20051026,2847,2957,2762,2957,49801
20051027,2969,3078,2835,2868,54020
20051028,2843,2892,2762,2835,24474
20051031,2839,2989,2811,2855,10984
20051101,2860,2916,2787,2811,23601
20051102,2811,3232,2811,3232,92861
20051103,3556,3710,3281,3378,265706
20051104,3439,3439,3001,3159,139059
20051107,3127,3216,3042,3119,80792
20051108,3082,3175,3038,3143,55251
20051109,3188,3613,3103,3447,307767
20051110,3410,3483,3208,3289,122348
20051111,3305,3390,3082,3139,73238
20051114,3094,3224,3086,3171,50812
20051115,3175,3467,3159,3467,121875
20051116,3483,3483,3321,3402,70700
20051117,3402,3913,3321,3564,285201
20051118,3686,3710,3431,3540,73449
20051121,3564,3783,3443,3686,154619
20051122,3759,4237,3751,4237,932584
20051123,4456,4642,4051,4310,497921
20051124,4375,4504,4140,4504,292898
20051125,4601,5007,4310,4456,360440
20051128,4302,4666,4221,4593,303481
20051129,4593,4731,4383,4512,233021
20051130,4334,4488,4140,4326,164887
20051201,4350,4431,4180,4318,110993
20051202,4318,4399,4148,4213,100934
20051205,4140,4585,4107,4480,229987
20051206,4496,4666,4399,4626,337775
20051207,4666,5136,4294,4537,316300
20051208,4464,4909,4447,4909,259761
20051209,4772,5638,4755,5638,702160
20051212,5638,6019,5306,5598,755631
20051213,5752,5752,5039,5241,466456
20051214,5112,5460,5112,5217,247743
20051215,5144,5258,4869,5104,219171
20051216,4885,5015,4472,4650,160827
20051219,4626,4844,4375,4828,222722
20051220,4869,5250,4731,4869,290169
20051221,4861,5055,4699,4861,187936
20051222,4869,5071,4545,4836,156009
20051223,4836,4861,4529,4763,142294
20051226,4691,4820,4585,4780,105913
20051227,4682,4707,4537,4545,100904
20051228,4383,5007,4358,4755,398228
20051229,4707,4877,4553,4666,106794
20060102,4796,5007,4634,4634,222291
20060103,4634,4642,4366,4431,192957
20060104,4431,4601,4310,4399,142816
20060105,4399,4439,4294,4366,58218
20060106,4302,4529,4156,4496,86924
20060109,4456,4537,4294,4423,45914
20060110,4294,4496,4253,4399,61711
20060111,4342,4942,4342,4699,335468
20060112,5023,5404,5023,5404,476639
20060113,5387,5590,5007,5266,349021
20060116,5266,5622,4958,4958,766193
20060117,5007,5007,4480,4577,281206
20060118,4634,4780,4140,4464,240318
20060119,4342,4682,4294,4464,114030
20060120,4399,4853,4302,4350,351040
20060123,4569,4569,3702,3755,189506
20060124,3645,3986,3483,3718,81207
20060125,3726,3969,3718,3888,170266
20060126,3791,4038,3791,3953,88171
20060127,3965,4115,3925,4083,84583
20060131,4099,4691,4099,4691,259765
20060201,4699,4998,4318,4618,775812
20060202,4788,4917,4188,4334,233405
20060203,4213,4213,3848,3965,125460
20060206,3714,3876,3678,3678,159637
20060207,3645,3836,3564,3581,100367
20060208,3589,3714,3536,3597,95290
20060209,3621,3702,3419,3431,66555
20060210,3325,3552,3325,3443,57554
20060213,3398,3520,3398,3410,50948
20060214,3329,3880,3329,3564,328047
20060215,3508,3605,3240,3240,75381
20060216,3180,3240,2953,3094,115983
20060217,3046,3228,3046,3103,58166
20060220,3070,3273,3062,3082,63717
20060221,3143,3175,3038,3159,65842
20060222,3208,3297,3119,3273,67801
20060223,3196,3269,3127,3159,30862
20060224,3155,3155,3009,3046,48807
20060227,3135,3358,3074,3248,93922
20060228,3248,3735,3171,3735,344205
20060302,3791,3888,3487,3564,465945
20060303,3718,4099,3718,4099,743449
20060306,4707,4707,4707,4707,69621
20060307,5023,5412,4982,5412,1653194
20060308,5517,5711,4601,4707,2374755
20060309,4707,5412,4018,4204,4196024
20060310,4285,4488,4188,4253,899248
20060313,4253,4885,4091,4885,1506041
20060314,4893,5468,4464,4699,3889313
20060315,4626,4755,4221,4229,1106552
20060316,4172,4294,3811,3848,493958
20060317,3743,3953,3702,3807,543505
20060320,3739,3860,3670,3726,341266
20060321,3735,4196,3686,3840,678859
20060322,3807,3957,3686,3694,369764
20060323,3730,4245,3730,4245,902310
20060324,4294,4472,3925,3969,1104724
20060327,3917,4180,3864,4051,660175
20060328,4059,4059,3690,3698,269347
20060329,3710,3905,3564,3645,330137
20060330,3698,3803,3617,3654,154914
20060331,3726,3888,3686,3759,242210
20060403,3775,4172,3775,4051,257886
20060404,4132,4213,3897,4099,168873
20060405,4067,4067,3905,3905,110101
20060406,3893,3994,3791,3856,134288
