날짜,시가,고가,저가,종가,거래량
20130724,4000,4600,3950,4600,26681764
20130725,5020,5290,4865,5290,16914648
20130726,5150,5200,4760,4800,12302637
20130729,4965,5130,4765,4805,6930238
20130730,4800,4985,4650,4880,7257669
20130731,4880,4920,4660,4700,3978764
20130801,4800,5400,4785,5400,12027491
20130802,5680,5940,5260,5350,12415875
20130805,5350,5690,5320,5540,6138581
20130806,5600,5660,5460,5560,3682048
20130807,5700,5890,5430,5440,5080479
20130808,5410,5490,5090,5180,4509094
20130809,5240,5360,5030,5090,2880508
20130812,5090,5130,4910,5020,2164353
20130813,5000,5150,4830,5120,3387798
20130814,5120,5250,4950,4950,2131674
20130816,4875,4995,4825,4865,1111176
20130819,4900,5010,4830,4960,1257388
20130820,4990,5050,4660,4660,1454470
20130821,4675,4760,4395,4550,1612537
20130822,4490,4600,4365,4470,1017715
20130823,4510,5040,4480,4845,2675557
20130826,4845,5050,4805,4885,952850
20130827,4890,5330,4890,5060,7763982
20130828,4980,5220,4930,5160,1500664
20130829,5220,5290,5090,5120,962261
20130830,5100,5210,4950,4950,650934
20130902,5000,5030,4805,4990,795918
20130903,5060,5070,4915,4950,1012092
20130904,4950,4995,4885,4930,417407
20130905,4920,5050,4845,5040,619239
20130906,5130,5200,5050,5120,1612555
20130909,5140,5160,4970,4980,598898
20130910,5030,5070,4865,4970,988964
20130911,4990,5170,4935,5170,890404
20130912,5240,5400,5110,5200,1640581
20130913,5280,5360,5100,5140,1392297
20130916,5120,5190,5050,5160,646926
20130917,5230,5320,5170,5300,1276091
20130923,5290,5320,5150,5240,997798
20130924,5230,5370,5180,5290,731901
20130925,5290,5350,5190,5190,623113
20130926,5190,5230,5070,5100,646399
20130927,5160,5160,5000,5000,613932
20130930,5000,5050,4935,4955,422218
20131001,4950,4995,4735,4835,677622
20131002,4855,5030,4855,4980,407321
20131004,4930,4950,4860,4870,273332
20131007,4830,4935,4830,4845,229017
20131008,4760,4870,4760,4845,290212
20131010,4850,4975,4850,4900,219129
20131011,4910,4980,4855,4855,246384
20131014,4840,4900,4750,4870,514341
20131015,4895,5040,4810,5020,523457
20131016,5050,5100,4850,4875,437522
20131017,4870,4930,4785,4860,437193
20131018,4905,4980,4855,4955,191307
20131021,4935,4995,4865,4900,329285
20131022,4920,5000,4835,4980,375127
20131023,5050,5160,4975,4980,604668
20131024,5050,5090,4985,5050,433357
20131025,5080,5080,4925,4970,248120
20131028,4950,4950,4850,4880,244201
20131029,4870,4970,4855,4905,222015
20131030,4910,5020,4865,4970,353028
20131031,4990,5010,4865,4870,267486
20131101,4915,5140,4880,5070,721463
20131104,5100,5100,4975,5030,252855
20131105,5030,5070,4890,4900,375702
20131106,4860,4975,4860,4955,185736
20131107,4960,5010,4915,4960,206804
20131108,4960,5130,4950,4955,559666
20131111,4960,5010,4815,4850,306821
20131112,4815,4935,4815,4900,257308
20131113,4900,4960,4810,4890,201037
20131114,4850,4975,4835,4910,330930
20131115,4940,4990,4875,4885,165223
20131118,4920,4970,4855,4880,152280
20131119,4900,4920,4750,4780,318218
20131120,4760,4920,4745,4800,261030
20131121,4830,4830,4750,4750,179083
20131122,4750,4780,4550,4725,530752
20131125,4750,4790,4630,4745,241493
20131126,4755,4785,4680,4700,182202
20131127,4655,4795,4655,4755,228675
20131128,4755,4790,4600,4650,358972
20131129,4745,4835,4665,4710,374977
20131202,4710,4780,4685,4740,323992
20131203,4735,4765,4590,4685,393471
20131204,4695,4700,4545,4545,187580
20131205,4545,4760,4545,4620,213046
20131206,4620,4725,4620,4660,72092
20131209,4645,4705,4570,4575,167710
20131210,4630,4630,4390,4450,244067
20131211,4470,4475,4375,4450,193350
20131212,4390,4550,4390,4500,97904
20131213,4550,4550,4400,4500,179994
20131216,4535,4550,4450,4455,65431
20131217,4495,4560,4425,4560,153604
20131218,4525,4595,4500,4575,131519
20131219,4600,4600,4525,4585,96241
20131220,4605,4710,4565,4630,174703
20131223,4610,4650,4585,4650,97578
20131224,4655,4690,4625,4645,109270
20131226,4630,4665,4615,4620,73459
20131227,4600,4645,4570,4625,69190
20131230,4625,4650,4560,4580,86191
20140102,4615,4615,4520,4560,107661
20140103,4535,4590,4515,4545,101775
20140106,4600,4735,4560,4735,167985
20140107,4735,4775,4670,4745,254441
20140108,4780,4910,4765,4890,521067
20140109,4890,4980,4830,4935,257840
20140110,4930,4930,4840,4920,270268
20140113,4920,4970,4885,4910,187123
20140114,4890,4970,4820,4940,403419
20140115,4970,5060,4915,4925,380137
20140116,4930,4955,4865,4880,241546
20140117,4845,4890,4800,4810,206032
20140120,4790,4965,4780,4855,308641
20140121,4850,4870,4800,4820,149796
20140122,4820,4850,4765,4800,246649
20140123,4840,4940,4815,4900,315877
20140124,4915,4980,4845,4900,202570
20140127,4850,4850,4750,4775,202380
20140128,4725,4800,4695,4730,161131
20140129,4735,4875,4735,4820,139184
20140203,4850,4905,4785,4845,108413
20140204,4780,4815,4710,4780,149794
20140205,4795,4795,4700,4745,137435
20140206,4720,4780,4680,4740,178641
20140207,4760,4760,4695,4705,105513
20140210,4705,4970,4620,4970,469375
20140211,4930,4980,4855,4895,511692
20140212,4935,4940,4850,4875,247296
20140213,4900,4930,4800,4890,181704
20140214,4925,5040,4740,4750,561203
20140217,4720,4840,4715,4750,281880
20140218,4795,4795,4700,4715,174860
20140219,4750,4885,4710,4790,323876
