날짜,시가,고가,저가,종가,거래량
20050128,5604,5926,5430,5926,1932295
20050131,5926,6568,5342,5663,1228918
20050201,5867,6159,5692,6072,713402
20050202,6013,6422,5786,5803,773105
20050203,5727,5867,5441,5564,374370
20050204,5575,6072,5546,5727,1004901
20050207,5867,6393,5832,6393,626750
20050211,6597,7153,6422,7153,1426147
20050214,7999,7999,7999,7999,112967
20050215,8933,8933,8933,8933,48032
20050216,9984,9984,9984,9984,1224545
20050217,10509,11181,10014,11181,2132846
20050218,10861,11590,9867,10977,840846
20050221,10977,11386,10452,10918,710145
20050222,11035,12204,10626,12204,945544
20050223,11678,11911,10743,11152,951608
20050224,12378,12466,12291,12466,138224
20050225,13954,13954,11211,12787,2226636
20050228,13138,13138,11561,12174,791209
20050302,11795,12378,11211,11678,584492
20050303,11414,11911,10276,10276,809564
20050304,9984,10626,9750,10509,779044
20050307,10802,10861,9605,9926,561340
20050308,9984,10509,8759,8759,1048126
20050309,8466,8553,7706,8291,1357219
20050310,8291,8759,8028,8583,991626
20050311,8466,9605,7882,9605,2171388
20050314,9342,9663,8759,9050,1448901
20050315,9196,9312,8466,8466,725085
20050316,8291,9371,7853,8875,1641662
20050317,8524,9225,8028,8057,874948
20050318,8057,8407,7619,8057,609924
20050321,8057,8583,7999,8495,771621
20050322,8583,9487,8350,8612,1581639
20050323,8759,8903,8350,8437,469403
20050324,8787,9138,8291,8729,972748
20050325,8846,8933,7706,7824,789567
20050328,7590,7853,6656,6656,815793
20050329,6538,6744,5815,6276,782864
20050330,6305,6714,6188,6481,708791
20050331,6597,6772,5675,5774,764255
20050401,6072,6626,6013,6626,1356954
20050404,6918,7006,6451,6947,1516087
20050406,6947,7123,6626,7006,1009939
20050407,7181,7181,6772,6889,595963
20050408,7006,7006,6509,6714,584914
20050411,6626,6947,6451,6538,529445
20050412,6626,7269,6626,6831,1511359
20050413,6860,7006,6538,6656,440792
20050414,6626,6889,6509,6831,452939
20050415,6860,7269,6772,7123,1167272
20050418,7094,7678,6744,7006,1418730
20050419,7327,7590,7065,7590,981473
20050420,7648,8407,7473,7532,2011858
20050421,7240,7385,7035,7327,621607
20050422,7678,7678,6977,6977,528759
20050425,6744,7065,6656,6831,429063
20050426,7006,7210,6656,6656,530612
20050427,6538,6714,6422,6568,342862
20050428,6714,6744,6013,6042,596887
20050429,5839,5955,5260,5365,734545
20050502,5511,5546,5266,5330,441745
20050503,5330,6101,5330,5803,1063214
20050504,5727,5955,5675,5675,528332
20050506,5634,5652,5190,5313,711233
20050509,5307,5401,5231,5401,368646
20050510,5476,5652,5313,5313,452643
20050511,5195,5313,4548,4612,757744
20050512,4612,4752,4489,4612,399986
20050513,4612,4892,4471,4787,566757
20050516,4793,5179,4722,5015,721477
20050517,5108,5482,5079,5079,751862
20050518,5207,5313,4968,5091,336736
20050519,5195,5225,5062,5079,378757
