날짜,시가,고가,저가,종가,거래량
20050128,2805,2900,2700,2700,457878
20050131,2685,2800,2685,2725,277779
20050201,2725,2795,2670,2740,285215
20050202,2760,2960,2725,2900,573531
20050203,2860,2930,2800,2895,239587
20050204,2890,2980,2820,2835,272143
20050207,2840,2880,2795,2795,206518
20050211,2785,2800,2665,2720,279762
20050214,2790,3045,2790,3000,1509691
20050215,3000,3035,2830,2995,489445
20050216,2980,3165,2895,3110,427825
20050217,3120,3330,3050,3290,769367
20050218,3225,3385,3170,3280,997787
20050221,3255,3300,2955,2960,473944
20050222,2960,2960,2640,2705,454345
20050223,2530,3000,2530,2650,588046
20050224,2755,2965,2630,2645,1937357
20050225,2610,2695,2500,2540,420790
20050228,2535,2605,2500,2525,233127
20050302,2440,2540,2440,2510,306133
20050303,2480,2585,2480,2540,168400
20050304,2520,2770,2510,2700,332782
20050307,2695,2800,2500,2610,341233
20050308,2600,2630,2535,2555,156213
20050309,2460,2600,2460,2540,124615
20050310,2500,2590,2460,2460,157056
20050311,2450,2525,2430,2450,97632
20050314,2450,2545,2450,2455,133413
20050315,2550,2550,2390,2460,130477
20050316,2410,2540,2410,2540,150672
20050317,2460,2545,2450,2450,120871
20050318,2380,2465,2360,2365,93157
20050321,2300,2400,2275,2275,95308
20050322,2230,2275,2210,2220,88279
20050323,2285,2300,2190,2200,77365
20050324,2205,2290,1940,2050,217741
20050325,2000,2150,2000,2120,125754
20050328,2190,2340,2140,2255,50285
20050329,2300,2300,2200,2220,50291
20050330,2200,2280,2190,2195,66890
20050331,2210,2260,2170,2180,59625
20050401,2150,2240,2150,2200,40121
20050404,2230,2410,2225,2225,77335
20050406,2235,2320,2235,2255,37663
20050407,2255,2385,2255,2320,35880
20050408,2385,2385,2315,2330,23279
20050411,2330,2340,2255,2300,62357
20050412,2240,2300,2240,2275,75059
20050413,2265,2320,2265,2300,51644
20050414,2350,2350,2290,2290,44952
20050415,2230,2320,2230,2300,63883
20050418,2260,2490,2125,2270,183253
20050419,2310,2350,2250,2255,57575
20050420,2230,2300,2230,2270,66560
20050421,2240,2280,2240,2255,44529
20050422,2265,2330,2265,2310,58530
20050425,2335,2380,2320,2330,58399
20050426,2330,2355,2310,2310,67432
20050427,2310,2345,2280,2335,74698
20050428,2355,2530,2350,2450,207660
20050429,2485,2485,2390,2420,65853
20050502,2510,2600,2445,2500,224293
20050503,2550,2670,2360,2385,359053
20050504,2420,2465,2280,2315,115363
20050506,2315,2340,2290,2315,72445
20050509,2275,2315,2240,2260,50021
20050510,2300,2320,2255,2270,32649
20050511,2255,2285,2200,2240,95051
20050512,2270,2320,2250,2265,46670
20050513,2325,2325,2180,2290,40906
20050516,2250,2375,2250,2280,59017
20050517,2280,2375,2280,2320,30264
20050518,2350,2665,2350,2665,431779
20050519,2800,2850,2475,2535,1314027
20050520,2555,2750,2500,2680,539993
20050523,2705,2750,2470,2470,278817
20050524,2435,2490,2415,2415,263896
