날짜,시가,고가,저가,종가,거래량
20050128,9761,9962,9741,9881,46140
20050131,9661,9781,9440,9500,177187
20050201,9420,9440,8899,8959,298410
20050202,9100,9140,8678,8678,129176
20050203,8618,8718,8418,8418,108018
20050204,8418,8718,8418,8618,86825
20050207,8698,8899,8658,8819,78997
20050211,8819,8919,8678,8859,51733
20050214,8939,9020,8819,9000,91101
20050215,9020,9040,8698,8698,153348
20050216,8778,8919,8738,8859,91867
20050217,8839,8859,8738,8758,59456
20050218,8698,8899,8558,8698,78436
20050221,8839,9020,8798,9020,127626
20050222,9020,9040,8778,8778,81691
20050223,8658,8698,8518,8538,71916
20050224,8578,8738,8558,8658,52958
20050225,8658,8839,8638,8658,84050
20050228,8758,8778,8518,8658,77117
20050302,8738,9300,8738,9020,231148
20050303,9000,9140,8839,9020,158438
20050304,9020,9020,8899,8899,98427
20050307,9020,9100,8538,8578,105915
20050308,8598,8698,8338,8378,76828
20050309,8358,8418,8038,8158,103855
20050310,8017,8258,8017,8218,45755
20050311,8138,8298,8098,8258,61112
20050314,8238,8458,8238,8358,34491
20050315,8358,8418,8098,8218,145107
20050316,8178,8198,7556,8058,200453
20050317,7937,8578,7816,8458,246740
20050318,8458,8638,8198,8578,157063
20050321,8418,8538,8338,8438,61364
20050322,8158,8318,8098,8158,95427
20050323,8017,8098,7997,8017,37260
20050324,8017,8158,7696,7816,64353
20050325,7716,8238,7716,8178,84846
20050328,8378,8899,8258,8598,264139
20050329,8638,8698,8358,8678,177655
20050330,8738,9020,8578,8859,216635
20050331,8980,9040,8839,9000,142043
20050401,9000,9060,8778,9000,81067
20050404,9000,9100,8879,9060,85008
20050406,8980,9100,8839,9080,52639
20050407,9080,9160,9020,9020,21141
20050408,9020,9060,8899,9020,37536
20050411,9020,9060,8939,9040,17038
20050412,8959,9160,8959,9060,27953
20050413,9060,9100,9020,9040,11882
20050414,8980,9000,8859,8939,32354
20050415,8798,8939,8558,8658,59798
20050418,8238,8638,8238,8298,27276
20050419,8258,8538,8258,8378,14833
20050420,8378,8578,8378,8418,13166
20050421,8238,8358,8238,8338,27098
20050422,8438,8478,8298,8298,11305
20050425,8238,8258,8038,8038,33742
20050426,8017,8138,7997,8138,21215
20050427,8017,8098,7977,8017,16225
20050428,8017,8078,7897,8038,18821
20050429,7937,7957,7877,7897,43829
20050502,7897,7897,7616,7616,13113
20050503,7616,7796,7616,7776,13154
20050504,7656,7776,7556,7616,35134
20050506,7616,7616,7356,7416,69884
20050509,7396,7656,7396,7616,42355
20050510,7616,7696,7456,7656,15171
20050511,7536,7716,7516,7556,21424
20050512,7516,7857,7516,7816,24834
20050513,7816,7897,7676,7857,21112
20050516,7937,8098,7796,8098,26863
20050517,8198,8198,7977,8098,19348
20050518,8017,8118,8017,8058,7016
20050519,8098,8158,8017,8118,20215
20050520,8178,8178,8058,8078,9744
20050523,8017,8118,8017,8058,6422
20050524,8058,8118,7977,8118,7450
20050525,8078,8318,8078,8118,24122
20050526,8017,8258,8017,8178,8574
20050527,8298,8298,8118,8178,14958
20050530,8178,8278,8178,8218,10891
20050531,8218,8338,8138,8338,11012
20050601,8338,8478,8258,8338,15385
20050602,8338,8478,8178,8178,20315
20050603,8138,8238,8058,8238,19922
20050607,8098,8118,7957,7957,45570
20050608,7977,8058,7897,7977,14527
20050609,7977,8078,7816,8078,30774
20050610,8158,8158,8038,8138,17864
20050613,8038,8138,8038,8078,19648
20050614,8078,8138,8017,8058,23662
20050615,8058,8118,7977,8118,13848
20050616,8058,8318,8058,8258,16967
20050617,8258,8678,8198,8678,74050
20050620,8778,8778,8498,8698,25089
20050621,8558,8698,8458,8458,26570
20050622,8358,8578,8358,8438,14315
20050623,8438,8558,8338,8338,19634
20050624,8218,8278,7937,8017,27831
20050627,7836,7897,7736,7756,24039
20050628,7776,7796,7616,7756,37271
20050629,7796,7836,7716,7796,17630
20050630,7716,7957,7716,7957,15475
20050701,7937,7937,7796,7917,6745
20050704,7857,7977,7857,7957,8585
20050705,7917,7997,7796,7836,11618
20050706,7796,7917,7736,7736,17110
20050707,7676,7756,7576,7636,30761
20050708,7596,7736,7576,7616,18240
20050711,7656,7836,7656,7716,18080
20050712,7776,7857,7576,7576,24030
20050713,7596,7596,7416,7436,39649
20050714,7456,7816,7456,7816,37939
20050715,7756,7836,7656,7656,25822
20050718,7616,7716,7556,7636,15368
20050719,7596,7736,7596,7616,9530
20050720,7636,7816,7636,7756,31022
20050721,7796,7857,7596,7596,31882
20050722,7496,7656,7436,7456,30229
20050725,7436,7576,7436,7436,17984
20050726,7436,7496,7035,7195,72279
20050727,7195,7276,7095,7175,42357
20050728,7276,7396,7236,7316,45307
