날짜,시가,고가,저가,종가,거래량
20080918,2800,3220,2790,3220,1570779
20080919,3540,3700,3300,3700,3919633
20080922,3790,4020,3475,3475,4019115
20080923,3520,3650,3010,3115,1776778
20080924,3170,3580,3135,3580,1863294
20080925,3875,4080,3380,3535,6548183
20080926,3640,3790,3320,3320,2451521
20080929,3445,3790,3340,3555,4063137
20080930,3110,3430,3105,3295,1357642
20081001,3440,3460,3050,3070,860902
20081002,3095,3185,2700,2800,777354
20081006,2735,2795,2380,2380,730021
20081007,2300,2330,2060,2260,553709
20081008,2150,2205,1925,1925,387518
20081009,1710,1900,1645,1665,1484026
20081010,1530,1560,1420,1425,826188
20081013,1510,1635,1470,1635,258534
20081014,1880,1880,1880,1880,102535
20081015,2160,2160,1945,2160,2296936
20081016,2050,2315,1840,1840,3048715
20081017,2030,2115,1710,2115,2739188
20081020,1960,2040,1800,1800,1645693
20081021,1770,1915,1540,1780,708715
20081022,1880,2045,1765,2040,2090197
20081023,1910,1950,1735,1785,1212866
20081024,1830,1890,1530,1530,355581
20081027,1580,1650,1305,1305,188615
20081028,1200,1425,1110,1405,412220
20081029,1450,1550,1195,1195,625665
20081030,1310,1370,1255,1370,327999
20081031,1410,1575,1410,1575,453315
20081103,1600,1810,1600,1810,297119
20081104,1860,2000,1750,1810,364094
20081105,1890,1950,1600,1690,349051
20081106,1600,1605,1440,1450,196107
20081107,1350,1660,1320,1600,118147
20081110,1665,1830,1610,1790,206963
20081111,1740,2055,1665,1965,626302
20081112,1900,1965,1750,1830,444794
20081113,1710,1790,1620,1790,117397
20081114,2000,2000,1820,1840,209487
20081117,1790,1835,1695,1750,195879
20081118,1690,1760,1675,1675,49861
20081119,1680,1730,1540,1670,72548
20081120,1660,1660,1420,1420,61202
20081121,1225,1580,1225,1455,59978
20081124,1570,1570,1350,1475,53549
20081125,1560,1560,1405,1420,32643
20081126,1470,1470,1300,1415,65385
20081127,1415,1495,1385,1385,87477
20081128,1450,1450,1360,1385,51206
20081201,1445,1455,1380,1450,45549
20081202,1350,1385,1320,1370,40704
20081203,1480,1480,1290,1355,23565
20081204,1365,1410,1235,1355,35695
20081205,1355,1355,1240,1350,25196
20081208,1320,1420,1300,1375,49908
20081209,1440,1440,1335,1375,24392
20081210,1370,1545,1310,1470,61544
20081211,1480,1665,1415,1600,103747
20081212,1505,1640,1500,1545,34985
20081215,1590,1625,1460,1540,31294
20081216,1590,1590,1500,1525,33728
20081217,1590,1645,1460,1535,72941
20081218,1490,1765,1480,1765,206482
20081219,1765,1980,1760,1790,342303
20081222,1790,1870,1740,1830,53432
20081223,1885,1885,1575,1625,62208
20081224,1570,1675,1540,1600,36807
20081226,1690,1690,1540,1600,40030
20081229,1770,1770,1520,1530,12910
20081230,1530,1630,1500,1570,15693
20090102,1695,1805,1620,1680,119169
20090105,1740,1740,1630,1700,36366
20090106,1585,1720,1585,1660,18006
20090107,1680,1730,1590,1700,48456
20090108,1740,1770,1665,1765,54493
20090109,1720,1800,1665,1790,17272
20090112,1720,1800,1690,1725,27428
20090113,1725,1790,1555,1790,15447
20090114,1810,1810,1720,1750,34814
20090115,1775,1775,1655,1660,8119
20090116,1610,1740,1610,1730,27874
20090119,1780,1780,1685,1710,14343
20090120,1730,1730,1620,1695,6749
20090121,1610,1700,1610,1695,20117
20090122,1935,1935,1695,1895,108795
20090123,1900,2175,1880,2175,400284
20090128,2190,2290,2050,2205,327257
20090129,2205,2250,2135,2240,122644
20090130,2120,2240,2045,2205,112358
20090202,2205,2240,2130,2200,83740
20090203,2200,2530,2170,2495,176731
20090204,2530,2545,2350,2450,135877
20090205,2500,2500,2250,2280,79456
20090206,2290,2605,2285,2560,249152
20090209,2560,2790,2500,2650,142411
20090210,2650,2780,2570,2640,99895
20090211,2550,2700,2550,2690,46969
20090212,2655,2935,2605,2930,145401
20090213,2920,3100,2660,2705,519364
20090216,2705,2745,2450,2490,220685
20090217,2500,2550,2330,2330,162933
20090218,2295,2400,2100,2330,130700
20090219,2300,2300,2150,2275,93683
20090220,2180,2250,2000,2055,103169
20090223,2055,2260,2015,2215,93068
20090224,2100,2200,2100,2160,41132
20090225,2175,2440,1990,2230,290476
20090226,2250,2285,2045,2130,58420
20090227,2180,2180,2055,2125,29624
20090302,2100,2100,1920,2020,24146
20090303,1920,2075,1880,2040,13315
20090304,2040,2115,1950,2070,24482
20090305,2080,2180,2040,2075,28239
20090306,1995,2085,1995,2080,8443
20090309,2080,2120,2025,2080,12740
20090310,2035,2280,2035,2240,70982
20090311,2315,2365,2250,2310,39832
20090312,2270,2380,2220,2290,35249
20090313,2310,2320,2235,2310,28620
20090316,2495,2495,2350,2420,104362
20090317,2440,2455,2350,2440,38914
20090318,2440,2475,2350,2390,33455
20090319,2420,2450,2280,2360,42121
20090320,2315,2390,2270,2345,49926
20090323,2340,2460,2310,2425,69868
20090324,2685,2785,2600,2785,624739
20090325,2970,3200,2855,3200,735977
20090326,3300,3680,3215,3680,638346
20090327,3900,4090,3600,3735,460415
20090330,3605,3850,3600,3800,220648
20090331,3810,4275,3675,3930,338719
20090401,3930,4050,3835,3935,135609
20090402,3950,4300,3870,3870,289705
20090403,3900,4200,3710,4000,221778
20090406,4000,4150,3875,3970,197455
20090407,3950,4130,3900,4030,81932
20090408,4010,4630,3885,4205,271564
20090409,4205,4500,4205,4290,128512
20090410,4480,4480,4045,4270,125628
20090413,4300,4370,4130,4300,84710
20090414,4400,4495,4250,4295,110727
20090415,4380,4380,4060,4285,80873
20090416,4210,4475,4125,4210,120481
20090417,4210,4400,3595,4395,126192
20090420,4395,4600,4315,4600,91392
20090421,4590,5150,4590,4950,265975
20090422,4950,5070,4790,5000,241568
20090423,5000,5390,4995,5150,102196
20090424,5130,5170,4880,5160,181602
20090427,5270,5450,4800,5150,186863
20090428,5150,5150,4900,5020,106450
20090429,5050,5300,4900,5300,70830
20090430,5310,5350,5200,5290,53045
20090504,5300,5360,5170,5350,102048
20090506,5360,5490,5120,5350,121545
20090507,5480,5480,5050,5250,83558
20090508,5130,5290,5030,5200,61227
20090511,5280,5280,4960,4960,188871
20090512,4960,5000,4820,4955,84844
20090513,5050,5050,4650,4650,69019
20090514,4590,4600,4150,4595,75090
20090515,4620,4740,4420,4600,53759
20090518,4600,4690,4350,4460,23751
20090519,4460,4545,4330,4490,102352
20090520,4440,4645,4400,4570,62368
20090521,4695,4800,4490,4690,91532
20090522,4505,4680,4360,4590,40383
20090525,4410,4630,4100,4330,62475
20090526,4205,4325,3990,4200,62202
20090527,4450,4450,3980,4110,76562
20090528,3960,4110,3720,4110,57891
20090529,4200,4200,3900,3970,35846
20090601,4010,4195,3930,4140,72369
20090602,4210,4290,3900,4030,70163
20090603,4065,4080,3920,4040,14195
20090604,4000,4085,3865,3865,36358
20090605,3805,3900,3600,3720,68423
20090608,3760,3875,3700,3780,13745
20090609,3775,3860,3650,3810,44918
20090610,3810,3970,3700,3830,45107
20090611,3760,3925,3670,3670,11435
20090612,3795,3795,3625,3725,25079
20090615,3800,3800,3570,3650,21071
20090616,3760,3760,3595,3640,20036
20090617,3640,3735,3370,3700,19937
20090618,3700,3945,3515,3670,73990
20090619,3700,3700,3540,3645,17512
20090622,3750,3750,3555,3700,9650
20090623,3740,3740,3500,3600,21944
20090624,3750,3750,3515,3600,6621
20090625,3690,3975,3600,3940,32723
20090626,3940,4065,3850,4065,14526
20090629,4030,4065,3965,4055,14588
20090630,4055,4160,3905,4040,31972
20090701,3860,4155,3860,4060,8532
20090702,4130,4130,4035,4090,13841
20090703,4050,4150,4000,4075,22135
20090706,4075,4095,3965,4020,11881
20090707,4095,4095,3910,3975,6727
20090708,4090,4090,3805,3990,5054
20090709,4045,4100,3930,4050,12312
20090710,4095,4095,3915,4035,24663
20090713,4080,4080,3895,3895,13630
20090714,4030,4030,3805,3985,12315
20090715,3830,3940,3830,3940,7876
20090716,3985,3995,3850,3900,6002
20090717,3820,3935,3820,3900,9963
20090720,3890,3970,3870,3950,20933
20090721,3875,3950,3875,3900,6710
20090722,3825,3985,3775,3900,16652
20090723,3975,3975,3780,3880,2336
20090724,3965,3965,3770,3840,19016
20090727,3950,3950,3780,3800,10542
20090728,3945,3945,3535,3760,10450
20090729,3750,3750,3595,3650,16725
20090730,3640,3640,3490,3540,54904
20090731,3470,3590,3380,3490,53538
20090803,3630,3630,3380,3450,17960
20090804,3585,3585,3385,3535,14493
20090805,3585,3600,3430,3500,10207
20090806,3600,3640,3385,3545,10639
20090807,3555,3570,3405,3405,4992
20090810,3505,3600,3475,3475,12968
20090811,3650,3650,3310,3365,26392
20090812,3375,3595,3300,3595,26230
20090813,3595,3700,3535,3640,17136
20090814,3670,3670,3520,3595,4890
20090817,3685,3685,3415,3480,6629
20090818,3500,3500,3345,3430,26741
20090819,3430,3580,3210,3425,11311
20090820,3465,3550,3300,3315,23496
20090821,3500,3500,3000,3400,56750
20090824,3400,3535,3310,3430,13672
20090825,3550,3550,3170,3395,3564
20090826,3490,3490,3200,3235,17333
20090827,3350,3350,3130,3165,13501
20090828,3255,3395,3020,3340,143647
20090831,3500,3500,3325,3400,29028
20090901,3495,3495,3300,3405,28211
20090902,3450,3450,3200,3335,104906
20090903,3355,3370,3200,3335,80048
20090904,3400,3550,3350,3550,38581
20090907,3665,3850,3530,3780,58798
20090908,3855,3855,3705,3810,7659
20090909,3780,3810,3635,3810,21446
20090910,3900,3900,3680,3850,18507
20090911,3915,3925,3700,3840,17030
20090914,3895,3895,3700,3780,3300
20090915,3880,3880,3700,3820,11601
20090916,3870,3870,3535,3795,23002
20090917,3795,3815,3620,3815,32304
20090918,3820,3850,3645,3850,20857
20090921,3845,3850,3670,3800,22273
20090922,3780,3780,3675,3710,40939
20090923,3725,3725,3575,3575,5065
20090924,3565,3695,3305,3435,25367
20090925,3500,3500,3200,3465,31299
20090928,3535,3535,3270,3400,22139
20090929,3330,3400,3325,3390,4624
20090930,3440,3445,3280,3445,34614
20091001,3375,3490,3350,3425,2817
20091005,3490,3490,3290,3425,10856
20091006,3480,3480,3305,3395,17610
20091007,3395,3440,3310,3395,14076
20091008,3415,3415,3300,3390,8743
20091009,3385,3385,3310,3370,12971
20091012,3460,3460,3325,3400,5705
20091013,3400,3895,3335,3745,142618
20091014,3750,3945,3650,3945,79505
20091015,3940,4485,3815,4410,272458
20091016,4510,4790,4170,4425,181527
20091019,4470,4600,4100,4600,82311
