날짜,시가,고가,저가,종가,거래량
20110525,5699,5699,4846,4846,1540742
20110526,4566,4726,4199,4666,4155814
20110527,4732,4952,4506,4672,2609666
20110530,4792,5332,4732,5106,3255819
20110531,5112,5146,4832,4866,982904
20110601,4932,4932,4379,4432,1356210
20110602,4252,4546,4192,4286,655385
20110603,4346,4392,3846,3879,796162
20110607,3826,4179,3739,3772,571188
20110608,3826,3939,3732,3732,439321
20110609,3766,3932,3766,3819,404228
20110610,3879,3959,3719,3766,324246
20110613,3759,3799,3299,3466,455456
20110614,3472,3766,3359,3559,607602
20110615,3559,3566,3419,3419,187436
20110616,3352,3599,3333,3532,284295
20110617,3579,3666,3419,3506,279384
20110620,3586,3632,3466,3472,242093
20110621,3519,3586,3366,3566,248034
20110622,3699,4026,3686,3739,1205640
20110623,3732,3939,3632,3939,460364
20110624,4039,4179,3966,3966,457637
20110627,3919,3959,3706,3766,340404
20110628,3819,4239,3772,3992,510272
20110629,4039,4132,3932,4019,257680
20110630,4032,4152,3952,4086,216591
20110701,4139,4166,3886,3992,168878
20110704,4012,4079,3866,3952,172414
20110705,3966,4019,3872,3952,162332
20110706,4006,4419,3999,4266,860910
20110707,4266,4412,4219,4266,320192
20110708,4332,4332,4232,4312,126642
20110711,4332,4406,4266,4332,184590
20110712,4332,4419,4179,4179,315861
20110713,4186,4266,3552,4179,150853
20110714,4179,4532,4066,4506,473115
20110715,4599,4666,4446,4519,650392
20110718,4566,4659,4459,4532,249693
20110719,4632,4866,4626,4632,640183
20110720,4632,4766,4626,4759,297954
20110721,4799,4919,4746,4766,356063
20110722,4799,4799,4632,4766,205058
20110725,4812,4872,4732,4732,212527
20110726,4719,4992,4632,4839,425964
20110727,4866,5439,4852,5266,996282
20110728,5186,5306,5079,5192,503811
20110729,5166,5219,4999,5099,369031
20110801,5132,5346,4999,5106,551276
20110802,5059,5119,4799,5019,236138
20110803,4906,4952,4752,4912,274250
20110804,4932,4992,4532,4666,221833
20110805,4199,4526,4139,4399,286869
20110808,4319,4666,3746,4492,290243
20110809,4399,4559,3952,4492,288420
20110810,4606,5099,4606,4826,882868
20110811,4532,4866,4479,4826,314640
20110812,4966,5266,4839,5032,921100
20110816,5179,5212,5072,5072,388819
20110817,5072,5139,4912,5032,313117
20110818,5099,5512,5099,5372,2894786
20110819,5066,5319,4999,5099,613062
20110822,5119,5539,5119,5246,1115846
20110823,5266,5352,5112,5219,457850
20110824,5332,5352,5006,5032,328871
20110825,5099,5146,4832,4899,327071
20110826,4899,4966,4666,4812,219303
20110829,4919,4972,4806,4826,213383
20110830,4826,4859,4499,4519,440282
20110831,4572,4639,4446,4499,167388
20110901,4539,4712,4499,4599,241940
20110902,4752,4792,4606,4686,181897
20110905,4626,4639,4432,4466,156063
20110906,4299,4406,4112,4132,209080
20110907,4252,4259,4119,4159,185537
20110908,4199,4412,4166,4399,204128
20110909,4392,4606,4319,4539,152851
20110914,4486,4532,4146,4166,90200
20110915,4246,4412,4246,4379,111878
20110916,4512,4606,4466,4506,98177
20110919,4472,4559,4472,4519,63606
20110920,4639,4719,4532,4686,158982
20110921,4726,4726,4592,4639,103804
20110922,4432,5099,4399,5099,425393
20110923,4899,5246,4826,5152,857952
20110926,5339,5499,4572,4799,788959
20110927,4992,5239,4899,5186,509965
20110928,5199,5319,5026,5099,322527
20110929,4999,5139,4839,5092,291505
20110930,5066,5292,5066,5206,358206
20111004,5119,5126,4806,5026,365751
20111005,5152,5519,5146,5179,1601956
20111006,5366,5459,4466,4652,1282323
20111007,4732,4886,4672,4766,465732
20111010,4772,4866,4619,4799,383298
20111011,4899,4999,4672,4692,577829
20111012,4766,5199,4606,5039,854887
20111013,5186,5266,4972,5079,814427
20111014,5072,5139,4932,5119,338644
20111017,5172,5292,5079,5132,524668
20111018,4992,5119,4852,4999,408425
20111019,5046,5412,4966,5399,1373771
20111020,5612,6206,5552,6032,5091847
20111021,6099,6119,5699,5886,1495026
20111024,6012,6312,5866,6006,1662732
20111025,5972,6406,5899,6406,1369814
20111026,6332,6426,6119,6166,766958
20111027,6206,6266,5766,5819,1000217
20111028,5959,5999,5599,5999,731199
20111031,5932,5946,5666,5786,375305
20111101,5692,5979,5686,5946,303174
20111102,5786,6266,5699,6112,565456
20111103,6112,6139,5839,5866,340600
20111104,5972,6026,5806,5846,322853
20111107,5899,6072,5732,6066,375070
20111108,6072,6172,5826,5826,417835
20111109,5899,6286,5826,6226,703929
20111110,6039,6099,5846,5999,567104
20111111,6152,6419,6046,6099,1082731
20111114,6099,6332,5952,6312,697829
20111115,6346,6446,6146,6232,502566
20111116,6279,6346,5766,5859,732183
20111117,5852,5966,5719,5926,220482
20111118,5832,5912,5706,5712,239800
20111121,5652,5812,5512,5732,223785
20111122,5712,5792,5519,5612,359360
20111123,5932,6059,5559,5599,639324
20111124,5599,5599,5199,5399,238114
20111125,5499,5599,5179,5432,277608
20111128,5379,5586,5352,5459,193086
20111129,5506,5546,5399,5526,170419
20111130,5566,5726,5459,5719,229740
20111201,5799,5859,5626,5626,234047
20111202,5579,5926,5579,5846,404565
20111205,5866,5866,5652,5699,492052
20111206,5759,5926,5746,5866,489022
20111207,5926,5926,5632,5759,304773
20111208,5759,5759,5486,5539,383594
20111209,5499,5652,5359,5579,237887
20111212,5692,5692,5466,5619,281050
20111213,5506,5699,5459,5666,208095
20111214,5726,5926,5646,5739,496163
20111215,5606,5866,5532,5806,325399
20111216,5812,5906,5759,5826,176984
20111219,5799,5906,4952,5486,402660
20111220,5486,5646,5486,5519,118971
20111221,5612,5672,5499,5499,177378
20111222,5532,5566,5352,5352,153462
20111223,5412,5426,5312,5346,191203
20111226,5352,5439,5272,5272,173270
20111227,5266,5419,5266,5299,178292
20111228,5326,5379,5239,5266,74937
20111229,5252,5346,5219,5266,61665
20120102,5266,5346,5252,5279,54573
20120103,5286,5399,5179,5199,175580
20120104,5192,5192,4966,5066,397328
20120105,5132,5232,5092,5206,185597
20120106,5266,5579,5252,5492,470391
20120109,5399,5452,5266,5312,138528
20120110,5379,5379,5066,5166,400135
