날짜,시가,고가,저가,종가,거래량
20050128,4058,4090,3596,3820,345321
20050131,3774,3991,3675,3826,229014
20050201,3840,4077,3767,3860,220752
20050202,3866,3953,3496,3496,214651
20050203,3477,3629,3166,3629,329502
20050204,3826,4064,3517,3569,1000812
20050207,3576,3714,3543,3668,198233
20050211,3609,4018,3576,3840,478652
20050214,4025,4025,3807,3826,226766
20050215,3860,4156,3826,4077,340786
20050216,4143,4209,3912,4005,220838
20050217,4051,4203,3972,4005,270858
20050218,3959,4124,3807,3946,457784
20050221,3972,4051,3893,3925,279371
20050222,3912,3998,3642,3826,267888
20050223,3721,3794,3623,3648,184029
20050224,3655,3781,3655,3774,173310
20050225,3939,4117,3781,3813,530169
20050228,3846,3919,3701,3774,219734
20050302,3760,3794,3609,3629,282818
20050303,3596,3675,3517,3629,212306
20050304,3629,3695,3576,3629,168001
20050307,3695,3826,3562,3661,229599
20050308,3661,3695,3365,3496,194541
20050309,3496,3576,3464,3510,108913
20050310,3530,3530,3397,3464,109362
20050311,3397,3523,3397,3496,160753
20050314,3510,3596,3450,3477,171723
20050315,3543,3576,3338,3359,198590
20050316,3352,3424,3173,3378,143465
20050317,3365,3431,3246,3266,180953
20050318,3236,3352,3236,3325,116686
20050321,3359,3417,3285,3325,91350
20050322,3272,3562,3272,3470,480822
20050323,3470,3549,3299,3331,153188
20050324,3417,3417,3206,3299,159203
20050325,3272,3312,3187,3252,115140
20050328,3259,3365,3259,3345,114305
20050329,3378,3464,3299,3397,256010
20050330,3384,3596,3384,3543,314277
20050331,3609,3609,3444,3483,149166
20050401,3483,3642,3483,3609,361714
20050404,3734,3919,3688,3807,514431
20050406,3860,3899,3695,3695,232436
20050407,3695,3747,3530,3675,219014
20050408,3589,3681,3562,3562,174639
20050411,3536,3642,3503,3609,168061
20050412,3602,3642,3483,3483,117859
20050413,3496,3642,3458,3629,153570
20050414,3582,3675,3562,3655,119957
20050415,3635,3675,3331,3397,136522
20050418,3239,3305,2995,3035,232117
20050419,3071,3130,2969,3015,83297
20050420,3038,3166,3038,3051,84095
20050421,2969,2969,2836,2899,107018
20050422,2936,2962,2856,2899,96908
20050425,2836,2870,2751,2856,59554
20050426,2899,2899,2771,2771,54180
20050427,2714,2856,2678,2737,167239
20050428,2744,2794,2507,2638,82277
20050429,2441,2572,2441,2526,80190
20050502,2507,2566,2507,2510,44726
20050503,2473,2553,2473,2520,45992
20050504,2524,2678,2524,2632,62525
20050506,2705,2705,2572,2625,38623
