날짜,시가,고가,저가,종가,거래량
20101103,880,898,820,827,15985790
20101104,836,864,831,834,2556040
20101105,835,840,806,816,1138260
20101108,820,820,795,795,2730350
20101109,796,809,784,794,599590
20101110,800,800,786,786,587480
20101111,790,792,786,788,221390
20101112,792,792,732,732,823390
20101115,732,732,696,716,607520
20101116,702,740,695,710,415290
20101117,668,710,668,700,216130
20101118,700,715,691,702,227320
20101119,719,719,702,717,120390
20101122,717,718,703,706,121840
20101123,710,710,698,705,100570
20101124,672,707,672,707,256670
20101125,715,715,701,701,160310
20101126,695,712,695,700,250590
20101129,700,724,700,706,23800
20101130,699,719,695,710,51900
20101201,710,715,692,698,60530
20101202,698,707,698,704,66000
20101203,696,705,696,704,71600
20101206,696,705,696,697,75170
20101207,700,700,665,665,173470
20101208,667,686,667,680,125280
20101209,690,690,673,689,85830
20101210,689,689,673,680,13790
20101213,697,697,663,665,176630
20101214,673,676,660,669,167910
20101215,678,678,665,669,88660
20101216,674,674,660,671,81530
20101217,676,676,660,671,44230
20101220,690,690,658,668,37050
20101221,678,678,665,670,50180
20101222,663,673,663,670,65110
20101223,667,674,667,667,67280
20101224,670,676,661,664,60140
20101227,670,670,661,667,34870
20101228,676,676,657,669,83620
20101229,663,667,661,665,13700
20101230,661,664,659,659,38040
20110103,650,655,637,652,60310
20110104,646,649,632,643,26910
20110105,643,643,630,640,32900
20110106,640,640,624,630,58050
20110107,630,630,614,622,103670
20110110,622,622,612,612,44590
20110111,606,616,605,612,67800
20110112,607,618,606,614,23290
20110113,614,620,603,609,33040
20110114,609,611,600,608,24580
20110117,610,610,600,606,28040
20110118,601,606,598,600,15390
20110119,603,603,585,595,28320
20110120,599,605,573,583,182130
20110121,583,589,576,589,21010
20110124,589,589,573,584,9280
20110125,585,590,569,584,8540
20110126,564,584,564,577,14920
20110127,577,578,565,577,54040
20110128,577,577,565,576,2670
20110131,562,574,560,566,18210
20110201,575,575,549,555,278700
20110207,538,545,506,506,527620
20110208,511,525,508,510,100880
20110209,511,520,509,520,21800
20110210,525,536,517,530,43640
20110211,534,550,530,539,169660
20110214,539,544,536,536,75480
20110215,536,540,530,539,87740
20110216,541,554,532,552,36960
20110217,558,558,541,546,54100
20110218,539,553,535,547,25550
20110221,547,556,546,556,72400
20110222,557,557,541,548,25460
20110223,548,556,548,553,34360
20110224,551,564,551,563,36530
20110225,569,569,558,563,62810
20110228,557,569,556,559,39470
20110302,545,568,545,548,83600
20110303,542,558,536,550,171780
20110304,560,560,545,558,34860
20110307,566,566,551,560,22440
20110308,564,564,551,563,45350
20110309,557,570,557,570,58480
20110310,570,591,566,576,128500
20110311,576,576,563,572,40110
20110314,558,574,558,567,53010
20110315,567,572,556,570,72230
20110316,561,573,561,571,74380
20110317,566,580,566,580,31650
20110318,576,605,576,595,30470
20110321,595,605,591,603,41170
20110322,602,603,593,601,58550
20110323,595,601,590,600,73130
20110324,595,600,580,593,59920
20110325,593,597,587,595,37630
20110328,594,603,590,590,27880
20110329,591,602,585,600,30060
20110330,600,603,595,595,22070
20110331,600,608,590,604,42750
20110401,599,604,590,603,118830
20110404,594,601,584,600,47190
20110405,600,600,592,599,80500
20110406,599,604,593,602,61850
20110407,602,602,597,602,52430
20110408,602,602,596,601,52470
20110411,594,605,594,604,93830
20110412,604,604,580,603,22240
20110413,603,608,590,602,49300
20110414,602,607,590,607,97790
20110415,606,606,599,603,72060
20110418,603,603,593,600,51280
20110419,600,601,592,601,42220
20110420,601,604,598,599,16800
20110421,597,600,597,600,8830
20110422,599,599,590,599,28550
20110425,599,600,595,599,43220
20110426,599,607,594,596,33040
20110427,596,600,591,600,27540
20110428,590,599,577,598,59910
20110429,590,601,580,601,25430
20110502,601,605,590,600,33520
20110503,600,600,595,599,16700
20110504,599,600,595,600,8050
20110506,600,600,574,597,52950
20110509,596,599,596,599,15960
20110511,598,599,585,585,50600
20110512,593,596,589,590,53040
20110513,592,593,534,584,136960
20110516,566,590,565,590,46520
20110517,576,592,575,590,29160
20110518,590,590,588,589,24300
20110519,590,591,586,589,40730
20110520,590,590,555,579,233180
20110523,570,580,550,580,42070
20110524,579,580,573,579,19770
20110525,579,579,564,576,33800
20110526,575,584,572,578,30020
20110527,585,585,567,579,21150
