날짜,시가,고가,저가,종가,거래량
20091222,7600,7600,6460,6460,1565577
20091223,5810,5870,5500,5620,4061932
20091224,5700,5830,5270,5370,1975859
20091228,5400,5530,5270,5360,776847
20091229,5360,5450,5150,5150,602185
20091230,5170,5190,4995,5010,409633
20100104,5070,5250,5030,5210,526210
20100105,5250,5270,5150,5150,327238
20100106,5170,5510,5100,5360,736129
20100107,5360,5500,5330,5350,415848
20100108,5360,5460,5270,5300,248821
20100111,5300,5330,5130,5200,352684
20100112,5190,5280,5180,5250,192783
20100113,5250,5280,5080,5100,284230
20100114,5100,5180,5070,5130,150533
20100115,5160,5250,5130,5140,162514
20100118,5150,5330,5130,5270,209981
20100119,5270,5370,5250,5360,228550
20100120,5430,5810,5380,5680,1104667
20100121,5720,5720,5510,5580,303438
20100122,5550,5750,5260,5380,527961
20100125,5250,5360,5080,5130,300741
20100126,5190,5200,4860,4905,379159
20100127,4905,4975,4820,4905,160607
20100128,4945,4945,4750,4840,150380
20100129,4800,4800,4450,4500,213296
20100201,4450,4520,4340,4350,144487
20100202,4450,4540,4360,4370,190093
20100203,4460,4525,4420,4450,99204
20100204,4550,4690,4510,4575,159678
20100205,4300,4570,4300,4565,104270
20100208,4595,4725,4580,4585,162421
20100209,4585,4695,4400,4690,100656
20100210,4730,4770,4645,4645,73930
20100211,4730,4730,4575,4605,90985
20100212,4580,4650,4475,4505,89490
20100216,4575,4575,4455,4460,100236
20100217,4500,4515,4455,4475,150564
20100218,4490,4500,4430,4440,79439
20100219,4450,4470,4315,4315,160489
20100222,4345,4445,4330,4330,154266
20100223,4330,4375,4280,4310,102879
20100224,4300,4420,4280,4355,126162
20100225,4345,4480,4330,4365,105828
20100226,4380,4690,4370,4520,197804
20100302,4620,4640,4480,4515,111037
20100303,4550,4690,4515,4685,176934
20100304,4680,4695,4525,4525,108992
20100305,4610,4635,4455,4460,132799
20100308,4470,4550,4460,4500,68296
20100309,4690,4925,4645,4695,327586
20100310,4710,4830,4630,4775,121775
20100311,4775,4780,4680,4750,88457
20100312,4800,4800,4690,4700,58821
20100315,4720,4720,4555,4590,101088
20100316,4600,4680,4590,4640,43785
20100317,4660,4660,4590,4600,94766
20100318,4605,4685,4590,4670,78381
20100319,4685,4685,4620,4630,48908
20100322,4650,4690,4595,4605,53513
20100323,4610,4670,4600,4605,85524
20100324,4625,4730,4620,4670,156835
20100325,4675,4885,4665,4840,212538
20100326,4835,4885,4785,4820,91804
20100329,4800,4915,4760,4900,175720
20100330,4930,4960,4750,4750,153743
20100331,4750,4790,4640,4670,126198
20100401,4730,4730,4640,4695,66336
20100402,4695,4700,4545,4560,145088
20100405,4540,4630,4310,4395,172020
20100406,4385,4485,4330,4385,76573
20100407,4410,4445,4360,4400,65935
20100408,4400,4495,4350,4495,72943
20100409,4500,4530,4390,4430,68961
20100412,4455,4455,4365,4375,100501
20100413,4395,4395,4300,4325,118590
20100414,4325,4385,4320,4375,112071
20100415,4400,4465,4355,4445,143935
20100416,4455,4520,4400,4400,97364
20100419,4355,4410,4295,4305,126151
20100420,4310,4385,4280,4330,111740
20100421,4385,4385,4275,4310,128892
20100422,4315,4345,4285,4305,101488
20100423,4330,4360,4295,4355,97217
20100426,4375,4385,4330,4345,73733
20100427,4340,4405,4330,4350,72540
20100428,4290,4340,4280,4310,66209
20100429,4325,4360,4280,4320,69519
20100430,4320,4445,4320,4390,53717
20100503,4390,4500,4330,4490,90189
20100504,4510,4750,4425,4425,210698
20100506,4410,4480,4300,4450,127418
20100507,4360,4390,4280,4350,106216
20100510,4350,4395,4300,4340,81581
20100511,4370,4470,4290,4380,161644
20100512,4445,4595,4420,4525,274919
20100513,4560,4670,4500,4510,193548
20100514,4510,4530,4430,4430,138423
20100517,4420,4420,4275,4305,180146
20100518,4320,4335,4090,4105,217141
20100519,4105,4150,3980,4130,126187
20100520,4060,4150,3925,4020,153295
20100524,3940,4015,3850,3910,68806
20100525,3885,3885,3535,3660,135341
20100526,3610,3710,3600,3660,105195
20100527,3660,3715,3575,3660,85866
20100528,3735,3880,3720,3795,124405
20100531,3820,3875,3775,3850,43201
20100601,3900,3930,3800,3880,23343
20100603,3940,3940,3870,3900,28743
20100604,3950,3950,3750,3880,28593
20100607,3700,3830,3625,3735,68937
20100608,3690,3795,3680,3740,44157
20100609,3735,3825,3700,3750,46823
20100610,3750,3800,3720,3750,34064
20100611,3800,3850,3750,3850,53333
20100614,3820,3950,3820,3855,35364
20100615,3895,3935,3820,3920,46487
20100616,3920,3970,3855,3880,38818
20100617,3885,3960,3830,3840,48497
20100618,3900,3930,3830,3845,33591
20100621,3900,3930,3860,3885,27693
20100622,3900,3900,3850,3890,16919
20100623,3840,3925,3840,3910,35319
20100624,3910,3950,3850,3900,39977
20100625,3920,3945,3880,3945,45757
20100628,3960,3965,3910,3945,52909
20100629,3910,3950,3800,3865,40319
20100630,3800,3830,3750,3830,19658
20100701,3830,3855,3760,3830,53238
20100702,3840,3840,3760,3805,39866
20100705,3800,3820,3760,3760,19644
20100706,3780,3795,3680,3795,59321
20100707,3755,3800,3750,3785,16378
20100708,3805,3830,3765,3770,32384
20100709,3810,3815,3765,3790,21084
20100712,3840,3880,3780,3835,48562
20100713,3880,3985,3855,3960,146148
20100714,3995,4025,3925,3995,90247
20100715,3980,4075,3910,4035,59483
20100716,4050,4085,3970,4025,34417
20100719,3985,4060,3930,4035,25887
20100720,4055,4065,4000,4045,26193
20100721,4060,4060,3945,4020,51659
20100722,3960,4000,3895,3920,60888
20100723,3970,3970,3915,3970,29725
20100726,3970,4000,3920,3975,20759
20100727,4005,4015,3920,3950,49333
20100728,3965,3970,3800,3890,68804
20100729,3880,3895,3795,3795,75436
20100730,3800,3840,3755,3770,34426
20100802,3775,3830,3760,3775,33820
20100803,3830,3830,3740,3800,17994
20100804,3820,3820,3725,3800,33796
20100805,3830,3830,3770,3820,22565
20100806,3850,3855,3800,3820,10622
20100809,3865,3955,3805,3945,44233
20100810,3880,3955,3880,3905,32471
20100811,3945,3945,3870,3910,20428
20100812,3900,3940,3840,3925,24590
20100813,3925,3965,3870,3950,69616
20100816,3925,3970,3850,3970,48629
20100817,3960,4010,3920,4005,52956
20100818,4015,4015,3940,3990,38465
20100819,3990,4000,3930,3995,45731
20100820,3980,3990,3915,3985,46944
20100823,3985,3990,3895,3990,53630
20100824,3920,3975,3885,3960,43105
20100825,3890,3950,3855,3855,23619
20100826,3855,3890,3750,3770,110203
20100827,3770,3835,3750,3820,18779
20100830,3800,3885,3760,3860,62638
20100831,3840,3920,3835,3880,20328
20100901,3850,3930,3820,3895,74041
20100902,3910,3910,3845,3885,21918
20100903,3915,3915,3800,3835,34630
20100906,3800,3900,3795,3880,40802
20100907,3890,3895,3860,3880,7796
20100908,3875,3945,3805,3940,24569
20100909,3955,3955,3890,3930,13264
20100910,3950,3950,3885,3890,40926
20100913,3925,3930,3830,3920,44553
20100914,3865,3925,3830,3855,27662
20100915,3855,3885,3810,3810,31989
20100916,3865,3915,3820,3880,44648
20100917,3900,3900,3810,3870,21844
20100920,3895,3895,3820,3855,43721
20100924,3880,3880,3820,3840,11522
20100927,3870,3870,3810,3815,48737
20100928,3815,3845,3780,3805,48388
20100929,3810,3810,3770,3805,69095
20100930,3830,3830,3780,3795,17465
20101001,3795,3900,3765,3835,108452
20101004,3840,3900,3830,3860,39791
20101005,3850,3920,3850,3915,31889
20101006,3915,4030,3915,3985,119823
20101007,3990,4025,3895,3910,30751
20101008,3975,3975,3875,3920,50340
20101011,3915,3950,3890,3890,25447
20101012,3865,3940,3865,3935,21040
20101013,3935,3960,3885,3910,34110
20101014,3945,4200,3900,4200,167630
20101015,4145,4145,4010,4015,95125
20101018,4100,4260,4055,4200,368045
20101019,4200,4225,4080,4125,150904
20101020,4080,4115,4025,4050,134517
20101021,4055,4095,4020,4065,75347
20101022,4065,4065,3945,3960,140865
20101025,4015,4015,3900,3905,220152
20101026,3910,3965,3870,3895,125854
20101027,3895,3920,3845,3850,89613
20101028,3890,3890,3835,3850,94283
20101029,3900,3945,3855,3935,66817
20101101,3960,3960,3900,3920,59887
20101102,3900,3970,3890,3945,44404
20101103,3945,3965,3900,3900,41930
20101104,3920,3920,3850,3900,25467
20101105,3895,3905,3865,3895,58651
20101108,3875,3935,3860,3935,35743
20101109,3930,3930,3870,3870,41772
20101110,3880,3935,3870,3880,34979
20101111,3880,3965,3870,3945,72830
20101112,3935,3970,3845,3940,55176
20101115,3940,3960,3895,3930,43018
20101116,3910,3960,3845,3870,52287
20101117,3850,3855,3800,3850,45362
20101118,3850,3880,3810,3845,32186
20101119,3850,3890,3810,3840,53670
20101122,3820,3895,3820,3870,63269
20101123,3860,3910,3830,3850,22061
20101124,3740,3810,3690,3800,76356
20101125,3805,3830,3765,3800,18852
20101126,3780,3830,3640,3730,67947
20101129,3690,3740,3690,3720,25925
20101130,3700,3770,3690,3720,46689
20101201,3765,3765,3705,3725,12412
20101202,3735,3760,3700,3760,31884
20101203,3770,3770,3705,3740,14061
20101206,3750,3755,3700,3735,23241
20101207,3735,3740,3700,3735,13314
20101208,3750,3750,3705,3735,12476
20101209,3735,3745,3715,3720,11433
20101210,3710,3750,3700,3710,15709
20101213,3705,3750,3700,3715,9814
20101214,3715,3755,3705,3745,12887
20101215,3745,3775,3710,3745,18298
20101216,3765,3800,3735,3785,11801
20101217,3795,3805,3745,3780,11010
20101220,3770,3770,3690,3710,26205
20101221,3720,3780,3715,3775,38461
20101222,3785,3785,3730,3770,19238
20101223,3770,3785,3740,3780,16618
20101224,3780,3785,3730,3740,24001
20101227,3740,3790,3735,3760,19219
20101228,3765,3785,3745,3785,28379
20101229,3755,3785,3695,3725,49406
20101230,3755,3790,3710,3755,14547
20110103,3755,3795,3720,3775,18284
20110104,3735,3785,3730,3770,13185
20110105,3760,3800,3710,3760,26000
20110106,3755,3760,3670,3735,46940
20110107,3730,3735,3685,3715,37607
20110110,3700,3720,3685,3715,18765
20110111,3715,3715,3675,3680,25916
20110112,3725,3725,3640,3645,65170
20110113,3645,3680,3635,3665,26346
20110114,3700,3700,3535,3585,105078
20110117,3590,3630,3515,3535,46770
20110118,3570,3570,3490,3520,50267
20110119,3565,3565,3470,3495,32833
20110120,3515,3515,3475,3490,12823
20110121,3490,3535,3465,3485,20372
20110124,3530,3530,3470,3520,34882
20110125,3530,3530,3495,3520,44088
20110126,3540,3540,3480,3510,11300
20110127,3510,3520,3460,3520,17388
20110128,3485,3545,3365,3400,52333
