날짜,시가,고가,저가,종가,거래량
20050128,5000,5100,4980,5020,126829
20050131,5020,5170,5020,5040,162894
20050201,5040,5100,4875,4895,180361
20050202,4900,4960,4785,4870,211112
20050203,4750,4850,4600,4850,237507
20050204,4810,4880,4700,4845,104109
20050207,4910,4940,4790,4905,121816
20050211,4885,4885,4795,4830,106466
20050214,4860,4880,4765,4830,124481
20050215,4830,5110,4830,5030,266650
20050216,5030,5350,4850,5200,623769
20050217,5150,5200,4940,5010,301196
20050218,5030,5200,4950,4955,314536
20050221,4915,5000,4825,4850,203628
20050222,4800,4920,4710,4710,188154
20050223,4695,4695,4560,4625,123997
20050224,4625,4750,4625,4655,182120
20050225,4660,4795,4600,4680,200252
20050228,4750,4765,4630,4630,94435
20050302,4655,4790,4635,4660,133091
20050303,4680,4740,4655,4665,112963
20050304,4650,4795,4620,4700,137429
20050307,4730,4735,4550,4560,158930
20050308,4565,4730,4370,4400,294597
20050309,4395,4435,4245,4375,130492
20050310,4310,4375,4250,4300,163315
20050311,4275,4390,4275,4390,85824
20050314,4370,4460,4370,4400,109030
20050315,4440,4445,4260,4270,110129
20050316,4210,4300,4200,4300,103749
20050317,4235,4275,4170,4170,73806
20050318,4080,4160,4060,4100,75703
20050321,4110,4155,4050,4085,43805
20050322,4050,4165,4050,4115,36366
20050323,4130,4220,4120,4220,74017
20050324,4165,4250,4115,4170,69908
20050325,4150,4350,4150,4340,67624
20050328,4305,4390,4255,4270,86159
20050329,4225,4250,4120,4145,75068
20050330,4095,4145,4080,4085,74396
20050331,4120,4155,4090,4150,128293
20050401,4150,4225,4110,4160,54725
20050404,4150,4150,4000,4065,119444
20050406,4070,4080,4020,4030,88723
20050407,4020,4040,3980,4000,87652
20050408,3995,4060,3995,4000,68187
20050411,3970,3995,3930,3970,43115
20050412,3945,4025,3945,4010,44987
20050413,4015,4055,4000,4010,33467
20050414,3975,4010,3960,3960,43279
20050415,3920,3990,3830,3880,65777
20050418,3780,3845,3600,3620,117979
20050419,3615,3705,3615,3690,64549
20050420,3710,3790,3705,3720,22990
20050421,3630,3720,3600,3630,41963
20050422,3700,3780,3655,3655,28060
20050425,3640,3710,3580,3710,110175
20050426,3800,3830,3750,3785,41166
20050427,3775,3775,3670,3700,27778
20050428,3705,3785,3670,3710,32441
20050429,3695,3715,3605,3700,39882
20050502,3750,3750,3670,3725,35886
20050503,3750,3765,3700,3705,14906
20050504,3745,3780,3680,3705,75364
20050506,3690,3740,3680,3680,50485
20050509,3710,3710,3605,3610,40340
20050510,3585,3645,3580,3615,47374
20050511,3590,3630,3580,3600,37799
20050512,3600,3655,3600,3655,37382
20050513,3650,3805,3600,3785,76633
20050516,3785,3790,3700,3710,40234
20050517,3730,3770,3680,3720,44310
20050518,3720,3780,3650,3720,75746
20050519,3750,3765,3685,3710,51025
20050520,3710,3755,3700,3725,28938
20050523,3725,3775,3680,3775,43057
20050524,3770,3900,3770,3900,95573
20050525,3905,4180,3890,4050,234890
20050526,4150,4400,4080,4200,527841
20050527,4240,4370,4130,4300,301657
20050530,4330,4440,4225,4380,220555
20050531,4325,4680,4320,4380,350922
20050601,4350,4380,4270,4270,135555
20050602,4280,4350,4280,4335,83029
20050603,4305,4500,4305,4420,109821
20050607,4450,4495,4360,4410,133317
20050608,4410,4520,4360,4500,85879
20050609,4430,4500,4405,4500,81797
20050610,4500,4600,4455,4520,76516
20050613,4520,4550,4310,4370,63588
20050614,4300,4300,4100,4200,73370
20050615,4245,4245,4130,4200,55829
20050616,4200,4510,4190,4425,161627
20050617,4380,4435,4300,4420,111558
20050620,4400,4480,4250,4275,38549
20050621,4230,4345,4080,4115,93427
20050622,4085,4220,4085,4150,55697
20050623,4140,4350,4140,4300,69872
20050624,4250,4365,4220,4300,62874
20050627,4230,4680,4230,4500,253422
20050628,4400,4490,4400,4405,37169
20050629,4460,4680,4405,4650,194504
20050630,4700,4900,4635,4895,247786
20050701,4990,5540,4880,5400,1005966
20050704,5300,5460,5110,5360,237605
20050705,5330,5350,5010,5150,155407
20050706,5150,5270,5000,5030,112468
20050707,4935,5200,4930,5100,99230
20050708,5240,5390,5060,5320,193536
20050711,5330,5630,5230,5520,290816
20050712,5550,5780,5320,5700,364265
20050713,5730,6200,5730,6010,343418
20050714,6000,6300,5900,6090,262918
20050715,6010,6090,5650,5890,180282
20050718,5700,5780,5510,5700,102487
