날짜,시가,고가,저가,종가,거래량
20050128,1150,1164,1142,1164,22615
20050131,1152,1174,1126,1142,41080
20050201,1156,1176,1140,1160,20585
20050202,1166,1180,1146,1160,5270
20050203,1160,1176,1140,1156,39490
20050204,1142,1168,1142,1142,2175
20050207,1140,1200,1140,1144,22530
20050211,1144,1176,1144,1170,53175
20050214,1200,1200,1160,1188,23025
20050215,1186,1250,1186,1232,29785
20050216,1220,1238,1212,1214,38645
20050217,1236,1268,1220,1248,106895
20050218,1238,1238,1206,1230,47770
20050221,1230,1256,1214,1230,21555
20050222,1238,1244,1230,1234,38940
20050223,1220,1234,1204,1218,21400
20050224,1244,1244,1210,1230,41535
20050225,1228,1228,1202,1218,83975
20050228,1220,1250,1220,1240,89415
20050302,1232,1284,1232,1270,191205
20050303,1262,1352,1262,1292,116790
20050304,1280,1300,1260,1266,88510
20050307,1266,1318,1266,1290,67840
20050308,1264,1290,1250,1264,58175
20050309,1270,1298,1268,1272,80120
20050310,1260,1420,1260,1344,235890
20050311,1400,1436,1380,1416,182845
20050314,1410,1578,1362,1392,149290
20050315,1392,1430,1340,1360,111285
20050316,1378,1436,1360,1400,46850
20050317,1400,1400,1320,1342,46025
20050318,1320,1340,1304,1314,71795
20050321,1290,1340,1290,1338,50165
20050322,1340,1340,1280,1290,57260
20050323,1268,1298,1268,1276,64690
20050324,1290,1300,1266,1266,24280
20050325,1268,1274,1260,1274,24925
20050328,1268,1318,1146,1294,3160
20050329,1304,1304,1240,1268,18100
20050330,1246,1280,1240,1280,19155
20050331,1302,1302,1252,1288,13110
20050401,1288,1288,1250,1270,7795
20050404,1280,1290,1250,1278,2850
20050406,1296,1296,1256,1278,3415
20050407,1256,1274,1248,1266,8135
20050408,1270,1270,1234,1260,10220
20050411,1270,1270,1232,1246,7890
20050412,1232,1246,1228,1230,4130
20050413,1224,1240,1222,1230,5650
20050414,1230,1230,1210,1218,103850
20050415,1212,1220,1200,1220,16715
20050418,1220,1220,1182,1216,28670
20050419,1216,1332,1192,1200,93915
20050420,1202,1208,1194,1204,3180
20050421,1200,1378,1176,1220,1720
20050422,1256,1256,1190,1204,18945
20050425,1200,1204,1198,1198,55135
20050426,1236,1236,1200,1210,17395
20050427,1174,1198,1174,1182,9825
20050428,1182,1200,1174,1200,23965
20050429,1196,1200,1174,1180,24475
20050502,1174,1176,1174,1174,2500
20050503,1174,1198,1174,1178,8795
20050504,1174,1176,1174,1176,28545
20050506,1200,1200,1176,1198,1335
20050509,1198,1198,1176,1194,42665
