날짜,시가,고가,저가,종가,거래량
20070718,12720,12720,10840,10840,435793
20070719,9520,10040,9240,9240,725646
20070720,9400,9760,8960,9080,308423
20070723,9120,9960,9120,9280,378478
20070724,9320,9480,8560,8800,178770
20070725,8600,9000,8320,8400,98555
20070726,8440,8520,8080,8080,75333
20070727,8000,8120,7760,7912,61555
20070730,7800,8320,7800,8120,31166
20070731,8000,8160,7808,7840,38763
20070801,7760,7840,7392,7400,56272
20070802,7440,7496,7200,7248,32427
20070803,7376,7432,7216,7320,19366
20070806,7320,7920,7320,7544,49766
20070807,7760,7760,7424,7448,22671
20070808,7456,7592,7320,7376,14530
20070809,7600,7840,7416,7688,29362
20070810,7632,7632,6664,7392,20532
20070813,7472,7472,7208,7280,12790
20070814,7360,7360,6640,6664,22691
20070816,6400,6400,5792,5808,26386
20070817,5808,6232,5464,5544,19917
20070820,5600,5872,5352,5744,420556
20070821,5760,6144,5560,5600,330201
20070822,5704,6440,5616,5768,437131
20070823,5952,6320,5944,5944,208806
20070824,6104,6104,5760,5824,71431
20070827,5920,6152,5728,5728,98416
20070828,5728,5808,5624,5696,131153
20070829,5560,5664,5440,5664,77720
20070830,5808,5808,5624,5624,82741
20070831,5632,5712,5440,5520,90335
20070903,5568,5640,5432,5432,81617
20070904,5512,5672,5416,5584,99498
20070905,5656,5920,5584,5680,122488
20070906,5680,5944,5608,5848,100127
20070907,5824,5920,5680,5744,66638
20070910,5672,5672,5496,5504,95742
20070911,5528,5632,5472,5480,98880
20070912,5536,5552,5240,5256,78956
20070913,5200,5360,5080,5136,25047
20070914,5152,5208,5040,5048,118306
20070917,5064,5280,5056,5112,46537
20070918,5080,5232,5000,5096,60793
20070919,5200,5264,5000,5088,59283
20070920,5096,5144,4928,4992,50806
20070921,4920,5040,4880,4904,31325
20070927,4920,4960,4888,4944,26130
20070928,4960,4992,4888,4888,34812
20071001,4880,4960,4688,4720,65361
20071002,4728,4792,4448,4456,110926
20071004,4472,4600,4400,4472,43293
20071005,4440,4504,4400,4472,33445
20071008,4520,4520,4288,4320,70026
20071009,4368,4368,4024,4112,63065
20071010,4112,4480,4040,4344,88897
20071011,4304,4480,4256,4400,40057
20071012,4480,4480,4184,4400,46192
20071015,4496,4640,4320,4328,40037
20071016,4320,4320,4120,4200,37391
20071017,4168,4168,3880,3920,46176
20071018,3996,4096,3956,3964,26756
20071019,3924,4376,3924,4304,61686
20071022,4144,4512,4056,4424,66611
20071023,4440,4640,4408,4440,72667
20071024,4456,4696,4256,4256,86040
20071025,4280,4368,4008,4040,29513
20071026,3960,4120,3960,4032,24556
20071029,4160,4344,4064,4168,35270
20071030,4200,4272,4088,4152,17330
20071031,4160,4224,4080,4184,17215
20071101,4216,4312,4144,4248,29221
20071102,4168,4320,4128,4216,32217
20071105,4216,4480,4112,4216,53332
20071106,4216,4312,4144,4200,16873
20071107,4176,4520,4168,4360,94356
20071108,4336,4872,4280,4608,188746
20071109,4784,4784,4440,4536,90643
20071112,4520,4680,4264,4320,52263
20071113,4400,4440,4208,4360,26123
20071114,4416,4536,4376,4416,26116
20071115,4400,4496,4144,4160,37175
20071116,4160,4216,4080,4160,19988
20071119,4152,4512,4152,4280,17785
20071120,4152,4320,4064,4216,37452
20071121,4216,4288,4064,4208,12261
20071122,4240,4240,4064,4232,20235
20071123,4104,4256,3884,4040,22696
20071126,4080,4192,4008,4048,15865
20071127,4000,4040,3880,3936,13378
20071128,3932,4112,3920,3920,14490
20071129,3960,4120,3920,3996,19478
20071130,3952,4064,3952,3996,6870
20071203,4008,4128,3972,4040,13718
20071204,4008,4128,4008,4128,12377
20071205,4096,4128,4008,4080,13780
20071206,4096,4152,4008,4088,18606
20071207,4120,4232,4008,4120,43761
20071210,4144,4192,4080,4120,14872
20071211,4160,4200,3944,4000,16086
20071212,4040,4232,3880,4232,38471
20071213,4232,4320,4056,4160,22595
20071214,4128,4224,3932,4008,18247
20071217,4024,4024,3824,3920,46315
20071218,3840,3976,3800,3900,13933
20071220,3896,3952,3364,3384,200266
20071221,3432,3512,3384,3496,40198
20071224,3496,3560,3440,3472,33725
20071226,3440,3516,3376,3376,30948
20071227,3404,3464,3376,3428,11731
20071228,3444,3444,3400,3400,14543
20080102,3384,3448,3348,3376,9846
20080103,3336,3424,3320,3344,12955
20080104,3368,3424,3348,3416,19250
20080107,3348,3496,3348,3480,19766
20080108,3448,3544,3424,3500,20626
20080109,3504,3584,3472,3520,11745
