날짜,시가,고가,저가,종가,거래량
20150722,2140,2150,2135,2150,795590
20150723,2145,2160,2140,2155,367938
20150724,2160,2170,2150,2170,159575
20150727,2165,2185,2165,2165,82333
20150728,2170,2175,2155,2170,65530
20150729,2165,2190,2160,2180,113495
20150730,2165,2205,2165,2200,100587
20150731,2200,2225,2195,2220,75521
20150803,2220,2270,2220,2240,64180
20150804,2255,2260,2240,2245,33936
20150805,2220,2250,2210,2245,38742
20150806,2255,2385,2240,2270,131056
20150807,2340,2360,2260,2285,56408
20150810,2290,2295,2255,2270,16070
20150811,2270,2285,2250,2285,35760
20150812,2300,2300,2215,2240,43632
20150813,2240,2270,2215,2240,28750
20150817,2240,2240,2210,2225,22430
20150818,2210,2210,2200,2210,47297
20150819,2195,2210,2195,2205,55292
20150820,2200,2215,2190,2210,12690
20150821,2190,2210,2165,2185,24334
20150824,2155,2180,2155,2180,34923
20150825,2155,2195,2155,2185,5471
20150826,2185,2190,2180,2190,12335
20150827,2190,2190,2165,2185,23793
20150828,2185,2190,2180,2190,3530
20150831,2180,2190,2170,2180,2057
20150901,2150,2170,2140,2155,72287
20150902,2150,2180,2145,2180,6808
20150903,2145,2190,2140,2175,1394
20150904,2170,2170,2150,2150,1132
20150907,2140,2165,2140,2150,3139
20150908,2140,2185,2135,2155,11677
20150909,2150,2150,2140,2145,11273
20150910,2145,2155,2135,2155,16862
20150911,2140,2165,2140,2150,23831
20150914,2130,2145,2125,2145,22016
20150915,2145,2145,2100,2125,31447
20150916,2110,2125,2090,2105,115636
20150917,2125,2125,2110,2125,7037
20150918,2110,2110,2100,2110,9236
20150921,2100,2135,2100,2110,2915
20150922,2110,2110,2095,2100,4738
20150923,2110,2110,2100,2105,7543
20150924,2090,2105,2080,2105,17324
20150925,2090,2115,2085,2115,4837
20150930,2090,2105,2090,2105,5210
20151001,2105,2120,2105,2120,10465
20151002,2105,2120,2105,2120,1446
20151005,2105,2115,2100,2115,10541
20151006,2110,2130,2100,2100,13717
20151007,2105,2125,2105,2105,1731
20151008,2105,2115,2105,2115,4401
20151012,2105,2115,2105,2110,12690
20151013,2105,2105,2100,2105,18193
20151014,2100,2120,2100,2115,74376
20151015,2120,2120,2100,2100,5387
20151016,2100,2105,2100,2105,1496
20151019,2105,2120,2105,2120,1679
20151020,2105,2110,2100,2105,2767
20151021,2100,2110,2100,2100,2334
20151022,2100,2100,2095,2100,164880
20151023,2095,2110,2090,2110,74443
20151026,2100,2100,2090,2100,14262
20151027,2100,2105,2090,2100,10690
20151028,2095,2100,2090,2100,20016
20151029,2100,2105,2100,2100,60505
20151030,2090,2110,2090,2100,16132
20151102,2095,2095,2075,2080,11976
20151103,2090,2090,2070,2080,17719
20151104,2080,2080,2055,2055,24574
20151105,2070,2070,2050,2055,78179
20151106,2055,2055,2040,2050,139038
20151109,2040,2050,2030,2045,28252
