날짜,시가,고가,저가,종가,거래량
20141223,7912,9089,7837,9089,2147704
20141224,9915,10316,8939,8939,2951690
20141226,8638,9289,8163,8663,1286025
20141229,8713,9540,8588,8964,796234
20141230,9064,9339,8738,9039,330089
20150102,9039,10391,8939,10391,1109641
20150105,10692,11543,10191,11017,1560646
20150106,10917,11192,10541,11067,762066
20150107,11067,11192,10566,10742,484318
20150108,10867,11718,10692,11718,1042815
20150109,11593,12469,11418,12019,1283848
20150112,12169,12244,11568,12019,659197
20150113,11919,12419,11042,11217,826956
20150114,11443,11818,11142,11493,418574
20150115,11368,11418,10842,11142,540224
20150116,11443,12570,11343,11994,1304393
20150119,12219,13221,11768,12595,1117098
20150120,12720,13070,12194,12394,516779
20150121,12419,12645,11969,12169,442291
20150122,12069,12094,10842,11092,1192727
20150123,11142,11393,10817,11242,517856
20150126,11368,11368,10466,10717,543247
20150127,10942,11167,10566,10566,485756
20150128,10667,11468,10466,11418,481522
20150129,11368,11618,11092,11368,411461
20150130,11468,12069,11318,11743,436829
20150202,11618,11618,11142,11318,239513
20150203,11493,11768,11217,11217,233251
20150204,11268,11343,10867,11117,310864
20150205,11167,11493,10942,11393,278385
20150206,11568,11969,11343,11818,526968
20150209,11969,12094,11418,11693,330334
20150210,11743,11818,11242,11593,222349
20150211,11618,11693,11042,11042,358681
20150212,10767,11743,10742,11618,341089
20150213,11418,11618,11042,11418,213375
20150216,11418,11518,10867,11017,206366
20150217,10892,11017,10366,10416,300557
20150223,10291,10692,10116,10692,184420
20150224,10692,10767,10566,10667,144530
20150225,10717,10792,10141,10191,219148
20150226,10316,10942,10166,10616,233787
20150227,10767,10917,10616,10742,105842
20150302,10867,10867,10316,10416,107864
20150303,10591,11192,10391,11017,169266
20150304,10867,11017,10742,11017,105238
20150305,11042,11268,10516,10742,115667
20150306,10917,10917,10366,10842,124817
20150309,10817,10817,10391,10391,151603
20150310,10516,10642,10266,10366,91170
20150311,10191,10566,10141,10541,90730
20150312,10516,10642,10366,10566,94428
20150313,10591,11368,10516,11368,267954
20150316,11368,11944,11242,11668,291221
20150317,11843,11843,11217,11718,135836
20150318,12094,12119,11418,11443,179243
20150319,11343,11643,10967,11042,132100
20150320,11142,11618,10992,11318,97170
20150323,11343,12119,11343,12019,258416
20150324,12194,12545,12144,12319,313410
20150325,12444,12444,11743,12294,272450
20150326,12094,12344,11768,11944,168956
20150327,12169,12520,11868,12520,236292
20150330,12870,12995,12169,12620,358422
20150331,12745,12770,12044,12219,172301
20150401,12344,12369,11994,12144,119038
20150402,12094,12444,11743,12169,237847
20150403,12419,12419,11969,12094,128194
20150406,12069,12169,11568,11944,229968
20150407,11894,11994,11693,11843,118959
20150408,11894,11919,11318,11318,201532
20150409,11418,11568,11142,11418,131234
20150410,11418,11493,10967,11493,247533
20150413,11568,11593,11042,11167,143839
20150414,11242,11343,10692,11017,285602
20150415,10942,11268,10942,11192,74614
20150416,11393,11393,11017,11293,113289
20150417,11318,11668,11092,11543,130638
20150420,11418,11593,11293,11593,82364
20150421,11518,11743,11318,11543,124566
20150422,11543,11868,11042,11543,214522
20150423,11718,12019,11217,11668,238807
20150424,11693,11768,11418,11668,96587
20150427,11793,12169,11593,11793,221928
20150428,11743,11768,11393,11618,163338
20150429,11718,11969,11593,11818,106725
20150430,11894,12219,11593,11919,165487
20150504,12019,12069,11668,11743,103321
20150506,11568,11994,11468,11818,89017
20150507,11818,11969,11518,11944,83725
20150508,11944,12194,11568,11743,156386
20150511,11868,12620,11793,12494,393371
20150512,12469,13321,12344,12595,626053
20150513,12695,13221,12695,12920,320837
20150514,12945,13246,12520,13045,197725
20150515,13095,13196,12695,12995,166875
20150518,12995,13095,12670,12995,109333
20150519,12995,13822,12845,13171,286007
20150520,13196,13571,13070,13471,189464
20150521,13371,14247,13221,14022,290581
20150522,13972,14673,13671,14222,239536
20150526,14097,14272,13671,14122,127620
20150527,14122,14372,13271,14347,182173
20150528,14097,14873,14097,14247,140062
20150529,14072,14172,13671,13922,139263
20150601,13797,14072,13521,13621,59807
20150602,13321,13947,13271,13772,119279
20150603,13596,13922,13020,13296,133096
20150604,13171,13346,12394,12645,292716
20150605,12695,12995,12645,12870,98203
20150608,12895,12895,12344,12645,173958
20150609,12545,13095,12520,12820,95494
20150610,12995,12995,12319,12444,87018
20150611,12369,12770,11944,12670,137632
20150612,12570,13296,12570,12945,140883
20150615,13045,13146,12520,12620,66761
20150616,12795,13797,12620,13371,229159
20150617,13446,13772,13296,13772,108713
20150618,13947,14122,13496,14097,119530
20150619,14097,14222,13120,13997,94546
20150622,13997,14748,13797,13822,159553
