날짜,시가,고가,저가,종가,거래량
20050128,11000,13200,10650,12300,4275478
20050131,12500,12800,11600,12100,1119119
20050201,12200,12550,11700,11700,781456
20050202,11750,11900,10550,10700,694733
20050203,10400,10850,10150,10150,485610
20050204,10000,10500,9300,9500,1275457
20050207,9610,10600,9610,10400,1501133
20050211,10450,10500,9800,10200,835089
20050214,10300,10600,9980,10400,1014872
20050215,10450,10650,9960,10300,803999
20050216,10600,11500,10550,11500,1311823
20050217,12200,12850,12000,12850,1103227
20050218,12700,12700,11350,11350,2788320
20050221,10800,11200,10450,10850,905784
20050222,10800,11150,10000,10150,992398
20050223,9620,10600,9620,10450,609472
20050224,10100,10750,10100,10400,518822
20050225,10450,10650,9900,10000,815721
20050228,10400,10450,10000,10050,463740
20050302,10100,10200,9820,9900,408975
20050303,9750,9900,9450,9480,449869
20050304,9580,9580,9050,9300,489836
20050307,9300,9700,9290,9430,381211
20050308,9700,9700,8710,8950,343498
20050309,8750,9390,8690,9360,366883
20050310,9220,9350,9120,9160,194842
20050311,9070,10000,9070,9800,524645
20050314,9800,9840,9550,9660,229266
20050315,9800,9800,9160,9160,271282
20050316,9010,9680,8810,9310,437760
20050317,9050,9350,8930,8960,222140
20050318,8830,9080,8670,8720,235207
20050321,8700,8790,8480,8520,291809
20050322,8530,8870,8530,8660,210035
20050323,8500,8790,8330,8330,191704
20050324,8440,8550,8180,8350,173020
20050325,8450,9260,8350,9150,707495
20050328,9560,9650,8690,8850,808537
20050329,8870,8870,8310,8370,292255
20050330,8310,8410,8080,8150,239390
20050331,8200,8300,7960,8010,254962
20050401,7850,8200,7820,8000,263915
20050404,8000,8120,7980,8000,180404
20050406,8030,8440,8030,8170,221523
20050407,8130,8240,8100,8150,129005
20050408,8200,8230,7920,7980,220709
20050411,8020,8040,7890,7900,124402
20050412,7920,7990,7710,7710,158877
20050413,7710,8170,7700,7790,479886
20050414,7790,7790,7370,7400,257859
20050415,7400,7490,7020,7090,334362
20050418,6920,6980,6220,6310,310649
20050419,6330,6710,6330,6470,322125
20050420,6600,7240,6600,6800,539303
20050421,6600,6670,6410,6590,168331
20050422,6800,6950,6650,6660,144705
20050425,6500,6660,6500,6570,113414
20050426,6650,6670,6540,6570,131406
20050427,6420,6500,6270,6330,187066
20050428,6380,6500,6150,6150,204009
20050429,6000,6100,5400,5650,269896
20050502,5660,6490,5520,6490,538968
20050503,6490,6520,5840,5900,422140
20050504,6050,6180,5890,5950,200891
20050506,6090,6210,5960,6010,273566
20050509,5930,6000,5750,5750,208679
20050510,5800,5800,5380,5480,272316
20050511,5480,5530,5350,5430,121778
20050512,5470,5490,5350,5350,107851
20050513,5210,5560,5180,5450,200826
20050516,5510,6000,5470,5540,640808
20050517,5600,5820,5540,5600,247016
20050518,5640,5700,5390,5420,259751
20050519,5500,5540,5430,5470,172082
20050520,5540,5830,5490,5800,458026
20050523,5840,5900,5680,5860,224986
20050524,5930,6070,5760,6010,394014
20050525,6140,6680,6100,6380,1013715
20050526,6500,6590,6240,6310,350960
20050527,6360,7110,6360,6600,1681996
20050530,6680,6790,6410,6570,483887
20050531,6570,6650,6430,6470,337390
20050601,6410,6960,6380,6600,659353
20050602,6650,6750,6500,6560,317664
20050603,6600,6740,6460,6610,598628
20050607,6600,6640,6390,6500,286507
20050608,6570,6800,6550,6780,711801
20050609,6820,6890,6600,6600,474677
20050610,6600,6670,6340,6500,474671
20050613,6460,6620,6450,6450,193645
20050614,6450,6500,6310,6310,151912
20050615,6300,6360,6200,6300,205739
20050616,6310,6510,6310,6460,260248
20050617,6550,6910,6450,6740,822197
20050620,6990,7700,6900,7400,1471114
20050621,7450,7450,7040,7250,566884
20050622,7350,7920,7340,7570,1175380
20050623,7420,7740,7380,7500,410022
20050624,7390,7400,7070,7150,383258
20050627,7020,7310,7020,7220,264207
20050628,7240,7310,7150,7310,247492
20050629,7420,7740,7420,7480,478372
20050630,7460,7550,7280,7400,312948
20050701,7410,7630,7350,7360,282123
20050704,7490,7700,7420,7700,499080
20050705,7800,7940,7600,7680,391132
20050706,7800,7820,7180,7230,474061
20050707,7200,7330,7120,7170,267174
20050708,7280,7280,7170,7190,211509
20050711,7210,7530,7210,7500,375497
20050712,7600,7640,7330,7340,228184
20050713,7350,7420,7120,7150,263835
20050714,7110,7230,7080,7100,176767
20050715,7060,7120,6820,6930,388843
20050718,6910,7120,6870,7050,293993
20050719,7080,7090,6930,7030,250775
20050720,7000,7880,7000,7750,1820654
20050721,7800,7970,7360,7450,931564
20050722,7370,7740,7310,7480,493332
20050725,7500,7650,7330,7360,408994
20050726,7300,7470,7070,7120,426496
20050727,7180,7250,7120,7190,163549
20050728,7230,7290,7120,7180,252917
20050729,7200,7320,7070,7260,302670
20050801,7300,7450,7150,7290,417412
20050802,7190,7250,7040,7060,296733
20050803,7130,7150,6850,6890,290993
20050804,6830,6950,6500,6500,336531
20050805,6450,6500,6060,6070,297516
20050808,5820,6230,5820,6090,158527
20050809,5920,6260,5920,6230,213589
20050810,6230,6520,6230,6380,210956
20050811,6440,6440,6250,6330,104321
20050812,6350,6390,6250,6360,97730
20050816,6440,6460,6170,6170,111269
20050817,6060,6150,6050,6050,104828
20050818,6130,6140,5850,5910,151534
20050819,5820,5990,5820,5930,123097
20050822,5910,6090,5910,6040,92236
20050823,6050,6130,6030,6050,100847
20050824,6010,6020,5930,5940,105201
20050825,5870,5990,5870,5990,53142
20050826,5990,6050,5900,5910,84140
20050829,5900,5900,5590,5600,150413
20050830,5600,5720,5520,5630,87439
20050831,5610,5680,5500,5650,85627
20050901,5740,5860,5720,5830,77053
20050902,5800,5950,5770,5930,105521
20050905,6150,6150,5980,6050,82970
20050906,6010,6120,6010,6010,71512
20050907,6060,6320,6050,6210,199072
20050908,6280,6370,6180,6320,163553
20050909,6250,6340,6160,6160,90339
20050912,6160,6230,6110,6110,73921
20050913,6060,6190,6000,6000,109413
20050914,5980,5980,5880,5930,99736
20050915,5870,5970,5850,5850,92793
20050916,5850,6040,5850,5990,70264
20050920,6000,6130,6000,6030,106972
20050921,6000,6090,5970,6010,79291
